,biancolelli-ecole-galante,dufresny-depart-des-comediens,Cost,Operation Type
327,"('#le-docteur', 'Ma foi les plus Argus sont de vrais Quinze-vingts, On fait de vains efforts pour bien garder les filles.')","('#leandre', 'Adieu fillettes et garçons,  Plus assidus que père et mère. ')",0.78,Substitution
328,"('#pierrot', 'Ce sont des limaçons qui quittent leurs coquilles.')",,1.0,Insertion
329,"('#le-docteur', 'Masques, vous pourriez bien ailleurs porter vos pas.')",,1.0,Insertion
330,"('#pierrot', 'Peut-être leurs chansons ne vous déplairont pas.')",,1.0,Insertion
331,"('#la-chanteuse', ""En vain pour garder une belle Un jaloux veille nuit et jour, Quoi qu'il fasse la sentinelle, Rien n'est impossible à l'amour. Pour se soustraire à l'esclavage, Une jeune beauté va souvent autre part, Et l'oiseau que l'on tient en cage S'envole tôt ou tard.  Les Masques dansent."")",,1.0,Insertion
332,"('#arlequin', ""Qui peut nous interrompre, au Diable la Musique ; Messieurs je n'aime point du tout le ton lyrique, De grâce laissez-nous ; passez vôtre chemin, Cela ne convient point quand on a du chagrin ; Ne voyez-vous pas bien que nous parlons d'affaire."")",,1.0,Insertion
333,"('#pierrot', 'Messieurs, démasquez-vous.')",,1.0,Insertion
334,"('#leandre', ""Il faut vous satisfaire. Me reconnaissez-vous, répondez s'il vous plaît ? À Arlequin."")","('#colombine', 'Dieu bons bourgeois de Paris  Qui veniez nous voir le dimanche.')",1.08,Substitution
335,"('#arlequin', ""C'est Léandre."")",,1.0,Insertion
336,"('#scaramouche', 'Je suis Cupidon le cadet.')",,1.0,Insertion
337,"('#arlequin', ""Ah ! Le bon écolier ! Voyez comme il s'applique, J'ai de la théorie, et lui de la pratique."")",,1.0,Insertion
338,"('#leandre', 'Argentine est à moi, je puis en disposer, De vôtre bon précepte on ne peut mieux user.')",,1.0,Insertion
339,"('#argentine', 'Consolez-vous, Monsieur, cette peine est légère, Vous ne me convenez en aucune manière.')",,1.0,Insertion
340,"('#octave', ""Monsieur, je suis Octave homme de qualité, J'ai pris, je le confesse, un peu de liberté, L'amour doit excuser la faute que j'ai faite, J'aimais depuis longtemps la charmante Spinette, Je prétends par l'hymen réparer son honneur."")",,1.0,Insertion
341,"('#le-docteur', 'Non, je veux me venger....')",,1.0,Insertion
342,"('#octave', 'Ah ! Monsieur le Docteur. Ne vous emportez pas.')",,1.0,Insertion
343,"('#spinette', ""En vérité mon père, Je le ferais encor si j'avais à le faire."")",,1.0,Insertion
344,"('#le-docteur', 'Il y faut consentir : car un enlèvement, Pourrait déshonorer ma fille entièrement, Allons, je vous pardonne, et vous comme mon gendre. À Octave.')",,1.0,Insertion
345,"('#scaramouche', ""Quant à moi je croyais que l'on m'aurait fait pendre,"")",,1.0,Insertion
346,"('#pierrot', ""Argentine mamour, tu ne m'aimes donc pas ? J'avais pour toi tantôt fait emplette d'appas."")",,1.0,Insertion
347,"('#le-docteur', ""Qu'est-ce donc Arlequin, vous gardez le silence ?"")",,1.0,Insertion
348,"('#pierrot', ""C'est qu'il enrage hélas ! Bien plus que l'on ne pense."")",,1.0,Insertion
349,"('#arlequin', ""Ô Ciel, est-il possible ! Ah fuyons de ces lieux, Partons, éloignons nous de ce Monstre odieux ! De cette trahison, ton coeur était capable ? Basilic, léopard, scorpion redoutable, Le siècle est corrompu, tous les coeurs son gâtés,  Je n'y vois que larcin, fraude de tous côtés, L'artifice est chéri dans le temps où nous sommes, Je vois de toutes parts de détestables hommes, La femme est le miroir de la légèreté, Le fidèle portrait de l'infidélité, Tout me reproche ici mon indigne faiblesse, Mais pour en triompher, j'étouffe ma tendresse, Je te hais cent fois plus qu'on ne peut exprimer, Et beaucoup plus encor, que je ne sus t'aimer, Malheureux qui se fie à tes promesses vaines, Ton sexe n'est formé que pour causer des peines, Mon coeur pour tes appas fut sensible à son tour, Je quittai la Sagesse, et je suivis l'Amour, Argentine est-ce ainsi que tu me récompenses ? Mais va, je te punis bien plus que tu ne penses, Puis qu'après tout l'amour dont mon coeur fut épris, Il ne me reste plus que haine, et que mépris. Oui, je veux habiter une Caverne obscure, Adieu serpent cruel, adieu femme parjure : Ici tout me déplaît, tout y blesse mes yeux, J'y vois avec horreur des objets odieux. Me livrant tout entier à la Philosophie, Au gré de mes désirs, je finirai ma vie, Éloigné pour jamais des traîtres, des menteurs, Je ne rencontrerai, ni fourbes, ni flatteurs. Tout me paraîtra beau, tout flattera mon âme, Puisque dans ce réduit, je n'aurai point de femme. Cette intrigue à vous seul doit son commencement, Du moins, cher Arlequin, voyez le dénouement ; Vous n'êtes pas le seul trompé, sur ma parole, Lorsque le coup est fait, le chagrin est frivole, Et puis qu'à cet hymen, j'ai voulu consentir, Pour terminer la fête il faut nous divertir. À Argentine. Il veut s'en aller. Après plusieurs danses on chante les couplets suivants."")",,1.0,Insertion
350,"('#la-chanteuse', ""Si le plaisir vous intéresse Cédez à des appas vainqueurs, Et vous livrant à la tendresse Goûtez ses flatteuses douceurs : Si l'amour est une faiblesse, C'est la faiblesse des grands coeurs."")",,1.0,Insertion
351,"('#leandre', ""Un coeur au Dieu d'amour rebelle Tôt ou tard se doit enflammer : À peine ai je vu cette belle, Que je me suis laissé charmer, Et comme un écolier fidèle, J'ai bien pratiqué l'art d'aimer."")",,1.0,Insertion
352,"('#argentine', ""Arlequin vous a fait connaître De l'amour le charmant sentier Et ce précepteur a fait naître Dans vôtre âme un ardent brasier, En pareil cas souvent le Maître Est moins heureux que l'écolier. "")","('#mezzetin', 'Adieu femmes, dont les maris  Trouvaient ici leurs places franches. ')",1.34,Substitution
353,"('#arlequin', ""Vous qui de l'amoureux Empire Ignorez les biens les plus doux, Qu'un soin curieux vous attire, Ici je vous attendrai tous, Ma pièce saura vous instruire, Venez à l'école chez nous."")","('#la-chanteuse', 'Adieu grands et petits collets,  Adieu gens de robe et finance.')",1.2,Substitution
354,"('#mezzetin', ""Vainement un pédant se vante De régenter avec succès, Sa Doctrine trop fatigante Fait rarement de bons effets, Mais dans une école galante, On fait bientôt d'heureux progrès."")",,1.0,Insertion
355,"('#pierrot', ""On prend une peine inutile, En gardant un jeune tendron, Pour ouvrir toutes les serrures L'amour a des passes-par-tout, Quand on conserve trop la viande Tôt ou tard la mouche s'y met."")","('#pierrot', 'Vous pouvez vendre vos sifflets,  À tous les chaudronniers de France.')",1.52,Substitution
356,"('#scaramouche', ""En vain on renferme une fille, Elle s'échappe bien souvent ; Et quand elle voit un bon drille Elle en fait d'abord son galant, C'est une anguille qui frétille, Un moulin qui tourne à tout vent."")",,1.0,Insertion
357,"('#arlequin', ""Je n'aurai plus de voeux à faire Si vous secondez mes desseins, Et si ma pièce a su vous plaire Donnez-m'en des signes certains, J'en serai sûr si le parterre Veut bien carillonner des mains."")","('#arlequin', ""Revenez tous encor demain,  Voir partir la troupe dolente.  Plus le parterre sera plein,  Plus la chose sera touchante.  Avant de nous séparer,  J'ai bien des choses à vous dire.  Si notre adieu vous fait pleurer,  Votre argent nous fera bien rire. "")",0.74,Substitution
