,dufresny-depart-des-comediens,mongin-promenades-de-paris,Cost,Operation Type
324,"('#pasquariel', ""Bon : et en faut-il savoir pour chanter à l'opéra ?  Nous ne la savons pas non plus, nous autres.  Nous avons mis Bellérophon sur les airs du pont-neuf : et si voulez être des nôtres, nous vous donnerons votre rôle, que vous chanterez à livre ouvert."")","('#arlequin', ""Mon éloquence serait vaine  À te le vouloir exprimer.  Oui, l'on souffre tant à l'Armée,  Que bien des braves gens que je n'ose nommer,  Souhaitaient cet été, malgré leur renommée,  Devenir Bourgeois de Paris ;  Et de tous ces bourgeois en été si chéris  Nos guerriers convoitant la vie et les pistoles  Maint d'entre eux disait ces paroles,  Petits-Collets, robins, et douaniers,  Que votre sort est doux, qu'il est digne d'envie !  Il ne vous coûte au plus que soupirs monnayers  Pour gagner Cloris ou Sylvie ;  Mais chez nous, pour gagner ou victoire ou lauriers,  Il faut qu'il en coûte la vie.  Petits Blondins, robins, et douaniers,  Vous êtes plus heureux cent fois que nos Guerriers.  L'été n'a pour vous que des charmes,  Quand il nous faut suer sous le poids de nos armes,  Chez vous et glaces et liqueurs,  Du chaud adoucirent les peines ;  Chez nous il n'est que les frayeurs  Qui glacent le sang dans les veines.  Vous répandez vin d'Espagne et du Rhin,  Quand nous versons le sang en abondance.  Vous avez plus d'une catin,  Quand nous n'en avons pas pour notre subsistance.  Vous dormez et soirs et matins,  Quand nous sommes tous des lutins,  Nous ne voyons qu'épée, ou baïonnette nue.  Ah ! Quelle affreuse nudité,  Auprès de celles qui l'été  Aux bains s'offrent à votre vue !  Buveurs, quand vous cassez les verres et les pots,  On casse bras et jambe à nos braves héros ;  Et vous riez sur l'herbe, et vous faites ripaille,  Quand nous jurons sur ce champ de bataille.  Enfin chacun de vous content de son destin,  Avecque la brune et la blonde  Ne cherche qu'à peupler le monde,  Quand nous ne voulons que sa fin.  Qu'en dis-tu, Mezzetin ? Ce sont là nos alarmes,  En raccourci voilà nos maux.  Les plus grands pour moi sont que nous autres Héros,  Tandis que devant nous chacun met bas les armes,  Des Bourgeois qui sont nos rivaux,  Nous font porter celles des sots.  Mais à propos, parlons de toi.  Comment gouvernes-tu nos veuves ?  De la mine dont tu es, et de l'inconstance dont elles sont, pendant que nous sommes au Champ de Mars, tu dois cet été faucher copieusement dans le champ des Amours."")",0.61,Substitution
325,,"('#mezzetin', ""Et, j'ai aussi un régiment de maîtresses que je ne voudrais pas troquer contre celui de ton maître ; et entre autres une certaine Colombine..."")",1.0,Deletion
326,,"('#arlequin', 'Co...')",1.0,Deletion
327,,"('#mezzetin', 'Colombine.')",1.0,Deletion
328,,"('#arlequin', 'Colombine ?  Ah, la traîtresse ! Et il ne faut pas demander si vous êtes bien aimé de cette Colombine ? Haut.')",1.0,Deletion
329,,"('#mezzetin', ""Ma foi, sans trop s'en faire accroire, quand on est tourné comme je le suis, on est toujours assez sûr de son fait auprès des femmes."")",1.0,Deletion
330,"('#arlequin', 'Et quel rôle me donnerez-vous ?')","('#arlequin', ""Mais sans trop d'indiscrétion, ne pourrait-on pas savoir à quoi vous en êtes avec elle ?"")",0.96,Substitution
331,,"('#mezzetin', ""Sans un maudit fiacre qui est venu ce matin nous interrompre pendant que nous étions tête à tête dans le Bois_de_Boulogne, j'aurais poussé les affaires bien loin.  Mais ce qui est différé n'est pas perdu.  Serviteur. Il s'en va."")",1.0,Deletion
332,,"('#arlequin', 'Bon voyage.  Après cela fiez-vous à ces carognes de femmes !  Mais voici justement mon maître.')",1.0,Deletion
333,,"('#leandre', ""D'où sors-tu donc, Arlequin ?  Il y a une heure que je te cherche."")",1.0,Deletion
334,,"('#arlequin', ""Je me promenais en vous attendant, Monsieur, ici près , dans l'allée des soupirs, où je faisais réflexion sur l'instabilité des choses humaines par rapport aux femmes."")",1.0,Deletion
335,,"('#leandre', ""Ah Ciel !  Est-ce d'Élise que tu veux parler ?  L'as-tu vue ?  Et bien, que t'a-t-elle dit ?  Qu'as-tu appris ?  Réponds vite."")",1.0,Deletion
336,,"('#arlequin', ""Non, Monsieur, Élise n'est point la matière de mes réflexions ; c'est la moins femme de toutes les femmes en inconstance.  Mais sa suivante, mais Colombine..."")",1.0,Deletion
337,,"('#leandre', ""Hé faquin, qu'ai-je à faire de Colombine ?  Parle-moi d'Élise."")",1.0,Deletion
338,,"('#arlequin', ""Et bien, je vous dis, Monsieur, qu'Élise est malgré l'absence, rage, aimable, fidèle.  Mais Colombine..."")",1.0,Deletion
339,,"('#leandre', ""Hé laissons-là Colombine, encore un coup ; parle de ce qui me touche.  Quoi donc ?  Élise n'aime ni n'épouse Calmar !"")",1.0,Deletion
340,,"('#arlequin', 'Non, Monsieur, Élise ne sera point Calmardée.  Mais Colombine entêtée de Mezzetin, est à la veille...')",1.0,Deletion
341,,"('#leandre', ""Encore ?  Hé traître, qu'est-il question ici de Mezzetin et de Colombine ?  Ne me parle que d'Élise.  Rends-moi compte de sa conduite, et de celle de Calmar."")",1.0,Deletion
342,,"('#arlequin', ""Et bien, je vous dis, Monsieur, que Calmar a fait de son mieux pour nous supplanter.  Il a donné fête, bal, spectacle, et aujourd'hui même dans le Bois_de_Boulogne, Élise."")",1.0,Deletion
343,,"('#leandre', ""Et bien, achève, qu'a fait Élise dans le Bois_de_Boulogne ?"")",1.0,Deletion
344,,"('#arlequin', ""Elle a fait ripaille avec Calmar, et n'est sortie de table que pour venir aux Tuileries entendre un concert qu'il lui donne.  Mais Colombine, tête à tête avec Mezzetin."")",1.0,Deletion
345,,"('#leandre', ""Tu ne finiras donc jamais, bourreau ?  Veux-tu donc oublier Colombine et me tirer d'inquiétude ?  Élise, dis-tu, n'est sortie de table que pour aller au concert ?  Qu'est-ce que c'est donc que ce concert ?"")",1.0,Deletion
346,,"('#arlequin', ""Oh, puisqu'il n'y a pas moyen de vous parler de Colombine, venons donc au fait.  Je vous dirai que le concert que veut donner Calmar, m'en a fait inventer un, où nous déconcerterons un peu ce rival.  Venez apprendre votre rôle.  Mais voici Octave et Scaramouche."")",1.0,Deletion
347,"('#mezzetin', 'Celui de Bellérophon.  Tenez, le voilà.  Essayons pour voir.')","('#octave', ""Que vois-je ?  Quoi, c'est vous mon cher Léandre ?"")",1.18,Substitution
348,"('#arlequin', ""Princesse, tout conspire à couronner ma flamme,  Sentez-vous le plaisir qui règne dans mon âme ?  Je le veux bien. Mezzetin embrasse Arlequin, et en l'embrassant lui attache son tablier aux épaules, ce qui forme un habit à la romaine. Arlequin, se trouvant habillé en Bellérophon chante sur l'air, Sur le pont d'Avignon."")","('#leandre', 'Oui, vous voyez, mon cher Octave, un homme encore tout poudreux, et hâlé du soleil de Flandre !')",0.97,Substitution
349,,"('#arlequin', 'Quoi ?  Te voilà donc dépoétisé, Scaramouche ?')",1.0,Deletion
350,"('#mezzetin', ""J'ai toujours partagé vos peines,  Je dois partager vos plaisirs."")","('#scaramouche', ""Oui, j'ai suivi tes conseils, je me suis rapatrié avec la fortune; j'ai repris la livrée."")",1.43,Substitution
351,,"('#octave', 'Quel sujet donc vous fait venir en poste de Flandre à Paris, et qui vous fait quitter le Champ de Mars pour les Tuileries ?')",1.0,Deletion
352,"('#arlequin', ""Qu'un si doux aveu me doit plaire,  Qu'il rend mon destin glorieux ! "")","('#leandre', ""Un Dieu qui fait quitter les armes pour la quenouille, le Ciel pour la Terre ; l'amour, en un mot, cher Octave, l'amour."")",0.95,Substitution
353,,"('#scaramouche', 'Es tu amoureux aussi toi, Arlequin ?')",1.0,Deletion
354,"('#mezzetin', ""Quand ma bouche pourrait se taire  L'amour ferait parler mes yeux. "")","('#arlequin', ""Si je suis amoureux ?  Belle demande !  Et ne sais-tu pas, animal, que l'amour est le faible de tous les grands hommes ?"")",0.94,Substitution
355,,"('#octave', ""Peut-on savoir quelle est la belle qui vous met ici au rang des plumets d'été, Léandre ?"")",1.0,Deletion
356,,"('#scaramouche', 'Et pourrait-on vous demander quelle est la soubrette qui vous met au rang des des grands hommes, Arlequin ?')",1.0,Deletion
357,"('#arlequin', ""Reçois, reçois, grand Apollon,  Reçois, reçois, grand Apollon,  Reçois ce sacrifice ;  Fais que le ciel, fais que le ciel à nos voeux soit propice. Tout cela va fort bien : mais certaine Sténobée jalouse, pria Amisodar de prier tous les cinquante mille diables de former un monstre de peinture et de carton, pour dévorer Bellérophon.  Bellérophon va prier le roi, le roi prie le sacrificateur, le sacrificateur prie la pythie, la pythie prie l'oracle, l'oracle prie Apollon, Apollon prie le tonnerre, le tonnerre...  Mais voyons un peu le sacrifice. Mezzetin prenant la robe de chambre de Pasquariel, devient sacrificateur, et Pasquariel reste avec un habit de prêtresse, et donne une bouteille de vin à Mezzetin, qui chante sur l'air : Ami, ne quittons point Créteil."")","('#leandre', ""Ah !  Je vais en un seul mot vous peindre la plus aimable de toutes les femmes, Octave ; c'est Élise, Élise qui est seule capable d'enlever mon coeur à la gloire."")",0.74,Substitution
358,,"('#arlequin', ""Scaramouche, c'est Colombine, qui seule peut enlever mon coeur à la cuisine."")",1.0,Deletion
359,"('#arlequin', ""Il faut verser le vin sur l'animal."")",,1.0,Insertion
360,"('#mezzetin', 'Quelle bête était-ce ?')","('#octave', 'Élise votre maîtresse, Léandre ?')",0.94,Substitution
361,,"('#scaramouche', 'Colombine ta maîtresse, Arlequin ?')",1.0,Deletion
362,"('#arlequin', 'Un boeuf.')",,1.0,Insertion
363,"('#mezzetin', ""Par ce vin que je trouve bon,  Apollon, faites-moi raison.  Au glou de ma bouteille,  Hé bien,  Les dieux prêtent l'oreille,  Vous m'entendez bien.  Boeuf ou âne, n'importe. Il boit et chante sur l'air : Vous m'entendez bien. "")","('#leandre', ""OuI, Élise ma maîtresse ; et c'est sur ce que l'on m'a mandé qu'elle était celle d'un nommé Calmar, que je suis venu savoir de ses nouvelles. Mais grâces au Ciel, c'est une fausse alarme, et Élise n'est point infidèle."")",1.29,Substitution
364,,"('#arlequin', 'Queusi queumi, Scaramouche.')",1.0,Deletion
365,,"('#octave', ""Mais avez-vous des preuves de la confiance et de l'amour d'Élise, Léandre ?"")",1.0,Deletion
366,,"('#scaramouche', 'Et toi, es-tu bien sûr des bonnes grâces de Colombine, Arlequin ?')",1.0,Deletion
367,"('#la-pretresse', ""Chut, chut, gardez tous un silence extrême,  Je vois trembler le temple d'Apollon.  Il vous entend, il va parler lui-même.  Il va tonner à peu près sur le même ton,  Ton re lon, ton ton, tontaine, la tontaine, la ton ton.  On remue le paravent.  Le paravent s'ouvre. "")","('#leandre', ""Les rigueurs dont Élise paie les douceurs de Calmar, me font des preuves de sa constance, et je veux, comme ami, vous en montrer de son amour.  Tenez, Octave, reconnaissez-vous là Élise ? Il lui montre le portrait d'Élise qu'il a au bras."")",1.2,Substitution
368,"('#arlequin', ""Un des fils de Neptune  Apaisera dit-on,  La déleste rancune ;  Mais il lui faut Nanon. Flon, flon, etc.  Pendant qu'Arlequin est derrière le paravent, on lui met un manteau royal. "")","('#arlequin', ""Attends, Scaramouche, tiens, reconnais tu là Colombine ? Il ôte son justaucorps, et fait voir à Scaramouche le portrait de Colombine qu'il a sur son dos."")",1.27,Substitution
369,"('#le-sacrificateur', 'Voici le Roi.')","('#octave', ""Oh, Ciel !  C'en est trop, je suis le misérable.  Serviteur, Léandre. Il s'en va."")",1.48,Substitution
370,,"('#scaramouche', ""Ah, Ciel !  Je fuis le malheureux.  Serviteur, Arlequin.  Il s'en va."")",1.0,Deletion
371,,"('#leandre', ""Comment donc ?  Qu'est-ce que cela signifie ?  Arrête, Octave.  Un mot ?  Octave ?  Découvrons d'où vient un adieu si brusque. Il le suit."")",1.0,Deletion
372,,"('#arlequin', 'Courons après, Monsieur.  Holà hé, Scaramouche, Scaramouche ?  Il y a ici quelque anguille sous roche.  Scaramouche ? Ils sortent.')",1.0,Deletion
373,,"('#colombine', ""Oui, Mademoiselle, vous avez aujourd'hui deux hommes à désabuser ; l'un de l'opinion où il est que vous pouvez l'aimer, et de celle où est l'autre que vous ne l'aimez plus."")",1.0,Deletion
374,"('#arlequin', ""Vous l'avez entendu, je n'ai rien à vous dire,  Je plains vos déplaisirs, avec vous j'en soupire :  Mais rien n'est préférable  Au repos de ces lieux.  Allez-vous-en au diable,  Soumettons-nous aux dieux. "")","('#elise', ""Pour Léandre, mon coeur se justifiera assez par la joie dont il sera saisi à sa vue.  Mais la pièce que l'on veut jouer à Calmar me fait de la peine.  Je voudrais le congédier de meilleure grâce, et il faut l'épargner, ne fut-ce que pour l'amour de sa robe."")",0.8,Substitution
375,"('#le-sacrificateur', 'Le monstre redouble sa rage. Le voilà qui vient, sauvez-vous. Pasquariel se change en monstre. Arlequin jette son manteau royal, et paraît monté sur un cheval ailé, combat le monstre, et après un jeu de culbutes, la scène finit.')","('#colombine', ""Et ne songeons qu'à l'épée, Mademoiselle.  Il ne faut rien épargner pour tirer Léandre d'erreur, et vous ne pouvez le désabuser que par un prompt et bon mariage.  Qu'attendez-vous ?  Ne laissez pas retourner votre amant à l'Armée, sans l'attacher avant des liens du contrat.  Et prenez ce guerrier enfin pendant qu'il est encore tout entier.  Mais chut, voici Monsieur_Calmar."")",1.06,Substitution
376,"('#arlequin', ""Voilà qui est fait, je vais avec vous autres. Allons jouer l'opéra aux vendanges. Prenons auparavant congé de ces messieurs. Il montre les auditeurs. Ici tous les violons jouent, et tous les comédiens chantent ce qui suit. "")","('#calmar', ""Hé bien, ma belle Demoiselle, à présent que la nuit approche à vos beaux yeux ne peuvent plus s'occuper aux Tuileries, il est temps de divertir vos oreilles.  Allons, il faut commencer notre concert."")",0.58,Substitution
377,,"('#colombine', ""L'heure et le lieu sont tout à fait favorables à la Musique."")",1.0,Deletion
378,"('#arlequin', 'Adieu théâtre, adieu balcons.  Adieu loges, adieu parterre.')","('#calmar', ""Ah !  Qu'il serait heureux, ma pauvre Colombine, s'ils l'étaient aussi un peu à mon amour.  Mais, holà, Musiciens, commencez."")",1.56,Substitution
379,"('#leandre', 'Adieu fillettes et garçons,  Plus assidus que père et mère. ')","('#mezzetin', ""Je viens d'une saison brûlante  Dissiper les vives chaleurs,  Et par de Bachiques liqueurs,  Enivrer s'il se peut Élise et sa suivante,  C'est ainsi qu'on touche les coeurs. Le beau sexe en vaincu par sa propre mâchoire,  Quand l'Amour court à jeun, et seul, à la victoire,  Il est bien facile à dompter.  Une belle aisément tient bon contre nos charmes,  Mais si jadis Tarquin eut emprunté ces armes,  Lucrèce n'eut fait que chanter.  Il boit. La suite de Bacchus danse."")",1.56,Substitution
380,"('#colombine', 'Dieu bons bourgeois de Paris  Qui veniez nous voir le dimanche.')","('#calmar', ""Où font donc mes autres Musiciens ?  Holà, Messieurs les Musiciens, qu'on vienne donc achever cette scène de l'Opéra. Léandre et Arlequin entrent."")",1.34,Substitution
381,"('#mezzetin', 'Adieu femmes, dont les maris  Trouvaient ici leurs places franches. ')","('#leandre', ""Ô vous, qui jouissez de la saison nouvelle,  Amoureux Rossignol, plaintive Tourterelle,  Chantez, petits oiseaux, vantez-vous, vantez-vous  D'être plus heureux que nous.  Vos femelles  Sont fidèles ;  Et pour voler au Combat  Vous ne laissez point vos belles  À des gens de Rabat.  On entend ensuite un bruit de guerre et de trompettes."")",0.86,Substitution
382,,"('#arlequin', ""Ce bruit, ces tambours, ces trompettes, De Mars annoncent le retour.  Prenez congé de nos coquettes,  Bourgeois, rengainez votre amour  La coiffe est sourde à vos fleurettes  Sitôt qu'elle entend le tambour.  Le bruit de guerre recommence et Léandre chante ensuite."")",1.0,Deletion
383,"('#la-chanteuse', 'Adieu grands et petits collets,  Adieu gens de robe et finance.')","('#leandre', ""Au retour du Printemps,  La robe préside aux ruelles :  Mais au retour des combattants  Tous les Amours s'en vont chantant ; Adieu, Robins, quittez nos belles,  Adieu, vous reviendrez avec les hirondelles,  Au retour du Printemps."")",1.19,Substitution
384,,"('#calmar', ""Ouais !  Est-ce que l'on me joue ici ?  Comment l'entendez-vous donc, Mademoiselle ?"")",1.0,Deletion
385,"('#pierrot', 'Vous pouvez vendre vos sifflets,  À tous les chaudronniers de France.')","('#colombine', ""Dansons, chantons avec gaîté  Bourgeois, à d'autre, à d'autres  Ce n'est qu'au coeur de l'été,  Qu'on peut recevoir le vôtre."")",1.61,Substitution
386,"('#arlequin', ""Revenez tous encor demain,  Voir partir la troupe dolente.  Plus le parterre sera plein,  Plus la chose sera touchante.  Avant de nous séparer,  J'ai bien des choses à vous dire.  Si notre adieu vous fait pleurer,  Votre argent nous fera bien rire. "")","('#le-choeur', ""Dansons, chantons avec gaîté  Bourgeois, à d'autre, à d'autres  Ce n'est qu'au coeur de l'été,  Qu'on peut recevoir le vôtre. Il se forme un cercle, au milieu duquel se trouve Calmar, et la danse finie, il s'en va tout en colère."")",0.61,Substitution
387,,"('#arlequin', ""Allons au mariage, allons.  Pour vous, Messieurs les violons,  Dites à Calmar qu'il vous paye.  En violons, partout on nous défraie ;  Et surtout ces gens de procès,  Ces Messieurs à langue dorée.  À nos dépens ils parlent au Palais, Mais en revanche aussi c'est toujours à leur frais,  Que nous dansons nous autres gens d'épée."")",1.0,Deletion
