,quinault-cadmus-hermione,quinault-persee,Cost,Operation Type
309,"('#tous-les-choeurs', 'Après un sort si rigoureux, Après tant de peines cruelles, Amants fidèles, Vivez heureux.')","('#le-choeur', ""Que n'aimez-vous, etc."")",0.95,Substitution
310,,"('#un-des-ethiopiens', ""L'amour n'a plus de traits terribles Pour un coeur qui cède à ses coups."")",1.0,Deletion
311,,"('#le-choeur', ""Que n'aimez-vous, etc."")",1.0,Deletion
312,"('#l-hymen', ""L'Hymen veut vous offrir ses chaines les plus belles."")","('#un-des-ethiopiens', ""Pour un amant Tendre et fidèle ; Pour un amant Tout est charmant. L'espoir nourrit ses feux ; sa chaîne est belle ; Il se fait un plaisir de son tourment."")",1.12,Substitution
313,"('#junon', 'Junon en veut former les noeuds.')","('#le-choeur', 'Pour un amant, etc.')",1.8,Substitution
314,"('#les-choeurs', 'Amants fidèles,  Vivez heureux.')","('#une-des-ethiopiennes', ""Heureux un coeur qu'amour appelle ! Malheureux, s'il tarde un moment !"")",1.2,Substitution
315,"('#venus', 'Vénus vous donnera des douceurs éternelles.')","('#le-choeur', 'Pour un amant, etc.')",0.77,Substitution
316,,"('#merope', ""Ô mort ! Venez finir mon destin déplorable. Ma rivale jouit d'un sort trop favorable, Et je souffrirais trop, si je ne mourais pas. Son bonheur m'a rendu le jour insupportable ; La nuit affreuse du trépas Me paraît moins épouvantable. Ô mort ! Venez finir mon destin déplorable. Hélas ! Funeste mort, hélas ! Pour les coeurs fortunés vous êtes effroyable ; Mais vos horreurs ont des appas Pour un coeur que l'amour a rendu misérable. Ô mort ! Venez finir mon destin déplorable."")",1.0,Deletion
317,,"('#phinee', ""Ce n'est point à des pleurs qu'il faut avoir recours. Junon veut qu'aujourd'hui je me venge avec elle. Iris, de son vouloir l'interprète fidèle, Vient, par son ordre exprès, de m'offrir son secours."")",1.0,Deletion
318,,"('#merope', ""Du secours de Junon que faut-il qu'on espère ? Persée a triomphé deux fois de son courroux."")",1.0,Deletion
319,"('#mars', ""J'écarterai de vous les fatales querelles, Et les ennemis dangereux."")","('#phinee', ""Que ne pourra point sa colère Unie à mon transport jaloux ? Heureux qui peut goûter une douce vengeance ! C'est l'unique espérance Des malheureux amants. Pour servir ma fureur on s'arme en diligence. Mon rival n'aura pas mon bien pour récompense ; S'il triomphe de moi, c'est pour peu de moments. C'est en vain qu'Andromède a trahi ma constance ; L'Amour est avec eux en vain d'intelligence ; Je briserai ses noeuds charmants. L'Hymen me livrera l'ingrate qui m'offense ; Elle a vu ma douleur avec indifférence : Je veux être sensible à ses gémissements ; Et, si je ne puis voir son coeur en ma puissance, Je jouirai de ses tourments. Heureux qui peut goûter une douce vengeance, etc. ! Il faut nous éloigner du peuple qui s'avance ; Ce superbe appareil, ces riches ornements, Tout ici de ma rage accroît la violence : Allons hâter l'éclat de nos ressentiments."")",0.72,Substitution
320,"('#les-choeurs', 'Amants fidèles,  Vivez heureux.')","('#merope #phinee', 'Heureux qui peut goûter une douce vengeance,etc. ! Ils sortent.')",1.16,Substitution
321,"('#pallas', 'Attendez de Pallas mille faveurs nouvelles.')",,1.0,Insertion
322,"('#l-amour', ""L'amour conservera toujours de si beaux feux."")","('#le-grand-pretre', ""Hymen ! Ô doux Hymen ! sois propice à nos voeux ; Viens unir ces amants fidèles, Viens les rendre à jamais heureux. Prends soin de conserver leurs ardeurs mutuelles, Allume en leur faveur les plus beaux de tes feux : Que leurs coeurs soient comblés de douceurs éternelles ; Qu'ils soient toujours contents et toujours amoureux. Charmant hymen, que tes chaînes sont belles, Lorsque l'amour en a formé les noeuds ! Hymen ! Ô doux Hymen ! Sois propice à nos voeux, etc. Le choeur répète les trois derniers vers. Les cérémonies du mariage de Persée et d'Andromède que le grand-prêtre de l'Hyménée et sa suite veulent commencer, sont interrompues par Mérope."")",0.46,Substitution
323,,"('#merope', ""Persée, il n'est plus temps de garder le silence : J'avais cru vouloir votre mort ; Mais mon coeur avec vous est trop d'intelligence, Et, prêtre à me venger, je ressens un transport Cent fois plus pressant et plus fort Que le transport de la vengeance. Votre rival approche, il en veut à vos jours : Mille ennemis vous environnent. Évitez leur fureur, servez-vous du secours Que les dieux propices vous donnent. Volez ne trouverez plus d'autres chemins ouverts."")",1.0,Deletion
324,,"('#cephee', ""Armons-nous ; punissons plus l'audace des rebelles."")",1.0,Deletion
325,,"('#merope', ""Sauvez-vous ; profitez de mes avis fidèles : C'est à fuir seulement que vous devez songer."")",1.0,Deletion
326,,"('#cephee', ""Si les dieux m'ont prêté des ailes, Ce n'est pas pour fuir le danger."")",1.0,Deletion
327,,"('#phinee #sa-suite', ""Persée, il faut périr ; meurs, et laisse Andromède Au pouvoir d'un heureux rival !"")",1.0,Deletion
328,,"('#cephee #cephee #leurs-suites', ""Perfides ! Recevez le châtiment fatal De la fureur qui vous possède ! Tous les combattants Cédez, cédez à notre effort ; Vous n'éviterez pas la mort. Persée, Céphée et leur suite poursuivent Phinée et sa suite."")",1.0,Deletion
329,"('#les-choeurs', 'Après un sort si rigoureux, Après tant de peines cruelles, Amants fidèles,  Vivez heureux.')","('#cassiope #andromede', ""Quelles horreurs ! quelles alarmes ! Dieux ! soyez touchés de mes larmes ! Tous les combattants Cédez, cédez à notre effort, etc. Les combattants s'éloignent."")",0.53,Substitution
330,"('#jupiter', 'Hymen, prend soin ici des Danses et des Jeux.')","('#cephee', ""Le soin de vous défendre en ces lieux me rappelle. Craignez tout d'un peuple rebelle ; Quel sang n'ose-t-il point verser ? Un trait, que sur Persée on a voulu lancer, A frappé votre soeur d'une atteinte mortelle. Junon, implacable pour nous, Anime les mutins de son fatal courroux. Leur rage croît, leur nombre augmente : Persée en vain toujours combat avec chaleur. Que servent les efforts qu'il tente ? Le nombre tôt ou tard accable la valeur."")",1.81,Substitution
331,,"('#phinee #sa-suite', ""Qu'il n'échappe pas, qu'il périsse, Cet étranger audacieux Qui prétend régner en ces lieux !"")",1.0,Deletion
332,"('#les-choeurs', 'Amants fidèles,  Vivez heureux.')","('#cephee #cassiope #andromede', 'Ciel ! Ô ciel soyez-nous propice !')",1.2,Substitution
333,,"('#phinee #sa-suite', ""Qu'il n'échappe, qu'il périsse !"")",1.0,Deletion
334,"('#l-hymen', ""Venez, Dieu des festins, aimables Jeux, venez ; Comblez de vos douceurs ces époux fortunés Tandis que tout le ciel prépare Les dons qu'il leur a destinés, La terre y doit mêler ce qu'elle a de plus rare. Venez, Dieu des festins, aimables jeux, venez ; Comblez de vos douceurs ces époux fortunés. Comus, Dieu des festins, s'avance accompagné de ses suivantes ordinaires, six hamadryades sortent de la terre, avec des corbeilles pleines de fruits. Comus commence à danser seul, ses suivants dansent ensuite, et après que les Hamadryades ont été présenter leurs fruits aux deux époux, elle viennent danser avec les suivants de Comus : cependant Arbas et la nourrice ne peuvent retenir les transports de leur joie et viennent mêler leurs chants avec les danse."")","('#cephee #cassiope #andromede', 'Défendez-nous, ô justes dieux !')",0.75,Substitution
335,,"('#persee', 'Ne craignez rien ; fermez les yeux,  Je vais punir leur injustice. Voyez leur funeste supplice. Persée pétrifie Phinée et sa suite, en leur montrant la tête de Méduse.')",1.0,Deletion
336,,"('#cephee #cassiope #andromede', 'Quel prodige ! Quel changement !')",1.0,Deletion
337,"('#arbas #la-nourrice', ""Serons-nous dans le silence Quand on rit, et quand on danse : Les chagrins ont eu leur temps, Pour jamais le Ciel les chasse, Les plaisirs ont pris leur place ; Lorsque deux coeurs sont constants Tôt ou tard ils sont contents. Qu'il est doux quand on soupire, De sortir d'un long martyre : Les chagrins ont eu leur temps,  Pour jamais le Ciel les chasse, Les plaisirs ont pris leur place ;  Lorsque deux coeurs sont constants  Tôt ou tard ils sont contents. Des Amours font descendre du Ciel sous un espèce de petit pavillon, les présents des Dieux, attachés à des chaînes galantes. Les hamadriades et les suivants de Comus les portent aux deux époux, et forment une danse, où Charite mêle une chanson."")","('#cephee', ""La tête de Méduse a fait leur châtiment... Cessons de redouter la fortune cruelle ; Le ciel nous promet d'heureux jours ; Vénus vient à notre secours ; Elle amène l'Amour et l'Hymen avec elle. Le palais de Vénus descend."")",0.59,Substitution
338,"('#charite', ""Amants, aimez vos chaînes, Vos soins et vos soupirs ; L'Amour suivant vos peines, Mesure vos plaisirs. Il cause des alarmes, Il vend bien cher ses charmes ; Mais pour un si grand bien Tous les maux ne sont rien. Sans une aimable flamme La vie est sans appas ; Qui peut toucher une âme Qu'Amour ne touche pas ? Il cause des alarmes, Il vend bien cher ses charmes ; Mais pour un si grand bien Tous les maux ne sont rien. Tous les Dieux du Ciel et de la Terre recommencent à chanter : les hamadriades et les suivants de Bacchus continuent à danser ; et ce mélange de chants et de danses forme une réjouissance générale, qui achève la fête des noces de Cadmus et Hermione."")","('#venus', 'Mortels, vivez en paix ; vos malheurs sont finis. Jupiter vous protège en faveur de son fils ; À ce dieu si puissant tous les dieux veulent plaire, Et Junon même enfin apaise sa colère. Cassiope, Céphée, et vous, heureux époux, Prenez place au ciel avec nous. Les souverains destins ordonnent Que des feux éclatants toujours vous environnent. Céphée, Cassiope, Persée, et Andromède, sont élevés dans le ciel, et des étoiles brillantes les environnent.')",0.29,Substitution
339,"('#tous-les-choeurs', 'Après un sort si rigoureux, Après tant de peines cruelles, Amants fidèles, Vivez heureux.')","('#venus #l-amour #l-hymenee #choeurs', ""Héros victorieux, Andromède est à vous ; Votre Valeur et l'Hymen vous la donnent : La gloire et l'Amour vous couronnent ; Fut-il jamais un triomphe plus doux ? Héros victorieux, Andromède est à vous. Les courtisans de Céphée, les Éthiopiens et les Éthiopiennes témoignent leur joie par leurs danses."")",0.84,Substitution
