,cadet-gassicourt-souper-de-moliere,chazet-dubois-moliere-chez-ninon,Cost,Operation Type
389,"('#lulli', ""C'est ainsi que chez les Grecs.... "")",,1.0,Insertion
390,"('#chapelle', 'Oui, et chez les Cannibales on orne les victimes.')","('#un-page', ""L'ordre doit concerner une pièce. "")",1.57,Substitution
391,"('#mignard', 'Des bouquets !  Madelon parée !  Antoine avec des rubans !  Ah !  Molière, nous ne sommes pas ta dupe.  Molière et Laforest rient.')","('#saint-alban', ""Ah ! J'entends... La défense... Mon cher, vous arrivez à temps. "")",1.46,Substitution
392,"('#chapelle', 'Comment !')","('#tous', 'Lisez... ')",0.24,Substitution
393,"('#lulli', 'Ainh ! ')",,1.0,Insertion
394,"('#boileau', ""Qu'est-ce donc ?"")","('#ninon', 'De cet écrit quelle est la signature ? ')",0.48,Substitution
395,"('#mignard', ""La noce d'Antoine et de Madelon. "")","('#moliere', 'Signé Louis. Lisez, ce grand nom me rassure.  Il lit.  À Ninon.')",1.51,Substitution
396,"('#boileau', ""Ouf !  Nous l'avons échappé belle. "")","('#saint-alban', 'Daignez lire vous-même adorable Ninon ! ')",1.89,Substitution
397,"('#lulli', 'La noce !  Je veux en être le ménétrier.  Il prend le violon.')",,1.0,Insertion
398,"('#moliere', ""Avouez, Messieurs les esprits forts, que votre frayeur a été complète.  Apprenez une autre fois à vous défier de votre imagination, et croyez que l'homme le plus malheureux tient à ce monde plus qu'il ne pense. "")","('#ninon', 'Je tremble.... ')",1.46,Substitution
399,"('#chapelle', ""Plutôt souffrir que de mourir,  C'est la devise des hommes.  Ma foi, comme dit La Fontaine."")","('#moliere', ""Et moi j'attends sans nulle émotion. "")",1.87,Substitution
400,"('#laforet', ""En comptant les maux de la vie,  Chacun dit : je veux en sortir.  Ce projet insensé s'oublie  Sitôt que s'offre le plaisir.  Tel on voit près de sa maîtresse  Un amant outré de courroux,  Au premier regard de tendresse ;  Rire et tomber à ses genoux.  AIR : Dans un des bosquets de sa mère. (Laborde.) "")","('#ninon', ""« Après avoir lu attentivement la comédie du Tartuffe, après avoir pesé les réflexions le notre premier Président qui nous peint cette pièce comme attaquant les meurs la religion, et renfermant des personnalités ; nous avons trouvé que ce chef-d'oeuvre ne pouvait offenser que les hypocrites ; or, nous permettons, même nous ordonnons qu'on la représente dans toutes les villes de la France. »"")",0.67,Substitution
401,,"('#moliere', 'Ô mon roi, je dois tout à la justice extrême. ')",1.0,Deletion
402,"('#moliere', ""Amis, la véritable gloire  Dépend toujours de l'avenir ;  Pour vivre au temple de mémoire,  Il faut commencer par mourir :  Tout écrivain prétend sans doute  Passer à la postérité ;  Mais, comme vous, chacun redoute  Ce pas vers l'immortalité. "")","('#le-prince', ""Honorer le talent, c'est s'honorer soi-même.  Cet acte généreux vaut mieux que cent exploits ; Le triomphe des arts fait la gloire des Rois. "")",0.75,Substitution
403,"('#lulli', ""Allons, amis, prenons courage,  Et rappelons notre gaîté ?  L'homme joyeux, quand il est sage,  Possède la félicité :  Qu'Epicure soit notre maître ;  Il a dit dans certain endroit :  On est heureux quand on croit l'être,  Et quand on le veut, on le croit."")","('#corneille', ""Le Prince, par l'effet de cet ordre propice,  Nous récompense tous en vous rendant justice. "")",0.96,Substitution
404,,"('#ninon', 'La lecture à présent serait de trop, je crois. ')",1.0,Deletion
405,"('#boileau', ""Le vin, en troublant ma cervelle,  A mis le feu dans tous mes sens ;  Je sens que l'ivresse avec elle  Peut entraîner trop d'accidents.  À ces dangers pour me soustraire,  Quand je serai dans un festin,  Je prétends lire, à chaque verre, "")","('#moliere', ""Laforêt, mon enfant , cours, cours vile chez moi.  Que dans tous les quartiers, les carrefours, les rues,  Dix mille affiches soient à l'instant répandues...  Pour annoncer enfin au public de Paris  Qu'on jouera le Tartuffe. "")",0.56,Substitution
406,,"('#ninon', 'Il sera bien surpris. ')",1.0,Deletion
407,,"('#saint-alban', 'Comment faire à présent !.... ')",1.0,Deletion
408,,"('#un-seigneur', 'La probité vous laisse  Un excellent moyen, faites tomber la pièce. ')",1.0,Deletion
409,,"('#laforet', ""Moi j' vais au paradis, si j' vois queuqu'censeur  Je crierai, mais ben haut : À bas le cabaleur.  Et s'il redouble encor, moi j'agirai de sorte  Que le public se lève et lui crie : À la porte. "")",1.0,Deletion
410,"('#la-fontaine', ""Un peintre avait perdu son ami le plus tendre,  Jour et nuit il versait des pleurs :  Son élève le voit. Touché de ses malheurs,  Il cherche à le distraire, et même ose entreprendre  D'adoucir ses chagrins, de calmer ses douleurs ;  Il saisit un charbon ; il le coupe, il le taille,  Il en fait un crayon parfait,  Et dessine sur la muraille  Le profil de l'ami.... que l'ami reconnaît  L'ouvrage était grossier, méritait réprimande,  Si l'on eût jugé le dessin ;  Mais le motif le recommande,  Et le peintre applaudit au coeur qui fait l'offrande,  Quoique le vrai talent n'ait pas conduit la main.  Dans cette juste allégorie,  L'auteur de la pièce vous dit :  Citoyens, voyez, je vous prie,  L'intention, et non l'esprit.  Vous êtes le peintre équitable,  Molière l'ami regretté ;  Je suis l'élève de la fable :  Puissai-je être aussi bien traité ! "")","('#ninon', ""Molière, à ce succès nous applaudissons tous ;  Votre triomphe est même un triomphe pour nous.  Mais au sein du bonheur, au comble de la gloire De vos amis, de moi, conservez la mémoire.  Que l'esprit, la valeur, viennent dans ce Salon  Retrouver quelquefois Molière chez Ninon.  Nota. Dans la scène XIII, les deux Seigneurs qui ont paru dans les premières scènes, entrent avec le Prince de Condé."")",0.78,Substitution
