,regnard-arlequin-bonnes-fortunes,regnard-filles-errantes,Cost,Operation Type
343,"('#monsieur-bassinet', ""Ah, monsieur !  Je vous demande pardon.  On m'avait dit que Mademoiselle Isabelle était dans sa chambre.  Que diable cherche ici ce godelureau-là ?  À part. "")",,1.0,Insertion
344,"('#isabelle', ""Monsieur, elle n'y est pas, et je l'attends.  Mais vous, monsieur, que venez-vous faire ici ?  Mademoiselle Isabelle est-elle malade ?  Car, à votre mine, je vous crois médecin, et vous avez toute l'encolure d'un membre de la Faculté. "")","('#arlequin', 'Non ?  Oh !  Parbleu, nous verrons : vous la prendrez, quand je devrais vous la faire avaler dans une médecine.  Laissez-moi faire seulement.')",0.49,Substitution
345,"('#monsieur-bassinet', ""Vous ne vous trompez pas, monsieur ; je suis un nourrisson d'Hippocrate : mais je ne viens pas ici pour tâter le pouls à Isabelle ; j'ai bien d'autres prétentions sur... "")","('#cinthio', 'Je me moque de vos menaces ; et pour vous faire voir que je ne vous crains, ni vous ni vos spadassins, je vais vous attendre dans cette hôtellerie-là.')",0.41,Substitution
346,"('#isabelle', ""Oui !  Et de quelle nature, s'il vous plaît, sont les prétentions d'un médecin sur une fille ? "")","('#arlequin', ""Qu'on me suive cet homme-là, et qu'on me le garde à vue.  Voilà, mordi !  Comme il faut sortir vigoureusement d'une affaire. Scènes italiennes."")",1.52,Substitution
347,"('#monsieur-bassinet', ""Je viens ici pour l'épouser. "")",,1.0,Insertion
348,"('#isabelle', ""Pour l'épouser !  Isabelle ? "")",,1.0,Insertion
349,"('#monsieur-bassinet', 'Isabelle.')","('#le-hollandais', 'Gouten tag, minher, gouten tag.')",1.35,Substitution
350,"('#isabelle', 'Ha, ha, ha ! ')","('#arlequin', 'Gouten tag, gouten tag.')",1.24,Substitution
351,"('#monsieur-bassinet', 'Mais cela est donc bien drôle ? ')","('#le-hollandais', ""Moi l'être un étrangir qui cherchir à logir dans sti ville. "")",1.81,Substitution
352,"('#isabelle', ""Point du tout ; mais c'est que...  Ha, ha, ha !...  Je ris comme cela quelquefois.  Ha, ha, ha ! "")","('#arlequin', ""Sti ville, monsir, l'être à vous bien obligir. Ma foi, voilà un croustilleux corps. À part."")",1.65,Substitution
353,"('#monsieur-bassinet', 'Comment donc !  Est-ce que je suis barbouillé ? ')","('#le-hollandais', ""Enseignir moi, s'il plaît à monsir, où être un logiment pour mon chevau et pour mon personne."")",1.67,Substitution
354,"('#isabelle', ""Bon !  Ne voyez-vous pas bien que je ris ?  Ha, ha, ha !  Dites-moi un peu, monsieur, en vous déterminant à un saut si périlleux, vous êtes-vous bien tâté ?  N'avez-vous point senti quelque petit mal de tête...  Vous m'entendez bien ? "")","('#arlequin', ""C'est une hôtellerie que vous cherchez, n'est-ce pas, monsieur ?"")",1.08,Substitution
355,,"('#le-hollandais', ""Oui, monsir, l'être une hôtellerie."")",1.0,Deletion
356,"('#monsieur-bassinet', 'Non, monsieur ; je me porte fort bien : je ne suis pas sujet à la migraine.')",,1.0,Insertion
357,"('#isabelle', ""Ma foi, vous porterez bien cela ; et je suis plus aise que vous ayez cette fille-là qu'un autre. "")","('#arlequin', ""Tenez, monsieur, en voilà une où vous serez parfaitement bien ; il y a de bon vin, et vous y trouverez aussi de jolies filles ; et voilà ce que vous demandez ; j'entends à demi-mot."")",0.48,Substitution
358,"('#monsieur-bassinet', 'Et moi aussi. ')","('#le-hollandais', ""Moi demandre excuse à monsir, si ne parlir pas bon français ; mais mon pensir l'être beaucoup plus meilleur que mon parlemente."")",1.98,Substitution
359,"('#isabelle', ""Mais quand elle sera votre femme, au moins n'allez pas nous la gâter par vos manières ridicules.  Nous avons eu assez de peine à la mettre sur le pied où elle est.  Le joli tour d'esprit !  Elle l'a comme le corps. "")","('#arlequin', ""Allez, monsieur, vous ne l'écorchez pas mal.  Croyez-moi, monsieur, allez vous reposer dans cette hôtellerie-là : car un homme qui n'a qu'une jambe doit être une fois plus las qu'un autre."")",0.98,Substitution
360,"('#monsieur-bassinet', ""Comme le corps !  Et savez-vous comme elle l'a tourné ? "")",,1.0,Insertion
361,"('#isabelle', ""Bon !  Qui le sait mieux que moi !  Si vous voulez, je vais la dessiner qu'il n'y manquera pas un trait.  Une gorge, morbleu !  Plantée là...  Bon !  C'est un marbre. "")",,1.0,Insertion
362,"('#monsieur-bassinet', 'Ouf !  Quel peintre ! ')","('#le-hollandais', 'Adieu, monsir ; moi remercir vous bien fortiment. Il frappe à la porte.')",1.58,Substitution
363,"('#isabelle', 'Je vous dis que vous ne sauriez faire une meilleure affaire. ')",,1.0,Insertion
364,"('#monsieur-bassinet', ""Je vois bien qu'elle ne serait point mauvaise pour vous. "")",,1.0,Insertion
365,"('#isabelle', ""Elle a, par-dessus cela, une adresse à conduire une affaire de coeur qui ne se comprend pas.  C'est un petit démon pour les tours d'esprit.  Si elle est votre femme, elle aura des intrigues avec toute la terre, que vous ne vous en apercevrez non plus que si elle était à Rome et vous au Japon.  Diable !  Une femme comme cela est un trésor pour le repos du ménage. "")","('#arlequin', 'Il faut que je sache un peu qui est cet étranger qui va loger chez moi.  Venez çà, monsieur ; ne peut-on pas savoir de quel pays vous êtes, et le sujet qui vous amène en cette ville ?')",1.01,Substitution
366,,"('#le-hollandais', ""Moi l'être un gentilhomme hollandais de Hollande, qui vient dans sti ville pour affaire de grand importement."")",1.0,Deletion
367,,"('#arlequin', ""Vous verrez que c'est un de ces sots qui se sont laissé prendre."")",1.0,Deletion
368,,"('#le-hollandais', ""Moi avoir toujours fait mon service sur la mer, et j'ai commandir un vaisseau de guerre des États dans le combat naval."")",1.0,Deletion
369,"('#monsieur-bassinet', ""Et avec tous ces beaux talents-là, d'où vient qu'elle n'est pas mariée ? Voilà des qualités merveilleuses pour être femme. "")","('#arlequin', 'Comment, diable, monsieur !  Hé !  Que venez-vous faire ici ?  Apparemment que vous avez un bon passeport ?')",1.33,Substitution
370,"('#isabelle', ""Ne savez-vous pas les allures du monde et la malignité des rivaux ?  Les uns disent qu'elle a des vapeurs ; les autres lui font faire un voyage : il y en a d'assez enragés qui lui font garder le lit cinq ou six mois pour une détorse... et... que sais-je, moi !  Cent autres contes que l'on va souffler aux oreilles d'un fiancé, qui ne manquent pas de rompre un mariage comme un verre ; et si, de tout cela, bien souvent il n'y en a pas la moitié de vrai. "")","('#le-hollandais', ""Moi venir expressément de mon pays, de la part des États, pour demandir à la cour qu'on me rendre mon vaisseau, que sti tiaple de Français avoir fait griller comme du poudin."")",0.96,Substitution
371,"('#monsieur-bassinet', ""Quand il n'y en aurait que le quart, c'est bien encore assez, de par tous les diables !  Une détorse ! "")","('#arlequin', ""Oh !  Vous avez raison ; voilà de méchants diables que ces Français !  Il fallait crier au feu ; quelqu'un serait venu à votre secours."")",1.47,Substitution
372,"('#isabelle', 'Au moins, je veux être de vos amis ; et je prétends, quand vous serez marié, aller sans façon manger chez vous votre chapon. ')","('#le-hollandais', ""N'être pas là tout, monsii. ; moi avoir encore perdu mon jambe, qui sti enragés m'ont emporté dans la bataille."")",1.5,Substitution
373,"('#monsieur-bassinet', ""Monsieur, vous me faites trop d'honneur ; mais je ne mange jamais de volaille.  À ce que je vois, vous connaissez parfaitement la demoiselle en question ? "")","('#arlequin', ""Si vous avez perdu votre jambe, ce n'est pas ma faute ; je vous assure, monsieur, que je ne l'ai point trouvée."")",1.36,Substitution
374,"('#isabelle', ""Ce n'est pas d'aujourd'hui que nous sommes toujours ensemble, et si vous étiez discret, je vous apprendrais quelque chose sur son chapitre, que je suis sûr que vous ne savez pas. "")",,1.0,Insertion
375,"('#monsieur-bassinet', 'Oh !  Vous pouvez tout dire, et compter sur ma discrétion.  Vous savez que les médecins... ')",,1.0,Insertion
376,"('#isabelle', 'Je passe...  (Mais il faut voir si personne ne nous entend.)  Je passe toutes les nuits dans sa chambre. ')",,1.0,Insertion
377,"('#monsieur-bassinet', 'Dans sa chambre ? ')",,1.0,Insertion
378,"('#isabelle', 'Dans sa chambre.  Je vous dirai même... ;  mais vous irez jaser. ')","('#le-hollandais', 'Moi redemandir mon membre à la cour.')",1.56,Substitution
379,"('#monsieur-bassinet', 'Non, je me donne au diable. ')","('#arlequin', ""Ma foi, monsieur, si vous voulez que je vous parle sincèrement, je ne crois pas qu'on vous rende votre jambe."")",1.8,Substitution
380,"('#isabelle', 'Cette nuit, nous avons reposé tous deux sur le même chevet.  Prenez vos mesures là-dessus. ')",,1.0,Insertion
381,"('#monsieur-bassinet', 'Sur le même chevet !  Ensemble ? ')","('#le-hollandais', 'Hé !  Pourquoi, monsir ?')",1.39,Substitution
382,"('#isabelle', 'Ensemble ; et cette nuit nous en ferons autant infailliblement.  Elle ne saurait se coucher sans moi.')",,1.0,Insertion
383,"('#monsieur-bassinet', ""Ah, ah !  Monsieur Brocantin, vous voulez donc m'en faire avaler ! "")","('#arlequin', ""Bon !  S'il fallait, à la cour, que l'on rendît à vos confrères les Hollandais tous les membres que les Français leur ont emportés cette année, il n'y aurait plus ni bras ni jambes en France."")",1.77,Substitution
384,"('#isabelle', ""Ce que je viens de vous dire là, au moins, ne doit point vous empêcher de conclure l'affaire.  Un homme bien amoureux ne s'arrête pas à ces bagatelles-là. "")",,1.0,Insertion
385,"('#monsieur-bassinet', ""Bon !  Voilà de belles badineries !  Je ne vois pas que rien presse encore de quitter la robe et le bonnet de médecine, pour me faire coiffer de mademoiselle Isabelle.  Adieu, monsieur, jusqu'au revoir.  Le ciel m'a assisté : voilà un jeune homme qui m'aime bien."")","('#le-hollandais', ""Mais, monsir, comment faire pour servir ?  Moi, n'avoir plus ni jambe, ni vaisseau."")",1.1,Substitution
386,"('#isabelle', ""On !  Pardi, monsieur Bassinet, je crois que vos fumées d'amour pour Isabelle sont bien passées présentement.  Depuis un quart d'heure que je fais l'homme, je ne suis pas mal scélérat.  Elle rentre.  Il y a ici des scènes italiennes. "")","('#arlequin', ""Je vous conseille, monsieur, d'aller servir aux Invalides.  À ce que je vois, monsieur le Hollandais, vous avez été un peu démâté, hé, hé, lié..."")",1.17,Substitution
387,"('#pierrot', ""Tout franc, monsieur, je crains que vous n'ayez attendu trop tard à marier vos filles. "")",,1.0,Insertion
388,"('#brocantin', 'Comment donc !  Serait-il arrivé quelque malheur dans ma famille ? ')","('#le-hollandais', ""Moi ne rire point, monsir ; moi l'être un gentilhomme.  Das, dick, der, dondre, vernetre."")",1.49,Substitution
389,"('#pierrot', ""Non, pas encore tout à fait ; mais, voyez-vous, monsieur, vous tournez trop à l'entour du pot.  Diable !  Les filles sont de certains animaux équivoques... "")","('#arlequin', 'Das, dick... Mon petit ami, vous sentez votre vieux rossé.  Je vous renverrai à Fleurus. Ils se battent ; le Hollandais tombe, et fait plusieurs lazzis avec sa jambe de bois. Scènes italiennes.')",1.23,Substitution
390,"('#brocantin', 'Que veux-tu donc dire avec tes animaux équivoques ? ')","('#arlequin', 'Allons, dépêchons-nous vite ; tire ton écritoire, ferme la porte, chasse les chiens, prends une chaise, mouche ton nez, laisse de la marge, écris gros.')",1.13,Substitution
391,,"('#pierrot', ""Monsieur, faisons vite, s'il vous plaît ; j'ai un cours de ventre, comme vous savez, qui ne me permet pas d'être longtemps en place."")",1.0,Deletion
392,"('#pierrot', ""C'est-à-dire, monsieur... tant y a que, je m'entends bien.  C'est comme des armes à feu ; ça tire quelquefois sans qu'on y pense. "")","('#arlequin', ""J'aurai bientôt fait. Comment vous appelez-vous ?  Dites-moi votre nom, surnom, qualité, patrie, rue, paroisse, logis, appartement.  Avez-vous un père, une mère, des frères, des parents ?  Que faites-vous à Paris ?  Y a-t-il longtemps que vous y êtes ?  Qui voyez-vous ?  D'où venez-vous ?  Où allez-vous ?  Écrivez donc, greffier. À Cinthio. Il donne un coup sur l'épaule de son clerc."")",0.96,Substitution
393,"('#brocantin', ""Ne te mets point en peine, Pierrot ; je suis sur le point d'en marier une, et je crois que je ferai affaire de l'aînée avec monsieur Bassinet. "")",,1.0,Insertion
394,"('#pierrot', ""Qui ?  Ce médecin ?  Fi !  Votre fille n'est point le fait de ce vieux rhumatisme-là. "")","('#pierrot', ""Ah !  J'ai l'épaule cassée.  Voilà un clerc estropié."")",1.54,Substitution
395,"('#brocantin', ""Il m'a promis qu'il quitterait sa profession de médecin, si je voulais lui donner Isabelle, et qu'il se ferait troqueur. "")",,1.0,Insertion
396,"('#pierrot', ""Hé !  Pardi, je le crois bien.  On lui en sait grand gré, ma foi, de quitter son séné ; pour une fille drue comme Isabelle !  Tuchoux !  Si vous voulez me la bailler, je vous quitte, vous et vos chevaux, dès demain ; et si, je crois que je vous panse avec autant d'honneur qu'un médecin fait ses malades.  Voulez-vous que je vous dise mon sentiment ?  Car, révérence parler, j'ai plus d'esprit que vous : vous ferez mieux, si je ne vous accommode pas, de la donner à quelque homme de condition, comme, par exemple, à un gentilhomme de robe. "")","('#arlequin', ""C'est punctum interrogationis.  Quel diable d'ignorant ! Et vous, mon petit gentillâtre, vous ne voulez donc pas répondre ?  Écrivez qu'il n'a rien dit. À Cinthio."")",1.37,Substitution
397,"('#brocantin', ""Te moques-tu, Pierrot ?  Notre vacation est la plus jolie du monde ; nous voyons tout ce qu'il y a de gens de qualité ; il n'y a point de prince qui fasse la dépense que nous faisons ; nous changeons de meubles tous les jours ; on ne voit jamais chez nous la même chose, et notre cabinet est le rendez-vous de tous les fainéants de la ville. "")",,1.0,Insertion
398,"('#pierrot', 'Et quelquefois aussi des fainéantes ; Car voyez vous, monsieur, les femmes ont toujours quelque pièce à troquer.')",,1.0,Insertion
399,"('#colombine', 'Mon papa, il y a là-bas une troupe de carêmes-prenants qui veulent entrer. ')",,1.0,Insertion
400,"('#brocantin', ""Qu'on les renvoie ; je ne veux point... "")",,1.0,Insertion
401,"('#colombine', ""On dit que c'est l'ambassadeur du prince Tonquin des Curieux qui veut m'épouser. "")",,1.0,Insertion
402,"('#pierrot', 'Oh !  Pardi, monsieur, les voilà. ')","('#cinthio', 'Comment voulez-vous, monsieur, que...')",0.27,Substitution
403,"('#brocantin', ""Le prince des Curieux épouser ma fille !  Je suis bien obligé à son altesse tonquinoise.  Voyons un peu ce qu'il va dire : écoute.  À Pierrot.  Mezzetin caquette, et veut baiser Colombine."")",,1.0,Insertion
404,"('#colombine', ""Ali !  Mon_Dieu, la vilaine bête !  Pierrot, Pierrot, ne me quitte point ; j'ai peur. "")",,1.0,Insertion
405,"('#pierrot', ""Oh !  Pardi, ne craignez rien avec moi ; il n'a qu'à venir.  Ah, mademoiselle !  La jolie queue !  Perroquet mignon ; tôt, tôt, à déjeuner.  Mezzetin caquette."")","('#arlequin', ""Vous croyez donc, mon ami, que j'ai le loisir d'entendre toutes vos sottises ?  Savez-vous que j'ai encore aujourd'hui trois fripons à faire pendre sans vous ?"")",0.97,Substitution
406,"('#brocantin', ""Je suis fatigué, j'ai fait un grand voyage,  Pour vous demander Colombine en mariage. Quel diable de jargon ! Qu'est-ce donc qu'il dégoise là ?  Mezzetin chante. "")",,1.0,Insertion
407,"('#colombine', 'Moi ?  Oh !  Je ne veux point épouser un perroquet. ')",,1.0,Insertion
408,"('#mezzetin', 'Hé !  Morguenne de vous !  Quelle fille, quelle fille !  Morguenne de vous !  Quelle fille êtes-vous ? ')","('#pierrot', 'Et cinq ou six demoiselles à faire déménager ?')",1.11,Substitution
409,,"('#cinthio', ""Monsieur, je m'appelle Cinthio ; je loge chez Arlequin."")",1.0,Deletion
410,"('#pierrot', ""Voilà l'ambassadeur du Pont-Neuf. "")","('#pierrot', ""Je le connais ; c'est un fripon."")",1.38,Substitution
411,"('#mezzetin', ""Le friand morceau !  J'aurai bien du plaisir d'en faire une perroquette. Qu'elle est belle ! "")",,1.0,Insertion
412,"('#colombine', ""Quel air de santé ! Vous avez la mine  Un jour de rester seule à la tontine... Oh !  Vous vous moquez.  J'ai ma soeur qui est bien plus jolie que moi ; et si vous aviez vu ma cousine Gogo, c'est tout autre chose.  Mezzetin chante. "")",,1.0,Insertion
413,"('#colombine', ""Oh ! Je ne veux jamais rester seule ; j'ai trop peur. "")",,1.0,Insertion
414,"('#mezzetin', 'Hé !  Morguenne de vous !  Quelle fille !  Quelle fille !  Morguenne de vous !... ')","('#arlequin', 'Songe à ce que tu fais, animal !  Punctum admirationis.  Connaissez-vous cette soi-disant fille-là ? Et vous, la belle aux yeux escarbillards, connaissez-vous ce pèlerin-ci ? À Isabelle.')",0.76,Substitution
415,"('#arlequin', ""Hé !  Dépêchez-vous.  Ce n'est pas sans raison que nos anciens modernes ont dit ingénieusement que le mariage était d'une très grande ressource pour de certaines gens, et que les aigrettes, dont quelques femmes galantes faisaient présent à leurs maris, étaient semblables aux dents, qui font du mal quand elles percent et nourrissent quand elles sont venues.  Cela présupposé, voyons un peu le tendron qui est destiné pour mes plaisirs ; car vous ne voudriez pas me faire acheter chat en poche.  Les violons jouent une entrée, pendant laquelle Arlequin sort de son panier et danse ; et après qu'il a dansé, il commence le discours qui suit. "")","('#isabelle', ""Hélas, monsieur !  Je ne le connais que trop ; c'est un ingrat qui m'a trompée avec une promesse de mariage."")",1.15,Substitution
416,,"('#pierrot', 'Voilà qui est bien noir !')",1.0,Deletion
417,"('#brocantin', ""Oh !  Avec moi, monsieur, point de surprise.  Voilà mes deux filles ; vous n'avez qu'à choisir : c'est encore trop d'honneur pour le sang des Brocantins. "")","('#arlequin', ""Si toutes les filles d'aujourd'hui avoient autant de maris que de promesses de mariage, elles en auraient assez pour en changer par saison. Qu'on aille dire à la chaîne qu'elle ne parte pas encore ; j'ai ici de quoi l'augmenter. Mais cela est-il bien vrai ? À un Garde. À Isabelle."")",1.01,Substitution
418,"('#arlequin', ""Oui, beau-père, je veux brocantiner avec vous ; et de peur de mal choisir, je les prendrai toutes deux. Pour vous, petite blonde d'Égypte, levez le nez, regardez-moi fixement, marchez, trottez.  Beau-père, n'y a-t-il rien à refaire à cette fille-là ?  Il se tourne vers Colombine. "")","('#isabelle', 'Tenez, monsieur, la voilà ; lisez.')",1.25,Substitution
419,,"('#arlequin', ""Me voilà bien embarrassé ; j'ai depuis deux jours un rhumatisme sur l'oreille, qui fait que je ne vois goutte."")",1.0,Deletion
420,,"('#le-garde', ""Monsieur, la chaîne ne partira pas que vous n'y soyez."")",1.0,Deletion
421,"('#brocantin', ""Oh !  Monsieur, je vous la garantis tout ce qu'on peut garantir une fille. "")","('#arlequin', 'Tenez, lisez.')",1.96,Substitution
422,"('#colombine', ""Je me porte bien, et je n'ai jamais eu d'autre maladie qu'un mal d'aventure : mon pouce devint gros comme ma tête. "")","('#pierrot', ""Moi, monsieur, vous savez bien que je n'ai jamais appris qu'à écrire."")",1.37,Substitution
423,"('#arlequin', ""Diable !  Méchant mal.  Les filles sont terriblement sujettes aux maux d'aventure ; mais l'enflure ne les prend pas toujours au pouce.  Seriez-vous bien aise d'être ma femme ? "")",,1.0,Insertion
424,"('#colombine', 'Moi !  Votre femme ?  Bon, bon !  Vous vous moquez : est-ce que je suis capable de cela ? ')","('#arlequin', 'Lisez donc ; je vous cède mes droits de magistrature.')",1.79,Substitution
425,,"('#pierrot', 'Lequel a déclaré ne savoir ni lire, ni écrire, attendu sa qualité de juge.')",1.0,Deletion
426,"('#arlequin', ""Malepeste !  Vous l'êtes de reste. "")","('#isabelle', 'Je soussigné...')",1.49,Substitution
427,"('#colombine', 'Je vous avertis par avance que si je suis jamais mariée avec vous, je ne vous incommoderai point de toute la nuit ; car je suis la meilleure coucheuse du monde : je me trouve le matin comme je me suis mise le soir. ')","('#arlequin', 'En voilà assez.  Que dites-vous à cela, monsieur le fripon ?')",1.7,Substitution
428,"('#arlequin', ""Celle qui m'engage sa foi  Sera, si cela se peut, sage ;  Elle doit se faire une loi  De demeurer dans son ménage,  Et de n'en sortir qu'avec moi,  En dépit du contraire usage.  Quand je vois revenir des femmes sans maris,  J'entends celles qui sont du plus galant étage,  Qui souvent loin du gîte ont passé plusieurs nuits,  Il me semble de voir un cheval de louage ;  Lorsqu'on le ramène au logis,  C'est un grand hasard s'il ne cloche ;  Et s'il ne boite pas tout bas,  Pour le moins, on trouve, en ce cas,  À coup sûr, quelque fer qui loche.  Dans ma maison il n'entrera,  De peur de maligne pratique ;  Aucun lévrier d'opéra,  Symphoniste, chanteur, ou suppôt de musique.  Item, point de maître à danser ;  Ce sont courtiers d'amour dont il faut se passer.  Ces gens-là se font trop de fête ;  Et, quelque soin que vous preniez,  Par leurs leçons, la femme en porte mieux les pieds,  Mais le mari plus mal la tête. Tant mieux.  Mais avant de passer outre, il est bon que je vous fasse part de quelques petits avis en vers, que j'ai faits pour servir de niveau à la femme qui tombera sous ma coupe.  Écoutez bien ceci.  Il tousse.  PRIMO.  SECUNDO. "")","('#cinthio', ""Je dis, monsieur, que l'on ne traite point de la sorte un homme de ma qualité."")",1.31,Substitution
429,"('#colombine', ""Point de maître à danser ?  Et quel mal font-ils aux maris ?  Ils ne les touchent jamais.  Je renoncerais plutôt au mariage.  J'aime le mien presque autant qu'un mari. "")","('#arlequin', ""Ah !  Mon petit compagnon, vous voulez faire le plaisant !  Nous allons voir si vous avez bon air à danser au bout d'une ficelle."")",0.91,Substitution
430,"('#arlequin', ""Vous n'aurez près de vous que gens  Qui soient tout à fait nécessaires ;  Laquais au-dessous de douze ans,  Ou bien cochers sexagénaires.  Item, point de pensionnaires.  Ces oiseaux gras et bien nourris  Viennent souvent pondre en nos nids ;  Et, trouvant de plain-pied à parler de leurs flammes,  Ils se racquittent près des femmes  De ce qu'ils payent aux maris.  Que dites-vous à cela, la future ?  C'est à cause de cela. Ces messieurs-là ne montrent pas toujours la courante et le menuet. TERTIO. "")","('#isabelle', ""Non, monsieur le Commissaire, il n'y a point de supplice assez cruel pour punir sa perfidie.  À quoi le désespoir ne m'a-t-il pas réduite ?  J'ai quitté mes parents pour le suivre ; je me suis exposée à mille hasards ; car vous savez les risques que court une fille toute seule."")",1.27,Substitution
431,,"('#arlequin', ""Elle en court encore plus quand elle est avec quelqu'un."")",1.0,Deletion
432,"('#colombine', ""Moi ?  Je dis que je n'y entends rien.  Qu'est-ce que c'est que de venir pondre dans nos nids ?  Est-ce que l'on a des oeufs quand on est mariée ? "")",,1.0,Insertion
433,"('#arlequin', ""Qui voudra se mettre en famille,  Qu'il prenne garde que jamais  Il ne s'engaigne d'une Agnès ;  C'est une méchante chenille.  Il en est bien souvent de ces sortes de filles,  Ainsi que de ces oeufs qu'on achète pour frais :  On a beau les mirer de près,  Dès qu'on en casse les coquilles,  On en voit sortir les poulets.  Non ; mais vous aurez des poulets.  Je vous expliquerai tout cela quand vous serez ma femme.  Voyons le reste.  QUARTO et ULTIMO."")","('#isabelle', ""Je me suis mise servante dans l'auberge d'Arlequin, où j'ai caché mon nom sous celui de Claudine.  Il est venu loger dans cette hôtellerie, pour son malheur et pour le mien ; car, enfin, il est bien rude de voir pendre ce que l'on a si tendrement aimé...  Hi... Hi... Elle pleure."")",0.79,Substitution
434,,"('#pierrot', 'Hé, hé... Il pleure.')",1.0,Deletion
435,"('#brocantin', 'Il a ma foi raison.  Çà, monsieur...  Mais voici monsieur Bassinet fort à propos. ')","('#arlequin', 'Tu me le payeras, coquin, de faire pleurer mon secrétaire.  Que la corde soit bien grosse ; voilà un fripon qui a la vie dure.')",1.31,Substitution
436,,"('#cinthio', ""J'avoue ma faute ; mais, monsieur le Commissaire, il faut pardonner à l'amour. Il donne de l'argent au Commissaire."")",1.0,Deletion
437,"('#monsieur-bassinet', 'Parbleu, je suis ravi de trouver ici tout le inonde en joie.  Apparemment que vous disposez le bal pour notre mariage ? ')","('#arlequin', 'Non, non ; je prétends faire ma charge avec honneur...  Je me servirai de cet argent-là pour vous faire une pompe funèbre.')",1.49,Substitution
438,"('#brocantin', ""Oh, monsieur Bassinet !  Vous venez le plus à propos du monde ; nous ferons d'une pierre deux coups.  Voilà ma fille Isabelle qui vous attend pour vous donner la main. "")","('#cinthio', ""Mais, monsieur le Commissaire, un peu de quartier ; je suis prêt à l'épouser."")",1.06,Substitution
439,"('#arlequin', 'Est-ce que vous prétendez donner votre fille à ce scorpion ?  Fi !  Ne faites point cette affaire-là. ')","('#pierrot', 'Il a raison ; il vaut encore mieux être marié que pendu.')",1.56,Substitution
440,"('#brocantin', ""Vous moquez-vous ?  C'est un médecin très riche. "")",,1.0,Insertion
441,"('#arlequin', ""Un médecin ?  Je m'en doutais bien, car j'ai eu envie de faire une selle en le voyant.  Mais cet homme-là ne vaut rien pour le mariage : tenez, vous voyez bien que sa barbe ne tient point ; ce sont deux moustaches postiches.  Il lui arrache les poils de la barbe. "")","('#isabelle', ""Moi, traître !  T'épouser, après toutes tes infidélités !  Je renonce à ta tendresse ; je ne veux point d'un coeur aussi corrompu que le tien."")",1.24,Substitution
442,"('#monsieur-bassinet', 'Que le diable vous emporte !  Quelle peste de cérémonie ! ')","('#cinthio', ""Hé !  De grâce, mademoiselle, que l'amour vous fasse oublier un crime que l'amour même a fait commettre !"")",1.27,Substitution
443,"('#arlequin', ""Il y a encore pis que cela ; cet homme sera pendu avant qu'il soit vingt-quatre heures.  Voyez cette mine patibulaire. "")","('#arlequin #pierrot', ""Écoutez, mademoiselle ; quand il sera sec, vous n'en serez pas plus grasse ; vous l'êtes assez."")",0.9,Substitution
444,"('#brocantin', 'Pendu !  Et comment connaissez-vous cela ? ')",,1.0,Insertion
445,"('#arlequin', ""Par le moyen des astres, et par les règles de la métoposcopie.  Je n'y manque jamais, à une heure près ; et, si vous voulez, je vous dirai quand vous le serez. "")","('#pierrot', ""Pourvu qu'il paye grassement mes écritures, je vous conseille de lui pardonner ; il est assez puni d'avoir une femme."")",1.49,Substitution
446,"('#brocantin', ""Cela étant, je vais le congédier.  Monsieur Bassinet, vous voyez bien ma fille : touchez là ; vous n'en croquerez que d'une dent, et je ne veux point de gendre dont la barbe ne tient point. "")","('#isabelle', 'Ingrat !  Je devrais vous haïr, et je sens que je ne le puis.')",1.01,Substitution
447,"('#arlequin', ""Ni moi d'un beau-frère qui postule après une cravate de chanvre. "")","('#arlequin', ""Ah !  Vous voilà donc bons amis !  Présentement que l'affaire est toisée, il est bon de vous dire que le commissaire et le clerc sont deux fripons qui ont pris cet habit-là pour vous faire marier ensemble."")",1.66,Substitution
448,"('#monsieur-bassinet', ""Ni moi d'une fille qui a eu des détorses de neuf mois.  Allez, vieux radoteur, aux Petites-Maisons, avec votre chienlit.  Je venais ici pour vous dire que je ne voulais point de la fille d'un fou, et qui passe toutes les nuits avec des godelureaux.  Fi, la vilaine ! "")","('#pierrot', ""Cela est vrai.  Ma foi, voilà une procédure qui m'a donné bien de la peine !"")",1.54,Substitution
449,"('#arlequin', ""Adieu, adieu ; bon voyage, mon ami : à la Grève, à la Grève. Consolez-vous, la belle, je vais vous présenter un époux qui vaudra cette vilaine égoutture de bassin.  Tenez, beau- père...  Ce sera là votre second gendre ; c'est un grand seigneur de mon pays. À Isabelle.  Montrant Octave qui est déguisé. "")","('#arlequin', ""Monsieur, en faveur de cette noce-là il faut se divertir.  Allons, qu'on fasse venir les violons, et qu'on appelle toute l'auberge."")",0.87,Substitution
450,"('#isabelle', ""Ah, ciel !  C'est Octave !  Octave lui fait un compliment en italien. "")",,1.0,Insertion
451,"('#brocantin', ""Qu'est-ce qu'il jargonne là ? "")",,1.0,Insertion
452,"('#arlequin', ""C'est un compliment tonquinois.  Il dit qu'elle est une étoile resplendissante de perfection, et que, si la queue de son manteau était plus longue, il la prendrait pour une comète.  Isabelle répond en italien au compliment d'Octave. "")",,1.0,Insertion
453,"('#brocantin', 'Quoi !  Ma fille sait déjà le tonquinois ? ')",,1.0,Insertion
