,la-fontaine-daphne,moliere-amants-magnifiques,Cost,Operation Type
328,"('#amphrise', ""Nos conseils ont été frivoles ; La seule obscurité fait le prix des paroles Que l'on cherche aux livres du Sort."")","('#sostrate', ""Seigneur, la question est un peu violente, l'esprit de la Princesse n'est pas une règle pour le mien, et son intelligence peut l'élever à des lumières où mon sens ne peut pas atteindre."")",0.9,Substitution
329,"('#penee', ""Ma fille, rendez-vous aux volontés d'un père : Qu'il soit votre oracle aujourd'hui Aimez Tharsis ; il vous doit plaire ; Toute notre Cour est pour lui."")","('#aristione', ""Non, Sostrate, je ne vous dirai rien sur quantité de choses, auxquelles je ne donne guère plus de créance que vous.  Mais pour l'astrologie on m'a dit, et fait voir des choses si positives que je ne la puis mettre en doute."")",1.49,Substitution
330,,"('#sostrate', ""Madame, je n'ai rien à répondre à cela."")",1.0,Deletion
331,"('#apidame', ""Tels étaient ces mortels pour qui l'idolâtrie Commença d'introduire au monde son pouvoir."")","('#aristione', ""Quittons ce discours, et qu'on nous laisse un moment.  Dressons notre promenade, ma Fille, vers cette belle grotte, où j'ai promis d'aller.  Des galanteries à chaque pas."")",1.41,Substitution
332,"('#amphrise', ""Il a tout l'air d'un dieu ; l'on dirait à le voir, Que l'Olympe est sa patrie."")",,1.0,Insertion
333,"('#daphne', ""Hélas ! J'en crus autant, lorsqu'en notre prairie Je le vis arriver inconnu dans ces lieux. Maintenant mon coeur tâche à démentir mes yeux. Ne m'en accusez point : quelque force suprême M'entretient malgré moi dans cette erreur extrême. Que Tharsis soit parfait, qu'il ait l'air qu'ont les dieux, Est-ce par raison que l'on aime ?"")","('#aristione', ""De qui que cela soit, on ne peut rien de plus galant et de mieux entendu.  Ma Fille, j'ai voulu me séparer de tout le monde pour vous entretenir, et je veux que vous ne me cachiez rien de la vérité.  N'auriez-vous point dans l'âme quelque inclination secrète que vous ne voulez pas nous dire ?"")",0.59,Substitution
334,"('#penee', ""L'hymen change les coeurs : suivez mes volontés."")","('#eriphile', 'Moi, Madame ?')",1.8,Substitution
335,"('#daphne', ""Quoi ! Seigneur, vous aussi vous me persécutez ! De ses autres tyrans sans peine on se console ; Mais d'un père ! un père m'immole ! Je tiens le jour de vous, Seigneur ; vous me l'ôtez."")","('#aristione', ""Parlez à coeur ouvert, ma Fille, ce que j'ai fait pour vous mérite bien que vous usiez avec moi de franchise.  Tourner vers vous toutes mes pensées, vous préférer à toutes choses, et fermer l'oreille en l'état où je suis, à toutes les propositions que cent princesses en ma place écouteraient avec bienséance, tout cela vous doit assez persuader que je suis une bonne mère, et que je ne suis pas pour recevoir avec sévérité les ouvertures que vous pourriez me faire de votre coeur."")",0.55,Substitution
336,"('#penee', ""Moi, je perdrais Daphné ! qu'ai-je à conserver qu'elle ? L'hymen m'a-t-il fait d'autres dons ?"")","('#eriphile', ""Si j'avais si mal suivi votre exemple que de m'être laissée aller à quelques sentiments d'inclination que j'eusse raison de cacher, j'aurais, Madame, assez de pouvoir sur moi-même pour imposer silence à cette passion, et me mettre en état de ne rien faire voir qui fût indigne de votre sang."")",1.15,Substitution
337,"('#daphne', ""Cependant, quand je vous appelle Du plus tendre de tous les noms, Vous ne vous souvenez que de votre puissance ; Vous regardez l'obéissance, La raison, et jamais d'autres tyrans plus doux ; Il en est toutefois. Leucippe vient à nous : Je lui vais ôter l'espérance. Vous le voulez, Seigneur ; je le lis dans vos yeux."")","('#aristione', ""Non, non, ma fille : vous pouvez sans scrupule m'ouvrir vos sentiments.  Je n'ai point renfermé votre inclination dans le choix de deux princes : vous pouvez l'étendre où vous voudrez, et le mérite auprès de moi tient un rang si considérable, que je l'égale à tout ; et, si vous m'avouez franchement les choses, vous me verrez souscrire sans répugnance au choix qu'aura fait votre coeur."")",0.32,Substitution
338,"('#daphne', ""Leucippe, il faut tâcher d'éteindre votre flamme. Je ne puis être à vous."")","('#eriphile', ""Vous avez des bontés pour moi, Madame, dont je ne puis assez me louer ; mais je ne les mettrai point à l'épreuve sur le sujet dont vous me parlez, et tout ce que je leur demande, c'est de ne point presser un mariage où je ne me sens pas encore bien résolue."")",1.26,Substitution
339,"('#leucippe', 'Ô cieux ! Injustes cieux ! Est-ce là votre arrêt ?')","('#aristione', ""Jusqu'ici je vous ai laissée assez maîtresse de tout, et l'impatience des Princes vos amants...  Mais quel bruit est-ce que j'entends : ah !  Ma fille, quel spectacle s'offre à nos yeux, quelque Divinité descend ici, et c'est la Déesse Vénus qui semble nous vouloir parler."")",1.43,Substitution
340,"('#daphne', 'Cet oracle odieux Vient de mon père seul.')","('#venus', ""Princesse dans tes soins brille un zèle exemplaire, Qui par les Immortels doit être couronné, Et pour te voir un gendre, illustre et fortuné, Leur main te veut marquer le choix que tu dois faire ; Ils t'annoncent tous par ma voix, La gloire et les grandeurs, que par ce digne choix, Ils feront pour jamais entrer dans ta famille, De tes difficultés termine donc le cours ; Et pense à donner ta fille À qui sauvera tes jours."")",1.58,Substitution
341,"('#leucippe', 'Votre père et les dieux Disposent de mon sort, mais non pas de mon âme : Moi-même en suis-je maître ?')","('#aristione', ""Ma Fille, les Dieux imposent silence à tous nos raisonnements.  Après cela, nous n'avons plus rien à faire, qu'à recevoir ce qu'ils s'apprêtent à nous donner, et vous venez d'entendre distinctement leur volonté.  Allons dans le premier temple les assurer de notre obéissance, et leur rendre grâce de leurs bontés."")",0.92,Substitution
342,,"('#cleon', ""Voilà la Princesse qui s'en va, ne voulez-vous pas lui parler ?"")",1.0,Deletion
343,"('#daphne', 'Il le faut.')",,1.0,Insertion
344,"('#leucippe', ""Ah ! Daphné ! Que ce mot est facile à dire ! Et que l'amour possède avecque peu d'empire Un coeur que la contrainte a si tôt entraîné !"")","('#anaxarque', ""Attendons que sa fille soit séparée d'elle, c'est un esprit que je redoute, et qui n'est pas de trempe à se laisser mener, ainsi que celui de sa mère.  Enfin, mon Fils, comme nous venons de voir par cette ouverture, le stratagème a réussi, notre Vénus a fait des merveilles ; et l'admirable ingénieur qui s'est employé à cet artifice, a si bien disposé tout, a coupé avec tant d'adresse le plancher de cette grotte, si bien caché ses fils de fer et tous ses ressorts, si bien ajusté ses lumières, et habillé ses personnages, qu'il y a peu de gens qui n'y eussent été trompés.  Et comme la Princesse Aristione est fort superstitieuse, il ne faut point douter qu'elle ne donne à pleine tête dans cette tromperie.  Il y a longtemps, mon fils, que je prépare cette machine, et me voilà tantôt au but de mes prétentions."")",0.7,Substitution
345,"('#daphne', ""Quoi ! Faut-il que mon coeur soit par vous soupçonné ? Cruel ! n'avais-je pas encore assez de peine ?"")","('#cleon', 'Mais pour lequel des deux princes au moins dressez-vous tout cet artifice ?')",1.28,Substitution
346,"('#leucippe', ""Enfin donc le Destin me déclare sa haine ; Vous serez à Tharsis ; et moi, par mes soupirs, J'augmenterai ses plaisirs."")","('#anaxarque', ""Tous deux ont recherché mon assistance, et je leur promets à tous deux la faveur de mon art ; mais les présents du Prince Iphicrate, et les promesses qu'il m'a faites, l'emportent de beaucoup sur tout ce qu'a pu faire l'autre.  Ainsi ce sera lui qui recevra les effets favorables de tous les ressorts que je fais jouer ; et comme son ambition me devra toute chose, voilà mon fils notre fortune faite.  Je vais prendre mon temps pour affermir dans son erreur l'esprit de la Princesse, pour la mieux prévenir encore par le rapport que je lui ferai voir adroitement des paroles de Vénus, avec les prédictions des figures célestes, que je lui dis que j'ai jetées.  Va-t'en tenir la main au reste de l'ouvrage, préparer nos six hommes à se bien cacher dans leur barque derrière le rocher ; à posément attendre le temps que la Princesse Aristione vient tous les soirs se promener seule sur le rivage, à se jeter bien à propos sur elle, ainsi que des corsaires, et donner lieu au Prince Iphicrate de lui apporter ce secours, qui sur les paroles du Ciel doit mettre entre ses mains la Princesse Ériphile.  Ce prince est averti par moi, et sur la foi de ma prédiction, il doit se tenir dans ce petit bois qui borde le rivage.  Mais sortons de cette grotte, je te dirai en marchant toutes les choses qu'il faut bien observer.  Voilà la Princesse Ériphile : évitons sa rencontre."")",0.62,Substitution
347,"('#daphne', ""Plût au Ciel que Tharsis causât seul vos alarmes, Et qu'un père..."")",,1.0,Insertion
348,"('#leucippe', 'Achevez.')",,1.0,Insertion
349,"('#daphne-', ""Eh ! Que sert d'achever Un souhait qu'on sait bien qui ne peut arriver ?"")","('#eriphile', ""Hélas !  Quelle est ma destinée, et qu'ai-je fait aux Dieux pour mériter les soins qu'ils veulent prendre de moi ?"")",1.09,Substitution
350,"('#leucippe', ""Il n'importe, mon âme y trouvera des charmes."")","('#cleonice', ""Le voici, Madame, que j'ai trouvé, et à vos premiers ordres, il n'a pas manqué de me suivre."")",1.0,Substitution
351,"('#daphne-', ""Ne m'aimez plus."")","('#eriphile', ""Qu'il approche, Cléonice, et qu'on nous laisse seuls un moment.  Sostrate, vous m'aimez ?"")",1.59,Substitution
352,"('#leucippe', 'Le puis-je ? Et le souhaitez-vous ?')","('#sostrate', 'Moi, Madame ?')",1.11,Substitution
353,"('#daphne-', 'Vos tourments ont pour moi quelque chose de doux, Il est vrai ; mais cessez.')","('#eriphile', ""Laissons cela, Sostrate, je le sais, je l'approuve, et vous permets de me le dire.  Votre passion a paru à mes yeux accompagnée de tout le mérite qui me la pouvait rendre agréable.  Si ce n'était le rang où le Ciel m'a fait naître, je puis vous dire que cette passion n'aurait pas été malheureuse, et que cent fois je lui ai souhaité l'appui d'une fortune qui pût mettre pour elle en pleine liberté les secrets sentiments de mon âme.  Ce n'est pas, Sostrate, que le mérite seul n'ait à mes yeux tout le prix qu'il doit avoir, et que dans mon coeur je ne préfère les vertus qui sont en vous à tous les titres magnifiques, dont les autres sont revêtus.  Ce n'est pas même que la Princesse ma Mère ne m'ait assez laissé la disposition de mes voeux, et je ne doute point, je vous l'avoue, que mes prières n'eussent pu tourner son consentement du côté que j'aurais voulu ; mais il est des états, Sostrate, où il n'est pas honnête de vouloir tout ce qu'on peut faire.  Il y a des chagrins à se mettre au-dessus de toutes choses, et les bruits fâcheux de la renommée vous font trop acheter le plaisir que l'on trouve à contenter son inclination ; c'est à quoi, Sostrate, je ne me serais jamais résolue, et j'ai cru faire assez de fuir l'engagement dont j'étais sollicitée.  Mais enfin les Dieux veulent prendre le soin eux-mêmes de me donner un époux ; et tous ces longs délais avec lesquels j'ai reculé mon mariage, et que les bontés de la Princesse ma Mère ont accordés à mes désirs, ces délais, dis-je, ne me sont plus permis, et il me faut résoudre à subir cet arrêt du Ciel.  Soyez sûr, Sostrate, que c'est avec toutes les répugnances du monde que je m'abandonne à cet hyménée, et que si j'avais pu être maîtresse de moi, ou j'aurais été à vous, ou je n'aurais été à personne.  Voilà, Sostrate, ce que j'avais à vous dire, voilà ce que j'ai cru devoir à votre mérite, et la consolation que toute ma tendresse peut donner à votre flamme."")",1.03,Substitution
354,"('#leucippe', ""Hélas ! Cesser de vivre Est le seul remède à mon mal. Voilà le parti qu'il faut suivre ; Mais avec moi je veux perdre aussi mon rival. Vous ne me serez pas impunément ravie : Non, Daphné. Vous pleurez ? Ah ! Princesse, je dois Mourir pour vos yeux mille fois. Avant qu'avoir Daphné, Tharsis aura ma vie. Je ne puis voir tant de biens En d'autres bras que les miens : Que mon rival me les cède, Et renonce à votre amour, Ou qu'il m'ôte aussi le jour Si l'on veut qu'il vous possède."")","('#sostrate', ""Ah !  Madame, c'en est trop pour un malheureux, je ne m'étais pas préparé à mourir avec tant de gloire, et je cesse dans ce moment, de me plaindre des destinées.  Si elles m'ont fait naître dans un rang beaucoup moins élevé que mes désirs, elles m'ont fait naître assez heureux pour attirer quelque pitié du coeur d'une grande princesse ; et cette pitié glorieuse vaut des sceptres et des couronnes, vaut la fortune des plus grands princes de la terre.  Oui, Madame, dès que j'ai osé vous aimer, c'est vous, Madame, qui voulez bien que je me serve de ce mot téméraire, dès que j'ai, dis-je, osé vous aimer, j'ai condamné d'abord l'orgueil de mes désirs, je me suis fait moi-même la destinée que je devais attendre.  Le coup de mon trépas, Madame, n'aura rien qui me surprenne, puisque je m'étais préparé ; mais vos bontés le comblent d'un honneur que mon amour jamais n'eût osé espérer, et je m'en vais mourir après cela le plus content et le plus glorieux de tous les hommes.  Si je puis encore souhaiter quelque chose, ce sont deux grâces, Madame, que je prends la hardiesse de vous demander à genoux ; de vouloir souffrir ma présence jusqu'à cet heureux hyménée, qui doit mettre fin à ma vie ; et parmi cette grande gloire, et ces longues prospérités que le Ciel promet à votre union, de vous souvenir quelquefois de l'amoureux Sostrate.  Puis-je, divine Princesse, me promettre de vous cette précieuse faveur ?"")",0.0,Match
355,"('#daphne-', 'Leucippe, si je vous perds, Il faut que dans nos déserts La solitude me donne Un sort plus calme et plus doux ; Et ne pouvant être à vous, je ne veux être à personne.')","('#eriphile', ""Allez, Sostrate, sortez d'ici : ce n'est pas aimer mon repos, que de me demander que je me souvienne de vous."")",1.08,Substitution
356,"('#heures', ""Daphné, portez vos yeux Sur le plus beau des dieux. Daphné s'enfuit aussitôt qu'elle a reconnu Apollon sous le visage de Tharsis."")","('#sostrate', 'Ah !  Madame, si votre repos...')",1.74,Substitution
357,"('#apollon', ""Tu me fuis, divine mortelle ! Où cours-tu ? N'aperçois-tu pas Un précipice sous tes pas ? Il est plein de serpents : détourne-toi, cruelle. Suis-je encor plus à craindre ? Et rien dans ce vallon Ne peut-il t'arrêter quand tu fuis Apollon ? Quoi ! Tant de haine en une belle ! Insolent, qui brûles pour elle, Renonce à l'hymen de Daphné ; C'est Apollon qui te l'ordonne. Regarde quel rival ton malheur t'a donné."")","('#eriphile', ""Ôtez-vous, vous dis-je, Sostrate ; épargnez ma faiblesse, et ne m'exposez point à plus que je n'ai résolu."")",0.86,Substitution
358,"('#leucippe', ""Mon malheur ? Dis le tien. Toi, le fils de Latone ! N'es-tu pas ce Tharsis que tantôt on a vu ? D'un magique ornement ton front s'est revêtu. Enchanteur, penses-tu que ta pompe m'étonne ? Ce n'est qu'un songe, ce n'est rien ; Va tromper d'autres yeux, et me laisse mon bien."")","('#cleonice', ""Madame, je vous vois l'esprit tout chagrin, vous plaît-il que vos danseurs, qui expriment si bien toutes les passions, vous donnent maintenant quelque épreuve de leur adresse ?"")",0.74,Substitution
359,,"('#eriphile', ""Oui, Cléonice, qu'ils fassent tout ce qu'ils voudront, pourvu qu'ils me laissent à mes pensées."")",1.0,Deletion
360,"('#apollon', ""Ô dieux ! Ô citoyens du lumineux empire ! Que vient un mortel de me dire ? Malheureux, ton orgueil s'en va te coûter cher. Les dieux ne sont pas insensibles. Qu'on l'attache sur ce rocher Avec des chaînes invisibles. Ce commandement est exécuté par les ministres de la puissance d'Apollon, qui va se faire voir à Pénée, non plus sous le personnage de Tharsis, mais sous le sien propre. "")","('#clitidas', ""De quel côté porter mes pas ?  Où m'aviserai-je d'aller, et en quel lieu puis-je croire que je trouverai maintenant la princesse Ériphile ?  Ce n'est pas un petit avantage que d'être le premier à porter une nouvelle.  Ah !  La voilà.  Madame, je vous annonce que le Ciel vient de vous donner l'époux qu'il vous destinait."")",0.96,Substitution
361,"('#leucippe', ""Astres, soyez témoins de ces injustes fers. J'atteste ici tout l'Univers, Et les vents emportent ma plainte. Jupiter, je t'implore ; on veut forcer les coeurs : Il n'est plus de libres ardeurs, Ni d'autres lois que la contrainte. Loges-tu dans le ciel ou dans les antres sourds ? Écoutez-moi, déserts ; on m'ôte mes amours : Est-il douleur pareille ? Qui me consolera sur ce rocher fatal ? Leucippe est un spectacle à son cruel rival. Déserts, écoutez-moi : les dieux ferment l'oreille. Daphné entend cette plainte à l'un des coins du théâtre. "")","('#eriphile', 'Eh, laisse-moi, Clitidas, dans ma sombre mélancolie.')",0.97,Substitution
362,,"('#clitidas', ""Madame, je vous demande pardon, je pensais faire bien de vous venir dire que le Ciel vient de vous donner Sostrate pour époux, mais puisque cela vous incommode, je rengaine ma nouvelle, et m'en retourne droit comme je suis venu."")",1.0,Deletion
363,,"('#eriphile', 'Clitidas, holà, Clitidas.')",1.0,Deletion
364,"('#daphne', 'Qui vous consolera ? Ne le savez-vous pas ?')","('#clitidas', 'Je vous laisse, Madame, dans votre sombre mélancolie.')",1.31,Substitution
365,"('#leucippe', ""Quoi ! Je vous vois ! C'est vous ! C'est ma princesse ! Hélas ! J'avais perdu l'espoir d'une faveur si douce. Craignez-vous d'approcher ?"")","('#eriphile', 'Arrête, te dis-je, approche.  Que viens-tu me dire ?')",0.74,Substitution
366,"('#daphne', ""Je sens qu'on me repousse : Quelque charme arrête mes pas. Mais, si c'est adoucir vos peines Qu'y prendre part, souffrir ces gênes, Gémir avec vous sous ces chitines, Vous aimer malgré tous, malgré Cieux, malgré Sort, Votre princesse en est capable."")","('#clitidas', ""Rien, Madame, on a parfois des empressements de venir dire aux grands de certaines choses, dont ils ne se soucient pas, et je vous prie de m'excuser."")",0.89,Substitution
367,"('#leucippe', 'Apollon, Apollon, tu fais un vain effort ! Je ne suis plus le misérable.')","('#eriphile', 'Que tu es cruel !')",1.17,Substitution
368,"('#daphne', ""Hélas ! J'irrite un dieu jaloux et redoutable. À qui dois-je adresser ma voix ? Je n'ose t'invoquer, déesse de nos bois . Dans ta Cour, dans ton coeur, autrefois j'avais place ; L'amour m'en a bannie ; écoute toutefois : Je ne demande point pour grâce Que tu souffres mes feux, et qu'un hymen charmant Engage à d'autres dieux celle qui t'a servie ; Délivre seulement Mon amant, Et prends le reste de ma vie."")","('#clitidas', ""Une autre fois j'aurai la discrétion de ne vous pas venir interrompre."")",1.07,Substitution
369,,"('#eriphile', ""Ne me tiens point dans l'inquiétude : qu'est-ce que tu viens m'annoncer ?"")",1.0,Deletion
370,"('#apollon', ""Pourquoi finir vos jours en des lieux pleins d'ennui ? Trouvez-vous le dieu du Parnasse Plus affreux qu'un désert ? Hélas ! ce dieu la chasse : Elle aime mieux mourir que régner avec lui. C'est toi qui nous causes ces peines. Mortel, contre les dieux oses-tu contester ? Daphné témoigne vouloir s'enfuir."")","('#clitidas', ""C'est une bagatelle de Sostrate, Madame, que je vous dirai une autre fois, quand vous ne serez point embarrassée."")",1.26,Substitution
371,"('#leucippe', 'Mes amours sont mes dieux.')",,1.0,Insertion
372,"('#apollon', ""Qu'on redouble ses chaînes Démons !"")","('#eriphile', ""Ne me fais point languir davantage, te dis-je, et m'apprends cette nouvelle."")",1.74,Substitution
373,"('#daphne', 'Faites-les arrêter. Pouvez-vous bien me voir à vos pieds toute en larmes, Sans vous laisser toucher le coeur ?')","('#clitidas', 'Vous la voulez savoir, Madame ?')",1.21,Substitution
374,,"('#eriphile', ""Oui, dépêche.  Qu'as-tu à me dire de Sostrate ?"")",1.0,Deletion
375,,"('#clitidas', ""Une aventure merveilleuse, où personne ne s'attendait."")",1.0,Deletion
376,,"('#eriphile', ""Dis-moi vite ce que c'est."")",1.0,Deletion
377,"('#apollon', ""Daphné, C'est contre vous que retournent ces armes. La pitié redouble vos charmes ; En combattant l'amour, elle le rend vainqueur. Votre douleur vous nuit ; vous en êtes plus belle. Venez, venez être immortelle : Je l'obtiendrai du Sort, ou je jure vos yeux Que les cieux Regretteront notre présence. Zéphyrs, enlevez-la malgré sa résistance."")","('#clitidas', 'Cela ne troublera-t-il point, Madame, votre sombre mélancolie ?')",1.0,Substitution
378,"('#daphne', 'Ô dieux ! Consentez-vous à cette violence ?')","('#eriphile', 'Ah !  Parle promptement.')",1.73,Substitution
379,"('#diane', 'Démons, gardez de lui toucher ! Deviens laurier, Daphné ; Leucippe, sois rocher.')",,1.0,Insertion
380,"('#apollon', ""Barbare, qu'as-tu fait ? Détruire un tel ouvrage ! Faire à ton frère un tel outrage ! Cruelle soeur, Cruelle, et cent fois plus sauvage Que les ours avec qui tu vis ! Que de trésors tu m'as ravis Rends-moi ces biens, rends-moi ce divin assemblage. Daphné, vous n'êtes plus, j'ai perdu mes amours, Et ne saurais perdre la vie Heureux mortels, vos Pleurs cessent avec Vos jours : La mort est un bien que j'envie. Puissent les cieux cesser leur cours ! Périsse l'Univers avecque ma princesse"")","('#clitidas', ""J'ai donc à vous dire, Madame, que la Princesse votre mère passait presque seule dans la forêt, par ces petites routes qui sont si agréables, lorsqu'un sanglier hideux, (ces vilains sangliers-là font toujours du désordre, et l'on devrait les bannir des forêts bien policées) ; lors, dis-je, qu'un sanglier hideux, poussé je crois, par des chasseurs est venu traverser la route où nous étions.  Je devrais vous faire peut-être, pour orner mon récit, une description étendue du sanglier dont je parle, mais vous vous en passerez s'il vous plaît, et je me contenterai de vous dire, que c'était un fort vilain animal.  Il passait son chemin, et il était bon de ne lui rien dire, de ne point chercher de noise avec lui, mais la Princesse a voulu égayer sa dextérité, et de son dard, qu'elle lui a lancé un peu mal à propos, ne lui en déplaise, lui a fait au-dessus de l'oreille une assez petite blessure.  Le sanglier mal morigéné, s'est impertinemment détourné contre nous ; nous étions là deux, ou trois misérables qui avons pâli de frayeur, chacun gagnait son arbre, et la Princesse sans défense demeurait exposée à la furie de la bête, lorsque Sostrate a paru, comme si les Dieux l'eussent envoyé."")",0.54,Substitution
381,,"('#eriphile', 'Hé bien, Clitidas.')",1.0,Deletion
382,,"('#clitidas', 'Si mon récit vous ennuie, Madame, je remettrai le reste à une autre fois.')",1.0,Deletion
383,,"('#eriphile', 'Achève promptement.')",1.0,Deletion
384,"('#amour', ""Sèche tes pleurs, elle est déesse. Viens l'épouser : mes traits se sont assez vengés ; Ces mouvements de haine en amour sont changés."")","('#clitidas', ""Ma foi !  C'est promptement, de vrai, que j'achèverai, car un peu de poltronnerie m'a empêché de voir tout le détail de ce combat ; et tout ce que je puis vous dire, c'est que retournant sur la place, nous avons vu le sanglier mort, tout vautré dans son sang, et la Princesse pleine de joie, nommant Sostrate son libérateur, et l'époux digne et fortuné que les Dieux lui marquaient pour vous.  À ces paroles, j'ai cru que j'en avais assez entendu, et je me suis hâté de vous en venir, avant tous, apporter la nouvelle."")",0.93,Substitution
385,"('#apollon', ""Puis-je t'ajouter foi ? m'as-tu fait cette grâce ?"")","('#eriphile', ""Ah !  Clitidas, pouvais-tu m'en donner une qui me pût être plus agréable ?"")",0.35,Substitution
386,"('#amour', ""Viens l'éprouver."")","('#clitidas', ""Voilà qu'on vient vous trouver."")",1.68,Substitution
387,"('#apollon', ""Allons, et que sur le Parnasse On célèbre des jeux à l'honneur de Daphné. Que le vainqueur y soit de laurier couronné. Bel arbre, adieu. je quitte à regret cette place, Et veux qu'à l'avenir on ceigne de lauriers Le front de mes sujets et celui des guerriers. Apollon monte dans le char où est l'Amour, et tous deux retournant au ciel. Le théâtre change aussitôt. Le Parnasse se découvre au fond. Quelques Mimes sont assises en divers endroits de sa croupe, et quelques poètes à leurs pieds. Sur le sommet, le palais du dieu se fait voir. Les deux côtés du théâtre sont deux galeries qui ressemblent à celles où on étale des raretés les jours de fête et les jours de foire. Là sont les archives du Destin. L'architecture est ornée de feuilles de laurier. Sous chaque portique est un buste ; il y en a neuf de conquérants et autant dé poètes ; les conquérants d'un côté, les poètes de l'autre. Les conquérants sont Cyrus, Alexandre, etc. ; et les poètes sont Homère, Anacréon, Pindare, Virgile, Horace, Ovide, l'Arioste, le Tasse, et Malherbe. Apollon a voulu que l'avenir fût montré en faveur de cette fête. "")","('#aristione', ""Je vois, ma fille, que vous savez déjà tout ce que nous pourrions vous dire.  Vous voyez que les Dieux se sont expliqués bien plus tôt que nous n'eussions pensé ; mon péril n'a guère tardé à nous marquer leurs volontés, et l'on connaît assez que ce sont eux qui se sont mêlés de ce choix, puisque le mérite tout seul brille dans cette préférence.  Aurez-vous quelque répugnance à récompenser de votre coeur, celui à qui je dois la vie et refuserez-vous Sostrate pour époux ?"")",0.86,Substitution
388,,"('#eriphile', 'Et de la main des Dieux, et de la vôtre, Madame, je ne puis rien recevoir qui ne me soit fort agréable.')",1.0,Deletion
389,"('#un-poete-heroïque', ""Quel prince offre à mes yeux des lauriers toujours verts ? Je vois dans l'avenir cent potentats divers Lui disputer en vain l'honneur de la victoire. Ô toi, fils de Latone, amour de l'Univers, Protecteur des doux sons, des beaux-arts, des bons vers, Aide-nous à chanter sa gloire !"")","('#sostrate', ""Ciel !  N'est-ce point ici quelque songe, tout plein de gloire dont les Dieux me veuillent flatter, et quelque réveil malheureux ne me replongera-t-il point dans la bassesse de ma fortune ?"")",0.51,Substitution
390,"('#melpomene', ""Ce n'est pas l'ouvrage d'un jour : Sublime, allez dormir encor sur le Parnasse, Et vous, clairons, faites place Aux doux concerts de l'Amour."")","('#cleonice', ""Madame, je viens vous dire qu'Anaxarque a jusqu'ici abusé, l'un et l'autre Prince, par l'espérance de ce ch[oi]x qu'ils poursuivent depuis longtemps, et qu'au bruit qui s'est répandu de votre aventure, ils ont fait éclater tous deux leur ressentiment contre lui, jusque-là, que de paroles en paroles, les choses se sont échauffées, et il en a reçu quelques blessures dont on ne sait pas bien ce qui arrivera.  Mais les voici."")",0.76,Substitution
391,"('#philis', 'Les Zéphyrs sont de retour : Flore avec eux se promène.')","('#aristione', ""Princes, vous agissez tous deux avec une violence bien grande, et si Anaxarque a pu vous offenser, j'étais pour vous en faire justice moi-même."")",1.75,Substitution
392,"('#daphnis', ""Savez-vous qui les ramène ? C'est l'Amour."")","('#iphicrate', 'Et quelle justice, Madame, auriez-vous pu nous faire de lui, si vous la faites si peu à notre rang, dans le choix que vous embrassez ?')",1.55,Substitution
393,"('#philis', 'De quoi parle en ce séjour La savante Philomèle ?')",,1.0,Insertion
394,"('#daphnis', ""Et de quoi parlerait-elle, Que d'amour ?"")","('#aristione', ""Ne vous êtes-vous pas soumis l'un et l'autre, à ce que pourraient décider, ou les ordres du Ciel, ou l'inclination de ma fille ?"")",1.41,Substitution
395,"('#philis #daphnis', ""Faisons aussi notre cour Au printemps vêtu de roses ; Ayons, comme toutes choses, De l'amour."")","('#timocles', ""Oui, Madame, nous nous sommes soumis à ce qu'ils pourraient décider entre le Prince Iphicrate et moi, mais non pas à nous voir rebutés tous deux."")",1.62,Substitution
396,,"('#aristione', ""Et si chacun de vous a bien pu se résoudre à souffrir une préférence, que vous arrive-t-il à tous deux où vous ne soyez préparés, et que peuvent importer à l'un et à l'autre les intérêts de son rival ?"")",1.0,Deletion
397,,"('#iphicrate', ""Oui, Madame, il importe, c'est quelque consolation de se voir préférer un homme qui vous est égal, et votre aveuglement est une chose épouvantable."")",1.0,Deletion
398,"('#un-poete-satirique', ""Aimez, mais permettez que je parle à mon tour. Comment faire Pour se taire ? Le monde est plein de sots, de l'un à l'autre bout ; Le passé, le présent, et l'avenir surtout. Comment faire Pour se taire ?"")","('#aristione', ""Prince, je ne veux pas me brouiller avec une personne qui m'a fait tant de grâce, que de me dire des douceurs ; et je vous prie, avec toute l'honnêteté qu'il m'est possible, de donner à votre chagrin un fondement plus raisonnable ; de vous souvenir, s'il vous plaît, que Sostrate est revêtu d'un mérite, qui s'est fait connaître à toute la Grèce, et que le rang où le ciel l'élève aujourd'hui va remplir toute la distance qui était entre lui et vous."")",0.86,Substitution
399,"('#choeur', 'Comment faire Pour se taire ?')","('#iphicrate', 'Oui, oui, Madame, nous nous en souviendrons, mais peut-être aussi vous souviendrez-vous que deux Princes outragés ne sont pas deux ennemis peu redoutables.')",1.63,Substitution
400,,"('#timocles', ""Peut-être, Madame, qu'on ne goûtera pas longtemps la joie du mépris que l'on fait de nous."")",1.0,Deletion
401,"('#thalie', ""Ridicules, envoyez-nous Les principaux d'entre vous. Cinq ridicules entrent sur la scène. C'est une coquette emportée, une précieuse, un méchant poète, un homme affectant le bel air, et un vieillard amoureux. "")","('#aristione', ""Je pardonne toutes ces menaces aux chagrins d'un amour qui se croit offensé, et nous n'en verrons pas avec moins de tranquillité la fête des jeux Pythiens.  Allons-y de ce pas, et couronnons par ce pompeux spectacle cette merveilleuse journée."")",0.43,Substitution
