,quinault-persee,quinault-proserpine,Cost,Operation Type
266,,"('#proserpine', 'Ma douleur mortelle Ne touche point votre coeur ? Ah ! Quelle rigueur !')",1.0,Deletion
267,"('#merope', ""Ô mort ! Venez finir mon destin déplorable. Ma rivale jouit d'un sort trop favorable, Et je souffrirais trop, si je ne mourais pas. Son bonheur m'a rendu le jour insupportable ; La nuit affreuse du trépas Me paraît moins épouvantable. Ô mort ! Venez finir mon destin déplorable. Hélas ! Funeste mort, hélas ! Pour les coeurs fortunés vous êtes effroyable ; Mais vos horreurs ont des appas Pour un coeur que l'amour a rendu misérable. Ô mort ! Venez finir mon destin déplorable."")","('#pluton', ""N'importe, fussiez-vous cent fois plus inhumaine, Mon amour entreprend de vaincre votre haine."")",0.51,Substitution
268,"('#phinee', ""Ce n'est point à des pleurs qu'il faut avoir recours. Junon veut qu'aujourd'hui je me venge avec elle. Iris, de son vouloir l'interprète fidèle, Vient, par son ordre exprès, de m'offrir son secours."")","('#pluton', ""Que l'on suspende ici les tourments éternels Des plus criminels : Qu'aux enfers en ce jour tout soit exempt de peine. Vous qu'un heureux repos suit après le trépas, Et vous, dieux, mes sujets, venez, hâtez vos pas, Rendez hommage à votre reine : Admirez ses divins appas. Régnez aimable souveraine, Régnez à jamais ici bas."")",0.78,Substitution
269,"('#merope', ""Du secours de Junon que faut-il qu'on espère ? Persée a triomphé deux fois de son courroux."")","('#les-choeurs', 'Rendons hommage à notre reine, Admirons ses divins appas. Régnez, aimable souveraine, Régnez à jamais ici-bas.')",1.11,Substitution
270,"('#phinee', ""Que ne pourra point sa colère Unie à mon transport jaloux ? Heureux qui peut goûter une douce vengeance ! C'est l'unique espérance Des malheureux amants. Pour servir ma fureur on s'arme en diligence. Mon rival n'aura pas mon bien pour récompense ; S'il triomphe de moi, c'est pour peu de moments. C'est en vain qu'Andromède a trahi ma constance ; L'Amour est avec eux en vain d'intelligence ; Je briserai ses noeuds charmants. L'Hymen me livrera l'ingrate qui m'offense ; Elle a vu ma douleur avec indifférence : Je veux être sensible à ses gémissements ; Et, si je ne puis voir son coeur en ma puissance, Je jouirai de ses tourments. Heureux qui peut goûter une douce vengeance, etc. ! Il faut nous éloigner du peuple qui s'avance ; Ce superbe appareil, ces riches ornements, Tout ici de ma rage accroît la violence : Allons hâter l'éclat de nos ressentiments."")","('#choeur-des-ombres', ""C'est assez de regrets ; C'est verser trop de larmes, Goûtez les attraits Du destin plein de charmes, Pluton aime mieux que Cérès. Une mère Vaut-elle un époux ? L'amour doit toujours plaire, Les soins en sont doux. Un coeur est trop sauvage S'il change l'usage D'un bien si charmant, Et c'est grand dommage D'en faire un tourment. Triomphez dans ces lieux : C'est pour vous que soupire L'un des plus grands dieux, Possédez son empire. Tout cède au pouvoir de vos yeux. Une mère Vaut-elle un époux, etc."")",0.0,Match
271,"('#merope #phinee', 'Heureux qui peut goûter une douce vengeance,etc. ! Ils sortent.')",,1.0,Insertion
272,"('#le-grand-pretre', ""Hymen ! Ô doux Hymen ! sois propice à nos voeux ; Viens unir ces amants fidèles, Viens les rendre à jamais heureux. Prends soin de conserver leurs ardeurs mutuelles, Allume en leur faveur les plus beaux de tes feux : Que leurs coeurs soient comblés de douceurs éternelles ; Qu'ils soient toujours contents et toujours amoureux. Charmant hymen, que tes chaînes sont belles, Lorsque l'amour en a formé les noeuds ! Hymen ! Ô doux Hymen ! Sois propice à nos voeux, etc. Le choeur répète les trois derniers vers. Les cérémonies du mariage de Persée et d'Andromède que le grand-prêtre de l'Hyménée et sa suite veulent commencer, sont interrompues par Mérope."")","('#les-choeurs', ""Dans les enfers Tout rit, tout chante ; On vous doit, beauté charmante, La douceur de nos concerts. Un dieu sévère Par vos yeux est enflammé, Tout son empire vous révère ; Qu'il est doux d'avoir charmé Un coeur qui n'a jamais aimé. Que vos appas Auront de gloire ! Ils étendent leur victoire Jusqu'où règne le trépas. Un dieu sévère, etc."")",0.1,Substitution
273,"('#merope', ""Persée, il n'est plus temps de garder le silence : J'avais cru vouloir votre mort ; Mais mon coeur avec vous est trop d'intelligence, Et, prêtre à me venger, je ressens un transport Cent fois plus pressant et plus fort Que le transport de la vengeance. Votre rival approche, il en veut à vos jours : Mille ennemis vous environnent. Évitez leur fureur, servez-vous du secours Que les dieux propices vous donnent. Volez ne trouverez plus d'autres chemins ouverts."")","('#pluton', ""Vous qui reconnaissez ma suprême puissance, Donnez-moi des conseils, donnez-moi du secours. L'orgueilleux Jupiter m'offense, Il veut rompre aujourd'hui l'heureuse intelligence Que nous avions juré de conserver toujours. Les dieux ont aimé tous, et le Dieu du ciel-même S'est laissé cent fois enflammer. C'est la première fois que j'aime, Et l'on veut me ravir ce qui ma su charmer. Ah ! C'est une rigueur extrême De condamner un coeur à ne jamais aimer. C'est votre reine qu'on demande : Jupiter veut que je la rende, Et Mercure prétend l'enlever d'ici bas. Pouvons-nous endurer que l'on nous la ravisse ?"")",0.0,Match
274,"('#cephee', ""Armons-nous ; punissons plus l'audace des rebelles."")","('#le-choeur', ""Non, non, c'est une injustice Que nous ne souffrirons-pas."")",1.07,Substitution
275,,"('#pluton', ""Et par quel droit faut-il que Jupiter s'obstine À troubler le bonheur que l'amour me destine ? Mon pouvoir n'est-il pas indépendant du sien ? Gardons Proserpine, Les enfers ne rendent rien. Le choeur répète ces deux vers."")",1.0,Deletion
276,"('#merope', ""Sauvez-vous ; profitez de mes avis fidèles : C'est à fuir seulement que vous devez songer."")","('#les-trois-juges-des-enfers', ""Proserpine a goûté des fruits de votre empire, Elle est à vous, on ne peut vous l'ôter. Aux arrêts du destin les dieux doivent souscrire, C'est vainement qu'on y veut résister."")",1.46,Substitution
277,"('#cephee', ""Si les dieux m'ont prêté des ailes, Ce n'est pas pour fuir le danger."")","('#pluton', ""Que le ciel menace, qu'il tonne ; Il faut que rien ne nous étonne, Nous avons pour nous en ce jour, Les destins et l'amour. Le choeur répète ces quatre vers."")",1.43,Substitution
278,"('#phinee #sa-suite', ""Persée, il faut périr ; meurs, et laisse Andromède Au pouvoir d'un heureux rival !"")","('#les-trois-furies', ""Plutôt que de souffrir l'injure Que le ciel veut faire aux enfers, Renversons toute la nature Périsse l'univers. Le choeur répète les deux derniers vers."")",1.32,Substitution
279,,"('#une-des-furies', 'Retirons les géants de leur prison obscure ; Des titans enchaînés il faut briser les fers :')",1.0,Deletion
280,,"('#les-furies #lechoeur', ""Renversons toute la nature, Périsse l'univers."")",1.0,Deletion
281,"('#cephee #cephee #leurs-suites', ""Perfides ! Recevez le châtiment fatal De la fureur qui vous possède ! Tous les combattants Cédez, cédez à notre effort ; Vous n'éviterez pas la mort. Persée, Céphée et leur suite poursuivent Phinée et sa suite."")","('#ceres', ""Déserts écartés, sombres lieux, Cachez mes soupirs et mes larmes. Mon désespoir a trop de charmes Pour les impitoyables dieux. Déserts écarté, sombres lieux, Cachez mes soupirs, et mes larmes. Les dieux étaient jaloux de mon sort glorieux ; C'est un doux spectacle à leurs yeux Que les malheurs cruels dont je suis poursuivie : Ils se font un plaisir de mes cris furieux ; Jupiter m'a livrée à leur barbare envie : Jupiter me trahit, ma fille m'est ravie. Je perds ce que j'aimais le mieux ; Infortunée, hélas ! Le jour m'est odieux, Et je suis pour jamais condamnée à la vie. Ah ! Je ne puis souffrir la lumière des cieux ! Mon désespoir a trop de charmes Pour les impitoyables dieux ; Déserts écartés, sombres lieux, Cachez mes soupirs, et mes larmes."")",0.21,Substitution
282,"('#cassiope #andromede', ""Quelles horreurs ! quelles alarmes ! Dieux ! soyez touchés de mes larmes ! Tous les combattants Cédez, cédez à notre effort, etc. Les combattants s'éloignent."")","('#ceres', ""Quels abîmes se sont ouverts ? Qu'entends-je ? Quel affreux murmure !"")",0.4,Substitution
283,,"('#voix-infernales', ""Renversons toute la nature. Périsse l'univers."")",1.0,Deletion
284,,"('#ceres', ""Le ciel n'est point touché des maux que j'ai soufferts, L'enfer prendrait-il part aux peines que j'endure."")",1.0,Deletion
285,,"('#voix-infernales', ""Renversons toute la nature. Périsse l'univers. Cérès répète ce dernier vers."")",1.0,Deletion
286,,"('#ceres', ""Ne m'apprendrez-vous point où ma fille peut être ?"")",1.0,Deletion
287,,"('#arethuse', ""Votre ennemi secret veut se faire connaître ; Enfin vous pouvez tout savoir. De l'empire infernal le redoutable maître Tient votre fille en son pouvoir."")",1.0,Deletion
288,"('#cephee', ""Le soin de vous défendre en ces lieux me rappelle. Craignez tout d'un peuple rebelle ; Quel sang n'ose-t-il point verser ? Un trait, que sur Persée on a voulu lancer, A frappé votre soeur d'une atteinte mortelle. Junon, implacable pour nous, Anime les mutins de son fatal courroux. Leur rage croît, leur nombre augmente : Persée en vain toujours combat avec chaleur. Que servent les efforts qu'il tente ? Le nombre tôt ou tard accable la valeur."")","('#ceres', ""L'enfer retient ma fille ! ô ciel ! ô sort barbare ! L'éternelle nuit nous sépare ! Ma chère Proserpine... ô regrets superflus ! Hélas ! Je ne la verrai plus ! Dieux ! Ma fille n'est point coupable, Pourquoi Pluton inexorable Veut-il dans les enfers l'accabler de douleur ?"")",0.25,Substitution
289,,"('#arethuse #alphee', ""C'est quelquefois un grand malheur Que d'être trop aimable."")",1.0,Deletion
290,"('#phinee #sa-suite', ""Qu'il n'échappe pas, qu'il périsse, Cet étranger audacieux Qui prétend régner en ces lieux !"")","('#ceres', ""Pluton l'aime ! Et l'amour pour me désespérer Fait soupirer un coeur qui doit être inflexible !"")",0.88,Substitution
291,,"('#arethuse #alphee', ""Quel coeur se peut assurer D'être toujours insensible ? Quel coeur se peut assurer. De ne jamais soupirer ?"")",1.0,Deletion
292,"('#cephee #cassiope #andromede', 'Ciel ! Ô ciel soyez-nous propice !')","('#alphee', ""Le dieu qui pour elle soupire Est un des trois grands dieux, maîtres de l'univers."")",1.09,Substitution
293,,"('#arethuse', ""Elle est reine d'un vaste empire."")",1.0,Deletion
294,,"('#arethuse #alphee', 'Il est beau de régner même dans les enfers.')",1.0,Deletion
295,"('#phinee #sa-suite', ""Qu'il n'échappe, qu'il périsse !"")","('#ceres', ""Quelque honneur qu'aux enfers on s'empresse à lui rendre, Elle n'en peut sortir, et je n'y puis descendre : Je la perds, je perds tout espoir Je ne pourrai jamais la voir."")",1.29,Substitution
296,"('#cephee #cassiope #andromede', 'Défendez-nous, ô justes dieux !')","('#arethuse #alphee', ""Jupiter la demande, et l'enfer plein d'alarmes Pour la garder a pris les armes."")",1.24,Substitution
297,"('#persee', 'Ne craignez rien ; fermez les yeux,  Je vais punir leur injustice. Voyez leur funeste supplice. Persée pétrifie Phinée et sa suite, en leur montrant la tête de Méduse.')","('#ceres', ""Jupiter n'est donc pas insensible aux regrets De la malheureuse Cérès ? Obtenez Dieu puissant que ma fille revienne ; Sans troubler votre paix j'irais suivre ses pas Si je pouvais passer dans la nuit du trépas : Ne souffrez plus que l'enfer la retienne, Grand dieu, c'est votre fille aussi bien que la mienne, C'est votre fille, hélas ! Ne l'abandonnez pas."")",0.72,Substitution
298,"('#cephee #cassiope #andromede', 'Quel prodige ! Quel changement !')",,1.0,Insertion
299,"('#cephee', ""La tête de Méduse a fait leur châtiment... Cessons de redouter la fortune cruelle ; Le ciel nous promet d'heureux jours ; Vénus vient à notre secours ; Elle amène l'Amour et l'Hymen avec elle. Le palais de Vénus descend."")","('#mercure', ""Tous les dieux sont d'accord, pour vous tout s'intéresse, Proserpine verra le jour, Elle suivra Cérès et Pluton tour à tour, Elle partagera son temps et sa tendresse Entre la nature et l'amour. Vous verrez votre fille, et Jupiter lui-même A pris soin qu'à vos voeux le sort ait répondu."")",0.69,Substitution
300,,"('#ceres', ""Après une peine extrême Qu'un bien qu'on avait perdu Est doux quand il est rendu Par les soins de ce qu'on aime."")",1.0,Deletion
301,"('#venus', 'Mortels, vivez en paix ; vos malheurs sont finis. Jupiter vous protège en faveur de son fils ; À ce dieu si puissant tous les dieux veulent plaire, Et Junon même enfin apaise sa colère. Cassiope, Céphée, et vous, heureux époux, Prenez place au ciel avec nous. Les souverains destins ordonnent Que des feux éclatants toujours vous environnent. Céphée, Cassiope, Persée, et Andromède, sont élevés dans le ciel, et des étoiles brillantes les environnent.')","('#mercure', ""L'hymen assemble tous les dieux De l'empire infernal de la terre et des cieux. Le ciel s'ouvre, et Jupiter paraît accompagné des divinités célestes. Pluton et Proserpine, sortent des enfers assis sur un trône, ou Cérès, va prendre place près de sa fille. Une troupe de divinités infernales richement parées, accompagnent Pluton. Et une troupe de divinités de la terre viennent prendre part à la joie de Cérès, et à la gloire de Proserpine."")",0.0,Match
302,"('#venus #l-amour #l-hymenee #choeurs', ""Héros victorieux, Andromède est à vous ; Votre Valeur et l'Hymen vous la donnent : La gloire et l'Amour vous couronnent ; Fut-il jamais un triomphe plus doux ? Héros victorieux, Andromède est à vous. Les courtisans de Céphée, les Éthiopiens et les Éthiopiennes témoignent leur joie par leurs danses."")","('#jupiter', ""Cérès, que de vos pleurs le triste cours finisse ; Qu'avec Pluton Proserpine s'unisse. Que l'on enchaîne pour jamais La discorde et la guerre, Dans les enfers, dans les cieux, sur la terre, Tout doit jouir d'une éternelle paix. Les choeurs répètent ces quatre derniers vers, et les divinités célestes, terrestres et infernales, témoignent par leurs chants et par leurs danses la joie qu'ils ont de voir l'intelligence rétablie entre les plus grands dieux du monde, par le mariage de Pluton et de Proserpine."")",0.43,Substitution
