,la-fontaine-daphne,quinault-alceste,Cost,Operation Type
327,"('#leucippe', 'Mes amours sont mes dieux.')","('#licas', ""Aujourd'hui qu'Alcide ramène  Alceste des Enfers,  Je veux finir ta peine.  Qu'on ne porte plus d'autres fers  Que ceux dont l'Amour nous enchaîne. "")",1.2,Substitution
328,"('#apollon', ""Qu'on redouble ses chaînes Démons !"")","('#ensemble', ""Qu'on ne porte plus d'autres fers  Que ceux dont l'Amour nous enchaîne. "")",0.86,Substitution
329,"('#daphne', 'Faites-les arrêter. Pouvez-vous bien me voir à vos pieds toute en larmes, Sans vous laisser toucher le coeur ?')","('#licas #straton', 'Vois, Céphise, vois qui de nous  Peut rendre ton destin plus doux ;  Et termine enfin nos querelles. ')",1.24,Substitution
330,"('#apollon', ""Daphné, C'est contre vous que retournent ces armes. La pitié redouble vos charmes ; En combattant l'amour, elle le rend vainqueur. Votre douleur vous nuit ; vous en êtes plus belle. Venez, venez être immortelle : Je l'obtiendrai du Sort, ou je jure vos yeux Que les cieux Regretteront notre présence. Zéphyrs, enlevez-la malgré sa résistance."")","('#licas', 'Mes amours seront éternelles. ')",1.06,Substitution
331,"('#daphne', 'Ô dieux ! Consentez-vous à cette violence ?')","('#straton', 'Mon coeur ne sera plus jaloux. ')",1.77,Substitution
332,"('#diane', 'Démons, gardez de lui toucher ! Deviens laurier, Daphné ; Leucippe, sois rocher.')","('#licas #straton', 'Entre deux Amants fidèles,  Choisis un heureux Époux. ')",1.69,Substitution
333,"('#apollon', ""Barbare, qu'as-tu fait ? Détruire un tel ouvrage ! Faire à ton frère un tel outrage ! Cruelle soeur, Cruelle, et cent fois plus sauvage Que les ours avec qui tu vis ! Que de trésors tu m'as ravis Rends-moi ces biens, rends-moi ce divin assemblage. Daphné, vous n'êtes plus, j'ai perdu mes amours, Et ne saurais perdre la vie Heureux mortels, vos Pleurs cessent avec Vos jours : La mort est un bien que j'envie. Puissent les cieux cesser leur cours ! Périsse l'Univers avecque ma princesse"")","('#cephise', ""Je n'ai point de choix à faire ;  Parlons d'aimer et de plaire,  Et vivons toujours en paix.  L'Hymen détruit la tendresse,  Il rend l'amour sans attraits ;  Voulez-vous aimer sans cesse,  Amants, n'épousez jamais. "")",0.57,Substitution
334,"('#amour', ""Sèche tes pleurs, elle est déesse. Viens l'épouser : mes traits se sont assez vengés ; Ces mouvements de haine en amour sont changés."")","('#cephise #licas #straton', ""L'Hymen détruit la tendresse,  Il rend l'Amour sans attraits ;  Voulez-vous aimer sans cesse,  Amants, n'épousez jamais. "")",0.67,Substitution
335,"('#apollon', ""Puis-je t'ajouter foi ? m'as-tu fait cette grâce ?"")","('#cephise', ""Prenons part aux transports d'une joie éclatante,  Que chacun chante : "")",1.52,Substitution
336,"('#amour', ""Viens l'éprouver."")",,1.0,Insertion
337,"('#apollon', ""Allons, et que sur le Parnasse On célèbre des jeux à l'honneur de Daphné. Que le vainqueur y soit de laurier couronné. Bel arbre, adieu. je quitte à regret cette place, Et veux qu'à l'avenir on ceigne de lauriers Le front de mes sujets et celui des guerriers. Apollon monte dans le char où est l'Amour, et tous deux retournant au ciel. Le théâtre change aussitôt. Le Parnasse se découvre au fond. Quelques Mimes sont assises en divers endroits de sa croupe, et quelques poètes à leurs pieds. Sur le sommet, le palais du dieu se fait voir. Les deux côtés du théâtre sont deux galeries qui ressemblent à celles où on étale des raretés les jours de fête et les jours de foire. Là sont les archives du Destin. L'architecture est ornée de feuilles de laurier. Sous chaque portique est un buste ; il y en a neuf de conquérants et autant dé poètes ; les conquérants d'un côté, les poètes de l'autre. Les conquérants sont Cyrus, Alexandre, etc. ; et les poètes sont Homère, Anacréon, Pindare, Virgile, Horace, Ovide, l'Arioste, le Tasse, et Malherbe. Apollon a voulu que l'avenir fût montré en faveur de cette fête. "")","('#tous-ensemble', ""Alcide est vainqueur du trépas,  L'Enfer ne lui résiste pas :  Il ramène Alceste vivante ;  Que chacun chante :  Alcide est vainqueur du trépas,  L'Enfer ne lui résiste pas. "")",0.98,Substitution
338,"('#un-poete-heroïque', ""Quel prince offre à mes yeux des lauriers toujours verts ? Je vois dans l'avenir cent potentats divers Lui disputer en vain l'honneur de la victoire. Ô toi, fils de Latone, amour de l'Univers, Protecteur des doux sons, des beaux-arts, des bons vers, Aide-nous à chanter sa gloire !"")","('#alcide', ""Pour une si belle victoire,  Peut-on avoir trop entrepris ?  Ah qu'il est doux de courir à la gloire  Lorsque l'Amour en doit donner le prix !  Vous détournez vos yeux ! Je vous trouve insensible ?  Admète a seul ici vos regards les plus doux ? "")",0.07,Substitution
339,,"('#alceste', ""Je fais ce qui m'est possible  Pour ne regarder que vous. "")",1.0,Deletion
340,"('#melpomene', ""Ce n'est pas l'ouvrage d'un jour : Sublime, allez dormir encor sur le Parnasse, Et vous, clairons, faites place Aux doux concerts de l'Amour."")","('#alcide', ""Vous devez suivre mon envie,  C'est pour moi qu'on vous rend le jour. "")",0.98,Substitution
341,"('#philis', 'Les Zéphyrs sont de retour : Flore avec eux se promène.')",,1.0,Insertion
342,"('#daphnis', ""Savez-vous qui les ramène ? C'est l'Amour."")","('#alceste', ""Je n'ai pu reprendre la vie,  Sans reprendre aussi mon amour. "")",0.79,Substitution
343,,"('#alcide', 'Admète en ma faveur, vous a cédé lui-même. ')",1.0,Deletion
344,"('#philis', 'De quoi parle en ce séjour La savante Philomèle ?')","('#admete', 'Alcide pouvait seul vous ôter au trépas.  Alceste, vous vivez, je revois vos appas ;  Ai-je pu trop payer cette douceur extrême ! ')",1.87,Substitution
345,,"('#admete #alceste', ""Ah ! Que ne fait-on pas  Pour sauver ce qu'on aime ! "")",1.0,Deletion
346,"('#daphnis', ""Et de quoi parlerait-elle, Que d'amour ?"")","('#alcide', ""Vous soupirez tous deux au gré de vos désirs ;  Est-ce ainsi qu'on me tient parole ? "")",0.63,Substitution
347,"('#philis #daphnis', ""Faisons aussi notre cour Au printemps vêtu de roses ; Ayons, comme toutes choses, De l'amour."")",,1.0,Insertion
348,"('#un-poete-satirique', ""Aimez, mais permettez que je parle à mon tour. Comment faire Pour se taire ? Le monde est plein de sots, de l'un à l'autre bout ; Le passé, le présent, et l'avenir surtout. Comment faire Pour se taire ?"")","('#admete #alceste', ""Pardonnez aux derniers soupirs  D'un malheureux amour qu'il faut qu'on vous immole.  Alceste, il ne faut plus nous voir.  Admète, il ne faut plus nous voir.  D'un autre que de moi votre sort doit dépendre :  D'un autre que de vous mon destin doit dépendre :  Il faut dans les grands coeurs, que l'amour le plus tendre  Soit la victime du devoir.  Alceste, il ne faut plus nous voir.  Admète, il ne faut plus nous voir.  Admète se retire, et Alceste offre sa main à Alcide, qui arrête Admète, et lui cède la main qu'ALCESTE lui présente."")",0.84,Substitution
349,"('#choeur', 'Comment faire Pour se taire ?')",,1.0,Insertion
350,"('#thalie', ""Ridicules, envoyez-nous Les principaux d'entre vous. Cinq ridicules entrent sur la scène. C'est une coquette emportée, une précieuse, un méchant poète, un homme affectant le bel air, et un vieillard amoureux. "")","('#alcide', ""Non, non, vous ne devez pas croire  Qu'un Vainqueur des tyrans soit Tyran à son tour :  Sur l'Enfer, sur la Mort, j'emporte la victoire ;  Il ne manque plus à ma gloire  Que de triompher de l'Amour. "")",1.35,Substitution
351,"('#le-mechant-poete', 'Quoi ! Dans ces lieux sacrés on souffre la satire !')","('#admete #alcide', 'Ah quelle gloire extrême !  Quel héroïque effort !  Le Vainqueur de la mort  Triomphe de lui-même. ')",1.08,Substitution
352,"('#thalie', ""Soyez les premiers à rire. Les ridicules se consolent et font une entrée, dansant tous sur les mêmes pas, et gardant toutefois, autant qu'ils peuvent, leur caractère.  Mercure, monté sur Pégase, descend au sacré vallon. Il interrompt la danse des ridicules, et vient présenter trois couronnes de laurier à ces trois genres de poésie. "")","('#apollon', ""Les Muses, et les Jeux s'empressent de descendre,  Apollon les conduit dans ces aimables lieux.  Vous, à qui j'ai pris soin d'apprendre  À chanter vos amours sur le ton le plus tendre,  Bergers, chantez avec les Dieux  Chantons, chantons, faisons entendre  Nos chansons jusque dans les Cieux. "")",0.26,Substitution
353,"('#mercure', ""Chacun de vous doit être couronné : Recevez ces présents de la part de Daphné. Elle est maintenant déesse, Aimant le dieu de ces lieux : Poussez-en jusques aux cieux Des chants remplis d'allégresse. Mercure revole au ciel, ayant laissé Pégase sur le double mont. Quatre auteurs lyriques et autant de Muses du même genre viennent danser en témoignage de joie ; puis les ridicules se mêlent avec eux, formant de différentes figures avec des branches de laurier qu'ils portent tous, et dont ils se font des espèces de berceaux. C'est le grand ballet. "")","('#choeurs', 'Chantons, chantons, faisons entendre  Nos chansons jusque dans les Cieux.  On danse.')",0.62,Substitution
354,,"('#choeurs', 'Triomphez généreux Alcide,  Aimez en paix, heureux Époux. ')",1.0,Deletion
355,,"('#alcide', 'Aimez en paix, heureux Époux.  On danse.')",1.0,Deletion
356,"('#une-muse-lyrique', ""Il n'est que de s'enflammer ; Laissez, laissez-vous charmer ; La raison vous y convie : Sans le dieu qui fait aimer, Que serait-ce que la vie ? Le grand ballet recommence encore."")","('#straton', ""À quoi bon  Tant de raison  Dans le bel âge ?  À quoi bon  Tant de raison  Hors de saison ?  Qui craint le danger  De s'engager  Est sans courage :  Tout rit aux Amants,  Les Jeux charmants  Sont leur partage :  Tôt, tôt, tôt, soyons contents,  Il vient un temps  Qu'on est trop sage. "")",0.78,Substitution
357,"('#autre-muse-lyrique', 'Chacun sert quelque désir ; Tout consiste à bien choisir ; Faites-vous de douces chaînes : En amour tout est plaisir, Et même jusques aux peines.')","('#cephise', ""C'est la saison d'aimer  Quand on sait plaire,  C'est la saison d'aimer  Quand on sait charmer.  Les plus beaux de nos jours ne durent guère,  Le sort de la Beauté nous doit alarmer,  Nos champs n'ont point de fleur plus passagère ;  C'est la saison d'aimer  Quand on sait plaire,  C'est la saison d'aimer  Quand on sait charmer.  Un peu d'amour est nécessaire,  Il n'est jamais trop tôt de s'enflammer ;  Nous donne-t-on un coeur pour n'en rien faire ?  C'est la saison d'aimer  Quand on sait plaire,  C'est la saison d'aimer  Quand on sait charmer. "")",0.51,Substitution
358,"('#le-choeur', ""Aimez, doctes nourrissons : S'il n'était point d'amour, serait-il des chansons ?"")","('#choeurs', ""Triomphez, généreux Alcide,  Aimez en paix, heureux Époux :  Que toujours la Gloire vous guide,  Que sans cesse l'Amour vous guide,  Jouissez à jamais des honneurs les plus doux.  Jouissez à jamais des plaisirs les plus doux. "")",1.13,Substitution
