,moliere-amants-magnifiques,quinault-thesee,Cost,Operation Type
322,"('#anaxarque', ""En est-il un meilleur, Madame, pour terminer les choses au contentement de tout le monde, que les lumières que le Ciel peut donner sur ce mariage ?  J'ai commencé, comme je vous ai dit, à jeter pour cela les figures mystérieuses que notre art nous enseigne, et j'espère vous faire voir tantôt ce que l'avenir garde à cette union souhaitée.  Après cela pourra-t-on balancer encore ?  La gloire et les prospérités que le Ciel promettra, ou à l'un, ou à l'autre choix, ne seront-elles pas suffisantes pour le déterminer, et celui qui sera exclus, pourra-t-il s'offenser quand ce sera le Ciel qui décidera cette préférence ?"")","('#medee', ""De quoi ne vient point à bout Un roi qui veut plaire ? La constance ne tient guère Contre un amant qui peut tout. Le roi doit redouter que mon dépit n'éclate : Pour regagner son cour, je vais encor le voir. Essayez, cependant, d'attendrir cette ingrate : Si tous nos soins unis ne peuvent l'émouvoir, Votre amour seul peut-être aura plus de pouvoir."")",0.16,Substitution
323,"('#iphicrate', ""Pour moi, je m'y soumets entièrement, et je déclare que cette voie me semble la plus raisonnable."")",,1.0,Insertion
324,"('#timocles', 'Je suis de même avis, et le Ciel ne saurait rien faire où je ne souscrive sans répugnance.')","('#thesee', ""AEglé ne m'aime plus, et n'a rien à me dire ? Qu'avez-vous fait des noeuds que l'amour fit pour nous ? Quoi pour les briser tous. Un jour, un seul jour peut suffire ? J'aurais abandonné le plus puissant empire Pour garder des liens si doux."")",1.19,Substitution
325,"('#eriphile', 'Mais, Seigneur Anaxarque, voyez-vous si clair dans les destinées, que vous ne vous trompiez jamais, et ces prospérités, et cette gloire que vous dites que le Ciel nous promet, qui en sera caution, je vous prie ?')","('#aegle', ""Cessez d'aimer une volage ; Servez-vous de votre courage Pour chercher un plus heureux sort."")",0.7,Substitution
326,"('#aristione', 'Ma fille, vous avez une petite incrédulité qui ne vous quitte point.')",,1.0,Insertion
327,"('#anaxarque', ""Les épreuves, Madame, que tout le monde a vues de l'infaillibilité de mes prédictions, sont les cautions suffisantes des promesses que je puis faire.  Mais enfin, quand je vous aurai fait voir ce que le Ciel vous marque, vous vous réglerez là-dessus, à votre fantaisie, et ce sera à vous à prendre la fortune de l'un, ou de l'autre choix."")","('#thesee', ""Je ne m'en servirai que pour chercher la mort. Si la belle AEglé m'est ravie Je ne prétends plus rien : Je perds l'unique bien Qui m'aurait fait aimer la vie."")",0.94,Substitution
328,"('#eriphile', ""Le Ciel, Anaxarque, me marquera les deux fortunes qui m'attendent ?"")",,1.0,Insertion
329,"('#anaxarque', ""Oui, Madame, les félicités qui vous suivront, si vous épousez l'un, et les disgrâces qui vous accompagneront, si vous épousez l'autre."")",,1.0,Insertion
330,"('#eriphile', ""Mais comme il est impossible que je les épouse tous deux, il faut donc qu'on trouve écrit dans le Ciel, non seulement ce qui doit arriver, mais aussi ce qui ne doit pas arriver."")",,1.0,Insertion
331,"('#clitidas', 'Voilà mon astrologue embarrassé.')",,1.0,Insertion
332,"('#anaxarque', ""Il faudrait vous faire, Madame, une longue discussion des principes de l'astrologie pour vous faire comprendre cela."")",,1.0,Insertion
333,"('#clitidas', ""Bien répondu.  Madame, je ne dis point de mal de l'astrologie, l'astrologie est une belle chose, et le Seigneur Anaxarque est un grand homme."")",,1.0,Insertion
334,"('#iphicrate', ""La vérité de l'astrologie est une chose incontestable, et il n'y a personne qui puisse disputer contre la certitude de ses prédictions."")",,1.0,Insertion
335,"('#clitidas', 'Assurément.')","('#aegle', 'Hélas !')",0.17,Substitution
336,"('#timocles', ""Je suis assez incrédule pour quantité de choses, mais pour ce qui est de l'astrologie, il n'y a rien de plus sûr et de plus constant, que le succès des horoscopes qu'elle tire."")","('#thesee', 'Ah ! Quel soupir échappe à votre cour !')",1.68,Substitution
337,"('#clitidas', 'Ce sont des choses les plus claires du monde.')",,1.0,Insertion
338,"('#iphicrate', 'Cent aventures prédites arrivent tous les jours, qui convainquent les plus opiniâtres.')",,1.0,Insertion
339,"('#clitidas', 'Il est vrai.')",,1.0,Insertion
340,"('#timocles', 'Peut-on contester sur cette matière les incidents célèbres, dont les histoires nous font foi ?')","('#aegle', ""Ce soupir échappé n'est que pour la grandeur."")",0.98,Substitution
341,"('#clitidas', ""Il faut n'avoir pas le sens commun.  Le moyen de contester ce qui est moulé."")",,1.0,Insertion
342,"('#aristione', ""Sostrate n'en dit mot, quel est son sentiment là-dessus ?"")",,1.0,Insertion
343,"('#sostrate', ""Madame, tous les esprits ne sont pas nés avec les qualités qu'il faut pour la délicatesse de ces belles sciences, qu'on nomme curieuses, et il y en a de si matériels, qu'ils ne peuvent aucunement comprendre ce que d'autres conçoivent le plus facilement du monde.  Il n'est rien de plus agréable, Madame, que toutes les grandes promesses de ces connaissances sublimes.  Transformer tout en or, faire vivre éternellement, guérir par des paroles, se faire aimer de qui l'on veut, savoir tous les secrets de l'avenir, faire descendre comme on veut du ciel sur des métaux des impressions de bonheur, commander aux démons, se faire des armées invisibles et des soldats invulnérables.  Tout cela est charmant, sans doute, et il y a des gens qui n'ont aucune peine à en comprendre la possibilité, cela leur est le plus aisé du monde à concevoir ; mais pour moi, je vous avoue que mon esprit grossier a quelque peine à le comprendre, et à le croire, et j'ai toujours trouvé cela trop beau pour être véritable.  Toutes ces belles raisons de sympathie, de force magnétique et de vertu occulte, sont si subtiles et délicates, qu'elles échappent à mon sens matériel, et sans parler du reste, jamais il n'a été en ma puissance de concevoir comme on trouve écrit dans le ciel jusqu'aux plus petites particularités de la fortune du moindre homme.  Quel rapport, quel commerce, quelle correspondance peut-il y avoir entre nous et des globes, éloignés de notre terre d'une distance si effroyable, et d'où cette belle science, enfin, peut-elle être venue aux hommes ?  Quel dieu l'a révélée, ou quelle expérience l'a pu former, de l'observation de ce grand nombre d'astres qu'on n'a pu voir encore deux fois dans la même disposition ?"")",,1.0,Insertion
344,"('#anaxarque', 'Il ne sera pas difficile de vous le faire concevoir.')",,1.0,Insertion
345,"('#sostrate', 'Vous serez plus habile que tous les autres.')",,1.0,Insertion
346,"('#clitidas', 'Il vous fera une discussion de tout cela quand vous voudrez.')",,1.0,Insertion
347,"('#iphicrate', ""Si vous ne comprenez pas les choses, au moins les pouvez-vous croire, sur ce que l'on voit tous les jours."")",,1.0,Insertion
348,"('#sostrate', ""Comme mon sens est si grossier qu'il n'a pu rien comprendre, mes yeux aussi sont si malheureux qu'ils n'ont jamais rien vu."")",,1.0,Insertion
349,"('#iphicrate', ""Pour moi j'ai vu, et des choses tout à fait convaincantes."")",,1.0,Insertion
350,"('#timocles', 'Et moi aussi.')",,1.0,Insertion
351,"('#sostrate', 'Comme vous avez vu, vous faites bien de croire, et il faut que vos yeux soient faits autrement que les miens.')","('#thesee', 'Vos beaux yeux répandent des larmes ?')",0.96,Substitution
352,"('#iphicrate', ""Mais enfin, la Princesse croit à l'astrologie, et il me semble qu'on y peut bien croire après elle.  Est-ce que Madame, Sostrate, n'a pas de l'esprit et du sens ?"")",,1.0,Insertion
353,"('#sostrate', ""Seigneur, la question est un peu violente, l'esprit de la Princesse n'est pas une règle pour le mien, et son intelligence peut l'élever à des lumières où mon sens ne peut pas atteindre."")",,1.0,Insertion
354,"('#aristione', ""Non, Sostrate, je ne vous dirai rien sur quantité de choses, auxquelles je ne donne guère plus de créance que vous.  Mais pour l'astrologie on m'a dit, et fait voir des choses si positives que je ne la puis mettre en doute."")",,1.0,Insertion
355,"('#sostrate', ""Madame, je n'ai rien à répondre à cela."")",,1.0,Insertion
356,"('#aristione', ""Quittons ce discours, et qu'on nous laisse un moment.  Dressons notre promenade, ma Fille, vers cette belle grotte, où j'ai promis d'aller.  Des galanteries à chaque pas."")","('#aegle', ""Non, non, sans m'attendrir je verrai vos douleurs."")",1.24,Substitution
357,"('#aristione', ""De qui que cela soit, on ne peut rien de plus galant et de mieux entendu.  Ma Fille, j'ai voulu me séparer de tout le monde pour vous entretenir, et je veux que vous ne me cachiez rien de la vérité.  N'auriez-vous point dans l'âme quelque inclination secrète que vous ne voulez pas nous dire ?"")","('#thesee', ""Vous voulez me cacher vos pleurs ? Pourquoi m'en dérober les charmes ?"")",0.59,Substitution
358,"('#eriphile', 'Moi, Madame ?')",,1.0,Insertion
359,"('#aristione', ""Parlez à coeur ouvert, ma Fille, ce que j'ai fait pour vous mérite bien que vous usiez avec moi de franchise.  Tourner vers vous toutes mes pensées, vous préférer à toutes choses, et fermer l'oreille en l'état où je suis, à toutes les propositions que cent princesses en ma place écouteraient avec bienséance, tout cela vous doit assez persuader que je suis une bonne mère, et que je ne suis pas pour recevoir avec sévérité les ouvertures que vous pourriez me faire de votre coeur."")","('#aegle', 'Ah ! Que vous me donnez de mortelles alarmes ? On vous a peut-être entendu Thésée, et vous êtes perdu.')",1.24,Substitution
360,"('#eriphile', ""Si j'avais si mal suivi votre exemple que de m'être laissée aller à quelques sentiments d'inclination que j'eusse raison de cacher, j'aurais, Madame, assez de pouvoir sur moi-même pour imposer silence à cette passion, et me mettre en état de ne rien faire voir qui fût indigne de votre sang."")","('#thesee', ""On ne nous entend point, non, ma belle princesse, Si vous m'aimez toujours ne craignez rien pour moi."")",0.74,Substitution
361,"('#aristione', ""Non, non, ma fille : vous pouvez sans scrupule m'ouvrir vos sentiments.  Je n'ai point renfermé votre inclination dans le choix de deux princes : vous pouvez l'étendre où vous voudrez, et le mérite auprès de moi tient un rang si considérable, que je l'égale à tout ; et, si vous m'avouez franchement les choses, vous me verrez souscrire sans répugnance au choix qu'aura fait votre coeur."")","('#aegle', ""Que nous payerons cher l'excès de ma tendresse ? Il y va de vos jours, j'épouserai le roi."")",0.88,Substitution
362,"('#eriphile', ""Vous avez des bontés pour moi, Madame, dont je ne puis assez me louer ; mais je ne les mettrai point à l'épreuve sur le sujet dont vous me parlez, et tout ce que je leur demande, c'est de ne point presser un mariage où je ne me sens pas encore bien résolue."")","('#thesee', ""C'est trop appréhender que le roi ne s'irrite. Il faut vous dire tout, l'amour m'en sollicite ; Je suis fils du roi,"")",0.68,Substitution
363,"('#aristione', ""Jusqu'ici je vous ai laissée assez maîtresse de tout, et l'impatience des Princes vos amants...  Mais quel bruit est-ce que j'entends : ah !  Ma fille, quel spectacle s'offre à nos yeux, quelque Divinité descend ici, et c'est la Déesse Vénus qui semble nous vouloir parler."")","('#aegle', 'Vous, seigneur !')",1.4,Substitution
364,"('#venus', ""Princesse dans tes soins brille un zèle exemplaire, Qui par les Immortels doit être couronné, Et pour te voir un gendre, illustre et fortuné, Leur main te veut marquer le choix que tu dois faire ; Ils t'annoncent tous par ma voix, La gloire et les grandeurs, que par ce digne choix, Ils feront pour jamais entrer dans ta famille, De tes difficultés termine donc le cours ; Et pense à donner ta fille À qui sauvera tes jours."")","('#thesee', ""Je n'ai montré d'abord que ma seule valeur, C'était à mon propre mérite Que je voulais devoir ma gloire et votre cour."")",0.75,Substitution
365,"('#aristione', ""Ma Fille, les Dieux imposent silence à tous nos raisonnements.  Après cela, nous n'avons plus rien à faire, qu'à recevoir ce qu'ils s'apprêtent à nous donner, et vous venez d'entendre distinctement leur volonté.  Allons dans le premier temple les assurer de notre obéissance, et leur rendre grâce de leurs bontés."")","('#aegle', ""Le roi, le monde entier prendraient en vain les armes, Il n'est rien de si fort que Médée, et ses charmes, Nous sommes les objets de ses transports jaloux. S'ils n'en voulaient qu'à moi je les braverais tous, Mais ils m'ont su frapper par où je suis sensible."")",0.8,Substitution
366,"('#cleon', ""Voilà la Princesse qui s'en va, ne voulez-vous pas lui parler ?"")","('#thesee', 'Quoi, le roi sera votre époux ?')",1.56,Substitution
367,,"('#aegle', 'Je ne puis vous sauver sans cet hymen horrible.')",1.0,Deletion
368,"('#anaxarque', ""Attendons que sa fille soit séparée d'elle, c'est un esprit que je redoute, et qui n'est pas de trempe à se laisser mener, ainsi que celui de sa mère.  Enfin, mon Fils, comme nous venons de voir par cette ouverture, le stratagème a réussi, notre Vénus a fait des merveilles ; et l'admirable ingénieur qui s'est employé à cet artifice, a si bien disposé tout, a coupé avec tant d'adresse le plancher de cette grotte, si bien caché ses fils de fer et tous ses ressorts, si bien ajusté ses lumières, et habillé ses personnages, qu'il y a peu de gens qui n'y eussent été trompés.  Et comme la Princesse Aristione est fort superstitieuse, il ne faut point douter qu'elle ne donne à pleine tête dans cette tromperie.  Il y a longtemps, mon fils, que je prépare cette machine, et me voilà tantôt au but de mes prétentions."")","('#thesee', ""Laissez armer plutôt tout l'enfer en courroux ; Le trépas est cent fois plus doux Qu'un secours si terrible ; Vivez pour moi, s'il est possible, Ou laissez-moi mourir pour vous."")",0.95,Substitution
369,"('#cleon', 'Mais pour lequel des deux princes au moins dressez-vous tout cet artifice ?')","('#aegle #thesee', 'Quel injustice ! Que de tourments ! Ah quel supplice De briser des noeuds si charmants !')",1.52,Substitution
370,"('#anaxarque', ""Tous deux ont recherché mon assistance, et je leur promets à tous deux la faveur de mon art ; mais les présents du Prince Iphicrate, et les promesses qu'il m'a faites, l'emportent de beaucoup sur tout ce qu'a pu faire l'autre.  Ainsi ce sera lui qui recevra les effets favorables de tous les ressorts que je fais jouer ; et comme son ambition me devra toute chose, voilà mon fils notre fortune faite.  Je vais prendre mon temps pour affermir dans son erreur l'esprit de la Princesse, pour la mieux prévenir encore par le rapport que je lui ferai voir adroitement des paroles de Vénus, avec les prédictions des figures célestes, que je lui dis que j'ai jetées.  Va-t'en tenir la main au reste de l'ouvrage, préparer nos six hommes à se bien cacher dans leur barque derrière le rocher ; à posément attendre le temps que la Princesse Aristione vient tous les soirs se promener seule sur le rivage, à se jeter bien à propos sur elle, ainsi que des corsaires, et donner lieu au Prince Iphicrate de lui apporter ce secours, qui sur les paroles du Ciel doit mettre entre ses mains la Princesse Ériphile.  Ce prince est averti par moi, et sur la foi de ma prédiction, il doit se tenir dans ce petit bois qui borde le rivage.  Mais sortons de cette grotte, je te dirai en marchant toutes les choses qu'il faut bien observer.  Voilà la Princesse Ériphile : évitons sa rencontre."")","('#medee', ""Finissez vos regrets, c'est trop, c'est trop vous plaindre, Je viens d'entendre tout il n'est plus temps de feindre."")",1.29,Substitution
371,"('#eriphile', ""Hélas !  Quelle est ma destinée, et qu'ai-je fait aux Dieux pour mériter les soins qu'ils veulent prendre de moi ?"")","('#aegle', ""Pardonnez à l'amour qui ne m'a pas permis De tenir ce que j'ai promis."")",1.13,Substitution
372,"('#cleonice', ""Le voici, Madame, que j'ai trouvé, et à vos premiers ordres, il n'a pas manqué de me suivre."")","('#thesee', 'Vengez-vous sur moi seul de notre amour extrême.')",1.28,Substitution
373,"('#eriphile', ""Qu'il approche, Cléonice, et qu'on nous laisse seuls un moment.  Sostrate, vous m'aimez ?"")","('#aegle', ""C'est par mon seul trépas qu'il faut nous désunir."")",1.37,Substitution
374,"('#sostrate', 'Moi, Madame ?')","('#thesee', 'Sa vie est la faveur que je veux obtenir.')",1.62,Substitution
375,,"('#aegle', 'Conservez ce héros, sauvez-le pour vous-même.')",1.0,Deletion
376,"('#eriphile', ""Laissons cela, Sostrate, je le sais, je l'approuve, et vous permets de me le dire.  Votre passion a paru à mes yeux accompagnée de tout le mérite qui me la pouvait rendre agréable.  Si ce n'était le rang où le Ciel m'a fait naître, je puis vous dire que cette passion n'aurait pas été malheureuse, et que cent fois je lui ai souhaité l'appui d'une fortune qui pût mettre pour elle en pleine liberté les secrets sentiments de mon âme.  Ce n'est pas, Sostrate, que le mérite seul n'ait à mes yeux tout le prix qu'il doit avoir, et que dans mon coeur je ne préfère les vertus qui sont en vous à tous les titres magnifiques, dont les autres sont revêtus.  Ce n'est pas même que la Princesse ma Mère ne m'ait assez laissé la disposition de mes voeux, et je ne doute point, je vous l'avoue, que mes prières n'eussent pu tourner son consentement du côté que j'aurais voulu ; mais il est des états, Sostrate, où il n'est pas honnête de vouloir tout ce qu'on peut faire.  Il y a des chagrins à se mettre au-dessus de toutes choses, et les bruits fâcheux de la renommée vous font trop acheter le plaisir que l'on trouve à contenter son inclination ; c'est à quoi, Sostrate, je ne me serais jamais résolue, et j'ai cru faire assez de fuir l'engagement dont j'étais sollicitée.  Mais enfin les Dieux veulent prendre le soin eux-mêmes de me donner un époux ; et tous ces longs délais avec lesquels j'ai reculé mon mariage, et que les bontés de la Princesse ma Mère ont accordés à mes désirs, ces délais, dis-je, ne me sont plus permis, et il me faut résoudre à subir cet arrêt du Ciel.  Soyez sûr, Sostrate, que c'est avec toutes les répugnances du monde que je m'abandonne à cet hyménée, et que si j'avais pu être maîtresse de moi, ou j'aurais été à vous, ou je n'aurais été à personne.  Voilà, Sostrate, ce que j'avais à vous dire, voilà ce que j'ai cru devoir à votre mérite, et la consolation que toute ma tendresse peut donner à votre flamme."")","('#aegle #thesee', ""Épargnez ce que j'aime, C'est moi, c'est moi qu'il faut punir."")",1.29,Substitution
377,"('#sostrate', ""Ah !  Madame, c'en est trop pour un malheureux, je ne m'étais pas préparé à mourir avec tant de gloire, et je cesse dans ce moment, de me plaindre des destinées.  Si elles m'ont fait naître dans un rang beaucoup moins élevé que mes désirs, elles m'ont fait naître assez heureux pour attirer quelque pitié du coeur d'une grande princesse ; et cette pitié glorieuse vaut des sceptres et des couronnes, vaut la fortune des plus grands princes de la terre.  Oui, Madame, dès que j'ai osé vous aimer, c'est vous, Madame, qui voulez bien que je me serve de ce mot téméraire, dès que j'ai, dis-je, osé vous aimer, j'ai condamné d'abord l'orgueil de mes désirs, je me suis fait moi-même la destinée que je devais attendre.  Le coup de mon trépas, Madame, n'aura rien qui me surprenne, puisque je m'étais préparé ; mais vos bontés le comblent d'un honneur que mon amour jamais n'eût osé espérer, et je m'en vais mourir après cela le plus content et le plus glorieux de tous les hommes.  Si je puis encore souhaiter quelque chose, ce sont deux grâces, Madame, que je prends la hardiesse de vous demander à genoux ; de vouloir souffrir ma présence jusqu'à cet heureux hyménée, qui doit mettre fin à ma vie ; et parmi cette grande gloire, et ces longues prospérités que le Ciel promet à votre union, de vous souvenir quelquefois de l'amoureux Sostrate.  Puis-je, divine Princesse, me promettre de vous cette précieuse faveur ?"")","('#medee', ""Je vous aime, Thésée, et vous l'allez connaître, Le crime enfin commence à me paraître affreux, Je respecte de si beaux noeuds, Ma rage a beau s'armer, vous en êtes le maître ; Votre vertu m'inspire un dépit généreux, Je rendrai ce que j'aime heureux Puisque mon amour ne peut l'être."")",0.08,Substitution
378,"('#eriphile', ""Allez, Sostrate, sortez d'ici : ce n'est pas aimer mon repos, que de me demander que je me souvienne de vous."")",,1.0,Insertion
379,"('#sostrate', 'Ah !  Madame, si votre repos...')","('#aegle #thesee', 'Quel bonheur surprenant pour nos cours amoureux !')",1.35,Substitution
380,"('#eriphile', ""Ôtez-vous, vous dis-je, Sostrate ; épargnez ma faiblesse, et ne m'exposez point à plus que je n'ai résolu."")","('#medee', 'Espérez tout de mon secours. Vous pouvez reprendre vos armes. Gardez vos tendres amours, Goûtez-en les charmes, Aimez sans alarmes, Aimez-vous toujours. Thésée reprend son épée. Médée continue.')",0.86,Substitution
381,"('#cleonice', ""Madame, je vous vois l'esprit tout chagrin, vous plaît-il que vos danseurs, qui expriment si bien toutes les passions, vous donnent maintenant quelque épreuve de leur adresse ?"")","('#aegle #thesee', 'Gardons nos tendres amours, Goûtons-en les charmes, Aimons sans alarmes, Aimons-nous toujours.')",1.21,Substitution
382,"('#eriphile', ""Oui, Cléonice, qu'ils fassent tout ce qu'ils voudront, pourvu qu'ils me laissent à mes pensées."")","('#medee', 'Habitants fortunés de ces lieux si charmants ; Commencez les plaisirs de ces heureux amants.')",0.94,Substitution
383,"('#clitidas', ""De quel côté porter mes pas ?  Où m'aviserai-je d'aller, et en quel lieu puis-je croire que je trouverai maintenant la princesse Ériphile ?  Ce n'est pas un petit avantage que d'être le premier à porter une nouvelle.  Ah !  La voilà.  Madame, je vous annonce que le Ciel vient de vous donner l'époux qu'il vous destinait."")","('#deux-bergeres', ""Que nos prairies Seront fleuries ! Les cours glacés Pour jamais en sont chassés. Ces lieux tranquilles Sont les asiles Des doux plaisirs, Et des heureux loisirs : La terre est belle, La fleur nouvelle Rit aux zéphirs. Que nos prairies Seront fleuries ! Les cours glacés Pour jamais en sont chassés. C'est dans nos bois Qu'amour a fait ses lois : Leur vert feuillage Doit toujours durer, Un cour sauvage N'y doit point entrer. Que nos prairies Seront fleuries ! Les cours glacés Pour jamais en sont chassés. La seule affaire D'une bergère C'est de songer À l'amour de son berger. Lorsqu'il la mène, Bien qu'elle prenne De longs détours, Tous les chemins sont courts : Sa bergerie Est moins chérie Que ses amours. La seule affaire D'une bergère C'est de songer À l'amour de son berger. Quand son amant La quitte un seul moment, Nos champs pour elle N'ont plus d'autre bien, Elle en querelle Jusques à son chien. La seule affaire D'une bergère C'est de songer À l'amour de son berger."")",0.96,Substitution
384,"('#eriphile', 'Eh, laisse-moi, Clitidas, dans ma sombre mélancolie.')","('#bergers', ""Aimons, tout nous y convie, On aime ici sans danger, Il est permis de changer, Chacun y suit son envie : Mais, heureux, cent, et cent fois, Un amant qui fait un choix Qui dure autant que sa vie ! Fuyons le bruit des villages, Fuyons l'éclat du grand jour, Les fruits charmants de l'amour Sont dans les sombres bocages. N'ayons point de peur des loups, Ne craignons que les jaloux Qui sont encor plus sauvages."")",1.52,Substitution
385,"('#clitidas', ""Madame, je vous demande pardon, je pensais faire bien de vous venir dire que le Ciel vient de vous donner Sostrate pour époux, mais puisque cela vous incommode, je rengaine ma nouvelle, et m'en retourne droit comme je suis venu."")",,1.0,Insertion
386,"('#eriphile', 'Clitidas, holà, Clitidas.')",,1.0,Insertion
387,"('#clitidas', 'Je vous laisse, Madame, dans votre sombre mélancolie.')",,1.0,Insertion
388,"('#eriphile', 'Arrête, te dis-je, approche.  Que viens-tu me dire ?')","('#un-habitant', ""Quel plaisir d'aimer Sans contrainte ! Nous pouvons former Des voeux sans crainte. Première chanson."")",1.38,Substitution
389,"('#clitidas', ""Rien, Madame, on a parfois des empressements de venir dire aux grands de certaines choses, dont ils ne se soucient pas, et je vous prie de m'excuser."")",,1.0,Insertion
390,"('#eriphile', 'Que tu es cruel !')",,1.0,Insertion
391,"('#clitidas', ""Une autre fois j'aurai la discrétion de ne vous pas venir interrompre."")","('#choeur-des-habitants', ""Quel plaisir d'aimer Sans contrainte ! Nous pouvons former Des voeux sans crainte."")",0.84,Substitution
392,"('#eriphile', ""Ne me tiens point dans l'inquiétude : qu'est-ce que tu viens m'annoncer ?"")","('#un-habitant', ""Jusques aux langueurs, Et jusqu'aux larmes, Pour les tendres cours Tout a des charmes."")",1.47,Substitution
393,"('#clitidas', ""C'est une bagatelle de Sostrate, Madame, que je vous dirai une autre fois, quand vous ne serez point embarrassée."")",,1.0,Insertion
394,"('#eriphile', ""Ne me fais point languir davantage, te dis-je, et m'apprends cette nouvelle."")","('#choeur-des-habitants', ""Jusques aux langueurs, Et jusqu'aux larmes, Pour les tendres cours Tout a des charmes."")",1.2,Substitution
395,"('#clitidas', 'Vous la voulez savoir, Madame ?')","('#un-habitant', ""C'est le plus discret Qui doit plaire ; Il faut du secret Et du mystère."")",1.07,Substitution
396,"('#eriphile', ""Oui, dépêche.  Qu'as-tu à me dire de Sostrate ?"")",,1.0,Insertion
397,"('#clitidas', ""Une aventure merveilleuse, où personne ne s'attendait."")","('#choeur-des-habitants', ""C'est le plus discret Qui doit plaire ; Il faut du secret Et du mystère."")",1.4,Substitution
398,"('#eriphile', ""Dis-moi vite ce que c'est."")",,1.0,Insertion
399,"('#clitidas', 'Cela ne troublera-t-il point, Madame, votre sombre mélancolie ?')","('#un-habitant', ""On dit les rigueurs De sa bergère, Mais pour les faveurs, On s'en doit taire."")",1.23,Substitution
400,"('#eriphile', 'Ah !  Parle promptement.')",,1.0,Insertion
401,"('#clitidas', ""J'ai donc à vous dire, Madame, que la Princesse votre mère passait presque seule dans la forêt, par ces petites routes qui sont si agréables, lorsqu'un sanglier hideux, (ces vilains sangliers-là font toujours du désordre, et l'on devrait les bannir des forêts bien policées) ; lors, dis-je, qu'un sanglier hideux, poussé je crois, par des chasseurs est venu traverser la route où nous étions.  Je devrais vous faire peut-être, pour orner mon récit, une description étendue du sanglier dont je parle, mais vous vous en passerez s'il vous plaît, et je me contenterai de vous dire, que c'était un fort vilain animal.  Il passait son chemin, et il était bon de ne lui rien dire, de ne point chercher de noise avec lui, mais la Princesse a voulu égayer sa dextérité, et de son dard, qu'elle lui a lancé un peu mal à propos, ne lui en déplaise, lui a fait au-dessus de l'oreille une assez petite blessure.  Le sanglier mal morigéné, s'est impertinemment détourné contre nous ; nous étions là deux, ou trois misérables qui avons pâli de frayeur, chacun gagnait son arbre, et la Princesse sans défense demeurait exposée à la furie de la bête, lorsque Sostrate a paru, comme si les Dieux l'eussent envoyé."")","('#choeur-des-habitants', ""On dit les rigueurs De sa bergère, Mais pour les faveurs, On s'en doit taire."")",0.79,Substitution
402,,"('#un-habitant', ""L'amour plaît malgré ses peines, L'amour plaît aux cours constants : Seconde chanson."")",1.0,Deletion
403,,"('#choeur-des-habitants', ""L'amour plaît malgré ses peines, L'amour plaît aux cours constants :"")",1.0,Deletion
404,"('#eriphile', 'Hé bien, Clitidas.')",,1.0,Insertion
405,"('#clitidas', 'Si mon récit vous ennuie, Madame, je remettrai le reste à une autre fois.')","('#un-habitant', 'On ne peut porter ses chaînes Assez tôt, ni trop longtemps.')",1.78,Substitution
406,"('#eriphile', 'Achève promptement.')","('#choeur-des-habitants', 'On ne peut porter ses chaînes Assez tôt, ni trop longtemps.')",1.52,Substitution
407,,"('#un-habitant', ""Sans amour, tout est sans âme, L'amour seul nous rend contents ;"")",1.0,Deletion
408,,"('#choeur-des-habitants', ""Sans amour, tout est sans âme, L'amour seul nous rend contents ;"")",1.0,Deletion
409,,"('#un-habitant', 'On ne peut sentir sa flamme Assez tôt, ni trop longtemps.')",1.0,Deletion
410,,"('#choeur-des-habitants', 'On ne peut sentir sa flamme Assez tôt, ni trop longtemps.')",1.0,Deletion
411,"('#clitidas', ""Ma foi !  C'est promptement, de vrai, que j'achèverai, car un peu de poltronnerie m'a empêché de voir tout le détail de ce combat ; et tout ce que je puis vous dire, c'est que retournant sur la place, nous avons vu le sanglier mort, tout vautré dans son sang, et la Princesse pleine de joie, nommant Sostrate son libérateur, et l'époux digne et fortuné que les Dieux lui marquaient pour vous.  À ces paroles, j'ai cru que j'en avais assez entendu, et je me suis hâté de vous en venir, avant tous, apporter la nouvelle."")","('#medee', ""Ah faut-il me venger En perdant ce que j'aime ! Que fais-tu ma fureur, où vas-tu m'engager ? Punir ce cour ingrat c'est me punir moi-même, J'en mourrai de douleur, je tremble d'y songer, Ah faut-il me venger En perdant ce que j'aime ! Ma rivale triomphe, et me voit outrager : Quoi, laisser son amour sans peine, et sans danger ? Voir le spectacle affreux de son bonheur extrême ? Non, il faut me venger En perdant ce que j'aime."")",0.25,Substitution
412,"('#eriphile', ""Ah !  Clitidas, pouvais-tu m'en donner une qui me pût être plus agréable ?"")","('#dorine', 'Que Thésée est content de son bienheureux sort !')",1.79,Substitution
413,,"('#medee', ""Dorine, c'en est fait, tout est prêt pour sa mort."")",1.0,Deletion
414,"('#clitidas', ""Voilà qu'on vient vous trouver."")","('#dorine', ""Quoi ce grand appareil est sa mort qu'on prépare ? Le roi le doit choisir ici pour successeur ; Votre soin pour lui se déclare."")",1.69,Substitution
