,archambault-ce-n-est-pas,archambault-janot-battus,Cost,Operation Type
412,"('#le-notaire', ""Monsieur Janot, le contrat servira pour une autre fois ; mais à c't' heure on a besoin de vous là-dedans pour régler les comptes."")","('#janot', ""Pardine !  Me vlà ben à mon aise !  Vlà que st'affaire-là s'entame pas mal !  Un beau conseil qui m'a donné là lui, avec sa plainte, Dodinet, et son soufflet de dix pistoles. Eh ben, Monsieur, me rendez-vous mon habit donc ?... J'ai été bête de le croire, moi !  Queuque je vas devenir à présent ?  J'ai une faim d'enragé, que je n'ai pas mangé depis le matin jusqu'à l'heure qu'il est, gros comme une noix de pain...  Toujours courir !  C'est être ben traître à son corps aussi... Eh ben !  Monsieur, c'est-ti pour rire donc ?  Eh !  Mon habit ? Il frappe à la porte de Ragot. À lui-même. Il frappe encore."")",0.91,Substitution
413,"('#ragot', 'Oui, oui, ne vous gênez pas, mon ami ; nous ne vous retenons pas.')","('#ragot', ""Quiens, le vlà ; mais va-t-en, et ne me fais pas descendre, sinon je t'irai habiller, moi."")",1.38,Substitution
414,"('#madame-ragot', ""Oui, si je n'avons pas mieux dîné, ça n'est pas de votre faute.  Nous vous sommes toujours ben obligés de la bonne volonté."")","('#ragot', ""C'est pas la peine, allez.  Bonne nuit, not' bourgeois, je viendrons demain matin."")",1.2,Substitution
415,"('#suzon', 'Adieu, Monsieur Janot.  Je souhaite que le jour de la noce vous réussisse mieux que celui des accordailles.')",,1.0,Insertion
416,"('#simon', ""Si vous voulez venir collationner avec nous, Mam'selle Perrette, je vous remettrons chez vous après."")","('#ragot', 'Eh ben !  oui, reviens, je te garderai à déjeuner.')",0.48,Substitution
417,"('#perrette', ""Ça n'est pas de refus, Monsieur, car M.  Janot m'a mise en appétit ; mais je ne lui en veux pas, ça se passera sus aut' chose. Elle s'en va avec les autres."")","('#janot', ""À déjeuner !  En attendant faudrait souper, et je n'ai pas le sou, et je ne connais personne de connaissance enfin.  La nuit comme ça !  Si c'était le matin, il y a des auberges, on va se mettre à table ; on boit, on mange, et ne faut pas d'argent pour ça...  dans les cabarets on ne paie qu'en sortant ; moi, je ne sortirais pas...  Je tombe de sommeil ; si y passait queuque fiaque sur la place, je dormirais une coupe d'heures dans le carrosse...  Ou si j'avions tant seulement un petit fagot pour me réchauffer, au coin d'une borne-là, de trois sous et demi...  Jarni, je ne sais ce qui me tourmente le pus, si c'est le froid, si c'est la faim ; je crois que c'est le sommeil,...  Ou putôt c'est la colère !  Mordienne !  Je suis enragé après ste Mam'selle Suzon, qu'est cause de ça ; faut que je m'en venge...  J'y vas casser ses vitres.  Quiens, attrape !  Pan, encore une !...  Ça me réchauffera.  Pan, va toujours. Il ramasse des pierres et les jette."")",0.96,Substitution
418,"('#janot', ""Ah !  Me v'là ben: je n'ai pus qu'à porter ça à la monnaie.  Si ma comtesse voulait me reprendre encore, ça ne serait que demi-mal."")","('#simon', ""Parle donc, hé !  Petit gueux !  Veux-tu que je t'aille prendre la mesure d'une paire de souyers dans le derrière ?"")",1.36,Substitution
419,"('#dodinet', ""Ah !  Te v'là, Janot.  Tiens, mon ami : je suis bien aise de te trouver."")","('#ragot', ""Toi !  Descends donc, vlà que je t'attends...  Quiens, vlà pour toi."")",0.51,Substitution
420,"('#janot', ""Qu'est-ce que c'est que ça ?"")","('#simon', ""Ah, sarpédié !  Laisse-moi prendre mon tire-pied, je vas t'aller chauffer."")",1.41,Substitution
421,"('#dodinet', ""C'est la carte du cabaret.  Vite, donne-moi de l'argent, que j'aille payer."")","('#ragot', ""Oui, viens donc les bas de Mam'selle Suzon, tu me paieras sa maille que j'y ai reprise."")",1.12,Substitution
422,"('#janot', ""Est-ce que tu n'as pas payé déjà ?"")","('#simon', ""Ah !  Tu l'y as reprise une maille !  Ah ben !  Je vas te remettre un bout, moi."")",1.62,Substitution
423,"('#dodinet', ""Eh !  Pardine !  Avec quoi ?  Quiens, on m'a pris mon chapeau, mon épée et mes bouques en gage."")","('#ragot', ""Arrive donc, si t'as du coeur ; en attendant, attrape toujours. Si y pouvait venir me donner queuques giffes, tant seulement, ça rendrait mon affaire ben meilleure ; comme disait Dodinet, y me manquait ça tantôt dedans ma plainte. Il jette des pierres. Aparté."")",0.8,Substitution
424,"('#janot', ""Eh ben !  Mon ami, nous v'là tranquilles comme ça.  I' n' leur faut pus d'argent."")","('#simon', 'Ah !  Gueux !  Tu jettes des pierres !')",1.83,Substitution
425,,"('#ragot', 'Ah !  Traître !  Tu me prends par derrière !')",1.0,Deletion
426,,"('#simon', 'Quiens, en vlà aussi par-devant.')",1.0,Deletion
427,"('#dodinet', ""Non-da, mais i' me faut mes effets, à moi."")","('#ragot', 'Oui-dà !  Donnes-en donc encore un pour voir.')",1.36,Substitution
428,,"('#simon', 'Quiens, polisson, en vlà encore un.')",1.0,Deletion
429,"('#janot', ""Eh ben !  Dame, mon ami, arrange-toi : v'là le lingot.  L'orfèvre dit comme ça que ça n'en est pas du bon or."")","('#ragot', 'Ah !  Mais ne dis pas de sottise, entends-tu ?  Parce que je me fâcherai, au moins.')",1.07,Substitution
430,"('#dodinet', ""Me v'là bien avancé, moi, à présent.  Que le diable t'emporte, va, avec ton maudit lingot : je te l'avais-t-i' pas répété cent fois tantôt que ça n'en était pas ?"")","('#simon', 'Eh ben !  Fâche-toi donc pour voir ; quiens, vlà ton attaque.')",1.15,Substitution
431,"('#janot', ""Je t'en demande pardon, mon ami.  J'y perds pus que toi à ça ; mais dame aussi on ne sait jamais à quoi s'en tenir.  L'aut' jour, j'ai été dupe, moi, parce que c'en était ; aujourd'hui, t'es trompé, toi, parce que ça n'en est pas ; ça prouve que chacun a son tour, et que tout ce qui reluit n'est pas or.  Quiens, Dodinet, i' n' faut pas encore se désespèrer : l'orfèvre s'est p't-êt' trompé.  V'là un homme que je vois là, qui sort d'un collège ; ça a l'air d'un savant, avec sa grande robe ; y nous dira tout de suite de quoi i' retourne ben mieux que l'orfèvre, lui.  Appelons-le."")","('#ragot', ""Ah !  C'est un peu trop fort aussi !  Pisque tu le prends sur ce ton-là, je m'en vas te parler, moi. Au guet !  Au voleur !  Au guet !... Il se met à crier."")",1.14,Substitution
432,,"('#simon', 'Ah !  Chien !  Tu cries donc ?')",1.0,Deletion
433,"('#janot', ""Monsieur, si c'était un effet de vot' complaisance, je voudrais ben vous demander, pour savoir..."")","('#ragot', 'Eh non !  Je vas te laisser faire...  Va toujours...  Au guet !  Au guet !...')",1.36,Substitution
434,,"('#simon', ""Quiens, coquin !  Quiens, drôle !  Vas lui porter ça... Après l'avoir bien rossé, il se sauve."")",1.0,Deletion
435,,"('#madame-ragot', ""Qu'est-ce que c'est donc que ces vauriens-là qui empêchent de dormir le monde, et qui se battent ?"")",1.0,Deletion
436,"('#le-philosophe', ""Savoir ?  Ah !  Je crois bien, mon ami !  Que vous voudriez savoir.  Vous n'êtes pas le seul qui voudriez savoir ; mais voilà justement le difficile, c'est de savoir.  Tout le monde croit savoir, et personne ne sait.  Pour moi, tout mon savoir ne m'a appris qu'à savoir que je ne sais rien."")","('#ragot', ""Vous ne savez que vous dites, Madame, ce n'est pas moi, c'est lui qui bat ; moi, je crie."")",1.22,Substitution
437,,"('#madame-ragot', 'Eh ben, allez crier plus loin !')",1.0,Deletion
438,"('#janot', ""Je le crois ben, Monsieur ; mais c'est que je vous demande..."")","('#ragot', 'Je veux crier ici, moi.')",1.57,Substitution
439,,"('#simon', 'Au guet !  Au voleur !')",1.0,Deletion
440,"('#le-philosophe', ""Oh !  Demande !  Une demande est bientôt faite ; mais il y a demande et demande : une demande se divise en juste et en injuste.  Une demande juste, c'est une demande par laquelle on demande..."")","('#janot', 'Ah ben !  En vlà encore une bonne celle-là')",1.78,Substitution
441,,"('#madame-ragot', 'Au guet !  Au guet !...  Au commissaire !')",1.0,Deletion
442,,"('#ragot', ""Eh ben !  Est-ce qu'ils sont tous fous, avec leur sabbat ?..."")",1.0,Deletion
443,"('#janot', ""Eh !  Que de demandes !  Je viens seulement pour que vous me disiez, sur une chose, que j'ai, d'or, là, massif, fin, si c'en est, ou ben si ça n'en est pas."")","('#le-caporal', ""Qu'est-ce que c'est donc que tout cela ?"")",1.29,Substitution
444,"('#le-philosophe', ""Si cela en est ?  Ah !  Mon ami, que de gens sont trompés à ce mot !  Combien qui, dupes de l'apparence, prennent le mot pour la chose, l'ombre pour la lumière et l'illusion pour la realité.  Défiez-vous de tout, mon enfant.  Soyez en garde contre tout le monde.  Celui-ci vient avec de beaux compliments, affichant ua extérieur zélé et chaud pour vous servir, vous prenez cela pour de l'amitié, eh bien !  Ça n'en est pas."")","('#ragot', ""Ah !  Monsieur le guet, c'est que, sous vot' respect, les paroles ne puent pas, mais..."")",0.7,Substitution
445,"('#janot', ""Mais il n'est pas question de ça."")",,1.0,Insertion
446,"('#le-philosophe', ""Celui-là, bavard outré, qui vous fait de grandes phrases et vous débite de grands mots, qui pille ab hoc et ab hac tout ce qu'il dit et tout ce qu'il écrit, et vous étourdit avec ses lieux communs ; simples que vous êtes, vous prenez cela pour de l'esprit, eh bien !  Ça n'en est pas."")","('#ragot', ""Ne l'écoutez pas...  c'est un gueux..."")",1.24,Substitution
447,,"('#madame-ragot', 'Oui, il fait du train depis une heure.')",1.0,Deletion
448,,"('#simon', ""C'est un coquin qui casse nos vitres."")",1.0,Deletion
449,"('#janot', ""Eh !  Qu'est-ce qui vous parle d'esprit ?"")","('#le-caporal', 'Comment, drôle !  Vous cassez les vitres ?')",1.33,Substitution
450,"('#le-philosophe', ""Cette jeune fille que vous voyez si parée avec ces cheveux postiches et ces dents artificielles, ce teint fait au pastel et tous ces appas empruntés ; pauvres nigauds, vous prenez cela pour de la beauté, eh bien !  Ça n'en est pas."")",,1.0,Insertion
451,"('#janot', 'Peste soit de la beauté !  Écoutez-moi.')",,1.0,Insertion
452,"('#le-philosophe', ""Cette femme, qui ne parle que de son mari, qui ne peut faire un pas sans lui, qui se trouve mal quand il sort et se jette à son cou quand il revient ; bonne dupe !  vous prenez cela pour de l'amour !  Oh bien !  Ça n'en est pas."")","('#ragot', ""Eh non !  Monsieur, c'est que...  Tenez, vlà comme ça est venu. Il veut lui faire sentir son bras, etc."")",1.4,Substitution
453,,"('#le-caporal', ""Ah !  Le cochon !  Qu'est-ce que c'est que ça ?"")",1.0,Deletion
454,,"('#simon', ""C'est un gueux qu'est fou."")",1.0,Deletion
455,"('#janot', ""Le diabe vous emporte avec votre amour.  C'est de l'or..."")","('#madame-ragot', 'Oui, il sent le vin à pleine bouche !')",1.9,Substitution
456,"('#le-philosophe', ""De l'or ?  Eh !  Où cela ?  Sur l'habit d'un Gascon ?  Ça n'en est pas.  Dans la bourse d'un joueur ?  Ça n'en est pas ; dans le creuset d'un alchimiste ?  Ça n'en est pas ; dans le coffre-fort d'un poète ?  Ça n'en est pas ; d'un peintre ?  Ça n'en est pas ; d'un musicien ?  Ça n'en est pas."")","('#ragot', ""Le vin !  Ah ben oui !  vous vous y connaissez...  Voyez donc un peu si c'est là du vin ? Au caporal."")",1.45,Substitution
457,"('#janot', ""Ah !  Maudit bavard !  Que n'étais-tu donc là l'autre jour, de c't' histoire dessus ma veste, t'aurais bon dit que c'en était de ce coup-là."")","('#le-caporal', 'Comment, insolent !  Tu te moques de nous, je crois...  Mais voilà le commissaire !  Il va te parler.')",0.8,Substitution
458,"('#le-philosophe', 'Que voulez-vous donc dire ?  Expliquez-vous.')","('#le-clerc', 'Eh bien !  Te voilà encore !  Est-ce que tu veux faire une autre plainte ?')",1.46,Substitution
459,,"('#ragot', ""Oh non !  Je n'ai pus d'argent !...  C'est pas moi, Monsieur, c'est ce drôle-là qui se plaint.  Il montre le savetier Simon."")",1.0,Deletion
460,,"('#simon', 'Oui, Monsieur, il casse mes vitres.')",1.0,Deletion
461,,"('#madame-ragot', 'Il trouble le repos de tout le monde.')",1.0,Deletion
462,,"('#le-caporal', 'Il insulte le Guet.')",1.0,Deletion
463,"('#janot', ""Ah !  Si j'étais le plus fort, que je te rosserais de bon courage !"")","('#le-clerc', ""Ah !  C'est trop fort."")",0.75,Substitution
464,"('#le-philosophe', ""Du courage !  Qui ?  Ce fanfaron qui parlait si haut, et qui faisait blanc de son épée ?  Vous preniez cela pour du courage !  Eh bien !  Ça n'en était pas."")","('#ragot', ""Moi, Monsieur ?  Au contraire, c'est ce gueux-là qui tantôt, vous savez ben ce que je vous ai dit...  Là, par une fenêtre..."")",1.38,Substitution
465,,"('#le-clerc', ""Oui, oui, je sais ce qu c'est...  Mais il fallait te retirer, comme je te l'ai dit, et ne pas te faire justice toi-même.  Te voilà dans le cas d'une amende à présent."")",1.0,Deletion
466,,"('#ragot', 'Comment donc, une amende !  Il faut donc toujours payer avec vous autres ?')",1.0,Deletion
467,,"('#le-clerc', 'Mais, outre que tu est répréhensible pour troubler le bon ordre, il faut encore payer le dommage et les vitres cassées.')",1.0,Deletion
468,,"('#madame-ragot', ""C'est juste."")",1.0,Deletion
469,,"('#ragot', ""Mais, Monsieur, je n'ai pus d'argent, moi, depis que je me suis plaint."")",1.0,Deletion
470,,"('#le-caporal', 'Eh bien, en prison !')",1.0,Deletion
471,"('#janot', ""Ah !  Miséricorde, i' ne finira pas, et le cabaretier qui m'attend."")","('#ragot', ""Comment mordi !  Payer pour se plaindre !  Et en prison pour n'avoir pas d'argent !  Mais c'est-ti une conscience donc ça ?"")",1.14,Substitution
472,"('#le-philosophe', ""Le cabaretier !  Ah !  Si le breuvage contrefait qu'il vous vend est du vin pur.  Eh bien !  Ça n'en est pas."")",,1.0,Insertion
473,"('#janot', ""Ah !  Le misérable, il a juré de me faire perdre patience.  Veux-tu décamper d'ici avec ton diabe de ça n'en est pas."")","('#le-clerc', ""Écoute, je vois bien que tu es un innocent, il faut te pardonner cette fois-ci, à condition que cela ne t'arrivera plus : on te fait grâce de la prison..."")",0.94,Substitution
474,,"('#le-caporal', 'Mais, Monsieur, et le dommage donc ?...')",1.0,Deletion
475,"('#le-philosophe', ""Oh !  Vous vous fâchez, et vous me demanderez si c'est là de la raison ?  Eh bien !  Ça n'en est pas."")","('#le-clerc', ""Oui, vous avez raison : il faut de la justice en tout ; cela peut s'accommoder...  Voilà un paquet dont il n'a que faire ; on va le porter chez moi pour nantissement.  On le vendra demain matin, et quand on aura payé les vitres cassées et les frais, s'il y a du reste, on le lui remettra."")",1.41,Substitution
476,"('#janot', 'Encore !  Chien de rabâcheur.')","('#le-caporal', 'Ah !  Vivat !  Fort bien jugé !')",1.6,Substitution
477,,"('#simon', ""Oui, je m'y accorde."")",1.0,Deletion
478,"('#le-philosophe', ""De la modération !  Ça n'en est pas."")","('#ragot', ""Mais jarni !  Je ne m'y accorde pas, moi."")",1.27,Substitution
479,,"('#le-clerc', 'En ce cas, conduisez-le en prison.')",1.0,Deletion
480,,"('#ragot', ""En prison !  Comment c'est donc tout de bon ?"")",1.0,Deletion
481,,"('#le-clerc', ""Oui, tu as l'alternative, ainsi arrange-toi avec ces messieurs. Il rentre chez lui."")",1.0,Deletion
482,,"('#ragot', ""Un beau chien d'arrangement !  Quand je serai dedans, moi, queu figure que je serai là ?"")",1.0,Deletion
483,"('#janot', ""C'est le diabe qui te puisse emporter."")","('#le-caporal', 'Allons, allons, dépêche...  Le paquet, ou marche.')",1.14,Substitution
484,,"('#madame-ragot', 'En prison, en prison.')",1.0,Deletion
485,"('#le-philosophe', ""De la prudence, du bon sens, du jugement ?  Ça n'en est pas, ça n'en peut pas être, et ça n'en sera jamais. Il s'en va."")","('#ragot', ""Par-là jarni !  Ça n'est-ti pas enrageant une jugerie comme ça !...  Allons donc, pisqu'il faut en passer par-là, emportez le paquet... Et que le diable vous emporte avec... Aparté."")",1.42,Substitution
486,"('#janot', ""Eh ben !  Messieurs, ça n'en est donc pas.  Que de brillantes espérances on voit tous les jours s'évanouir !  Que de gens rêvent avoir trouvé un trésor et que le réveil désabuse !  Pour nous, le seul que nous ambitionnons, c'est le bonheur de vous plaire."")","('#le-caporal', ""À la bonne heure : Demain, Maître Simon, je compterons ensemble. Pour toi, mon ami, va te coucher, crois-moi, car si je te trouve en repassant, je te mettrai à couvert ; au revoir. Au savetier. À Janot. Il s'en va avec le guet."")",1.22,Substitution
487,,"('#madame-ragot', ""C'est ben fait : il le mérite ben.  Elle lui ferme la fenêtre au nez."")",1.0,Deletion
488,,"('#ragot', 'Adieu, mauvais sujet... Il lui ferme aussi la fenêtre.')",1.0,Deletion
489,,"('#simon', ""Bonsoir, mon p'tit ami... Il lui ferme la fenêtre."")",1.0,Deletion
490,,"('#suzon', 'Adieu, mon pauvre Janot. Elle ferme la fenêtre.')",1.0,Deletion
491,,"('#janot', ""Au diable !...  Eh ben !  Voyez pourtant comme tout ça tourne !  Me vlà dédommagé, moi !  J'ai perdu mon argent ; j'ai ma veste gâtée ; j'ai été rossé !...  Et faut que je payé encore !...  Ah !  Jarni, tout ça me rappelle ce que me disait ma pauvre mère, du temps que j'allais à l'école, qu'est morte à présent, chez Monsieur Nicodème ; quand je revenais me plaindre à elle avec l'oreille déchirée, j'attrapais encore le fouet par-dessus le marché !  Eh ben !  C'est la même chose à présent.  Les grands, comme les petits, les enfants comme les personnes, dans le monde comme à l'école, on a beau venir se plaindre d'avoir eu des coups, autant de pris !  C'est toujours les Battus qui paient l'amende. Encore, si du moins, Messieurs, st'amende-là pouvait tourner au profit de vos plaisirs, je me croirais bienheureux de la payer tous les jours ! Au public."")",1.0,Deletion
