,moliere-amants-magnifiques,quinault-alceste,Cost,Operation Type
349,"('#sostrate', ""Madame, tous les esprits ne sont pas nés avec les qualités qu'il faut pour la délicatesse de ces belles sciences, qu'on nomme curieuses, et il y en a de si matériels, qu'ils ne peuvent aucunement comprendre ce que d'autres conçoivent le plus facilement du monde.  Il n'est rien de plus agréable, Madame, que toutes les grandes promesses de ces connaissances sublimes.  Transformer tout en or, faire vivre éternellement, guérir par des paroles, se faire aimer de qui l'on veut, savoir tous les secrets de l'avenir, faire descendre comme on veut du ciel sur des métaux des impressions de bonheur, commander aux démons, se faire des armées invisibles et des soldats invulnérables.  Tout cela est charmant, sans doute, et il y a des gens qui n'ont aucune peine à en comprendre la possibilité, cela leur est le plus aisé du monde à concevoir ; mais pour moi, je vous avoue que mon esprit grossier a quelque peine à le comprendre, et à le croire, et j'ai toujours trouvé cela trop beau pour être véritable.  Toutes ces belles raisons de sympathie, de force magnétique et de vertu occulte, sont si subtiles et délicates, qu'elles échappent à mon sens matériel, et sans parler du reste, jamais il n'a été en ma puissance de concevoir comme on trouve écrit dans le ciel jusqu'aux plus petites particularités de la fortune du moindre homme.  Quel rapport, quel commerce, quelle correspondance peut-il y avoir entre nous et des globes, éloignés de notre terre d'une distance si effroyable, et d'où cette belle science, enfin, peut-elle être venue aux hommes ?  Quel dieu l'a révélée, ou quelle expérience l'a pu former, de l'observation de ce grand nombre d'astres qu'on n'a pu voir encore deux fois dans la même disposition ?"")",,1.0,Insertion
350,"('#anaxarque', 'Il ne sera pas difficile de vous le faire concevoir.')",,1.0,Insertion
351,"('#sostrate', 'Vous serez plus habile que tous les autres.')",,1.0,Insertion
352,"('#clitidas', 'Il vous fera une discussion de tout cela quand vous voudrez.')","('#alcide', 'Allons, rame, dépêche, achève. ')",1.57,Substitution
353,"('#iphicrate', ""Si vous ne comprenez pas les choses, au moins les pouvez-vous croire, sur ce que l'on voit tous les jours."")",,1.0,Insertion
354,"('#sostrate', ""Comme mon sens est si grossier qu'il n'a pu rien comprendre, mes yeux aussi sont si malheureux qu'ils n'ont jamais rien vu."")",,1.0,Insertion
355,"('#iphicrate', ""Pour moi j'ai vu, et des choses tout à fait convaincantes."")","('#caron', 'Nous enfonçons. ')",1.58,Substitution
356,"('#timocles', 'Et moi aussi.')","('#alcide', 'Passons, passons. ')",1.42,Substitution
357,"('#sostrate', 'Comme vous avez vu, vous faites bien de croire, et il faut que vos yeux soient faits autrement que les miens.')",,1.0,Insertion
358,"('#iphicrate', ""Mais enfin, la Princesse croit à l'astrologie, et il me semble qu'on y peut bien croire après elle.  Est-ce que Madame, Sostrate, n'a pas de l'esprit et du sens ?"")",,1.0,Insertion
359,"('#sostrate', ""Seigneur, la question est un peu violente, l'esprit de la Princesse n'est pas une règle pour le mien, et son intelligence peut l'élever à des lumières où mon sens ne peut pas atteindre."")","('#pluton', ""Reçois le juste prix de ton amour fidèle ;  Que ton dessein nouveau soit heureux à jamais :  Commence de goûter la douceur éternelle  D'une profonde paix. "")",1.52,Substitution
360,"('#aristione', ""Non, Sostrate, je ne vous dirai rien sur quantité de choses, auxquelles je ne donne guère plus de créance que vous.  Mais pour l'astrologie on m'a dit, et fait voir des choses si positives que je ne la puis mettre en doute."")",,1.0,Insertion
361,"('#sostrate', ""Madame, je n'ai rien à répondre à cela."")",,1.0,Insertion
362,"('#aristione', ""Quittons ce discours, et qu'on nous laisse un moment.  Dressons notre promenade, ma Fille, vers cette belle grotte, où j'ai promis d'aller.  Des galanteries à chaque pas."")","('#suivants-de-pluton', ""Commence de goûter la douceur éternelle  D'une profonde paix. "")",0.9,Substitution
363,"('#aristione', ""De qui que cela soit, on ne peut rien de plus galant et de mieux entendu.  Ma Fille, j'ai voulu me séparer de tout le monde pour vous entretenir, et je veux que vous ne me cachiez rien de la vérité.  N'auriez-vous point dans l'âme quelque inclination secrète que vous ne voulez pas nous dire ?"")","('#proserpine', ""L'épouse de Pluton te retient auprès d'elle :  Tous tes voeux seront satisfaits. "")",1.56,Substitution
364,"('#eriphile', 'Moi, Madame ?')","('#suivants-de-pluton', ""Commence de goûter la douceur éternelle  D'une profonde paix. "")",1.54,Substitution
365,"('#aristione', ""Parlez à coeur ouvert, ma Fille, ce que j'ai fait pour vous mérite bien que vous usiez avec moi de franchise.  Tourner vers vous toutes mes pensées, vous préférer à toutes choses, et fermer l'oreille en l'état où je suis, à toutes les propositions que cent princesses en ma place écouteraient avec bienséance, tout cela vous doit assez persuader que je suis une bonne mère, et que je ne suis pas pour recevoir avec sévérité les ouvertures que vous pourriez me faire de votre coeur."")","('#pluton #proserpine', ""En faveur d'une Ombre si belle,  Que l'Enfer fasse voir tout ce qu'il a d'attraits.  Les suivants de PLUTON répètent les deux derniers vers, et se réjouissent de la venue d'ALCESTE dans les Enfers, par une espèce de Fête."")",1.08,Substitution
366,"('#eriphile', ""Si j'avais si mal suivi votre exemple que de m'être laissée aller à quelques sentiments d'inclination que j'eusse raison de cacher, j'aurais, Madame, assez de pouvoir sur moi-même pour imposer silence à cette passion, et me mettre en état de ne rien faire voir qui fût indigne de votre sang."")","('#suivants-de-pluton', ""En faveur d'une Ombre si belle,  Que l'Enfer fasse voir tout ce qu'il a d'attraits.  Tout Mortel doit ici paraître,  On ne peut naître  Que pour mourir :  De cent maux le Trépas délivre ;  Qui cherche à vivre  Cherche à souffrir.  Venez tous sur nos sombres bords,  Le repos qu'on désire  Ne tient son Empire  Que dans le Séjour des morts.  On danse."")",0.45,Substitution
367,"('#aristione', ""Non, non, ma fille : vous pouvez sans scrupule m'ouvrir vos sentiments.  Je n'ai point renfermé votre inclination dans le choix de deux princes : vous pouvez l'étendre où vous voudrez, et le mérite auprès de moi tient un rang si considérable, que je l'égale à tout ; et, si vous m'avouez franchement les choses, vous me verrez souscrire sans répugnance au choix qu'aura fait votre coeur."")","('#choeur', ""Chacun vient ici-bas prendre place ;  Sans cesse on y passe,  Jamais on n'en sort.  C'est pour tous une loi nécessaire ;  L'effort qu'on peut faire  N'est qu'un vain effort :  Est-on sage  De fuir ce passage ?  C'est un orage  Qui mène au Port.  Chacun vient ici-bas prendre place ;  Sans cesse on y passe,  Jamais on n'en sort.  Tous les charmes,  Plaintes, cris, larmes,  Tout est sans armes  Contre la mort.  Chacun vient ici-bas prendre place ;  Sans cesse on y passe,  Jamais on n'en sort.  On danse."")",0.99,Substitution
368,"('#eriphile', ""Vous avez des bontés pour moi, Madame, dont je ne puis assez me louer ; mais je ne les mettrai point à l'épreuve sur le sujet dont vous me parlez, et tout ce que je leur demande, c'est de ne point presser un mariage où je ne me sens pas encore bien résolue."")",,1.0,Insertion
369,"('#aristione', ""Jusqu'ici je vous ai laissée assez maîtresse de tout, et l'impatience des Princes vos amants...  Mais quel bruit est-ce que j'entends : ah !  Ma fille, quel spectacle s'offre à nos yeux, quelque Divinité descend ici, et c'est la Déesse Vénus qui semble nous vouloir parler."")","('#alecton', ""Quittez, quittez les Jeux, songez à vous défendre,  Contre un Audacieux unissons nos efforts :  Le Fils de Jupiter vient ici de descendre  Seul, il ose attaquer tout l'Empire des morts. "")",0.77,Substitution
370,"('#venus', ""Princesse dans tes soins brille un zèle exemplaire, Qui par les Immortels doit être couronné, Et pour te voir un gendre, illustre et fortuné, Leur main te veut marquer le choix que tu dois faire ; Ils t'annoncent tous par ma voix, La gloire et les grandeurs, que par ce digne choix, Ils feront pour jamais entrer dans ta famille, De tes difficultés termine donc le cours ; Et pense à donner ta fille À qui sauvera tes jours."")","('#pluton', ""Qu'on arrête ce Téméraire,  Armez-vous, Amis, armez-vous,  Qu'on déchaîne Cerbère,  Courez tous, courez tous.  On entend aboyer CERBERE."")",1.44,Substitution
371,"('#aristione', ""Ma Fille, les Dieux imposent silence à tous nos raisonnements.  Après cela, nous n'avons plus rien à faire, qu'à recevoir ce qu'ils s'apprêtent à nous donner, et vous venez d'entendre distinctement leur volonté.  Allons dans le premier temple les assurer de notre obéissance, et leur rendre grâce de leurs bontés."")","('#alecton', ""Son bras abat tout ce qu'il frappe,  Tout cède à ses horribles coups,  Rien ne résiste, rien n'échappe. "")",1.06,Substitution
372,"('#cleon', ""Voilà la Princesse qui s'en va, ne voulez-vous pas lui parler ?"")",,1.0,Insertion
373,"('#anaxarque', ""Attendons que sa fille soit séparée d'elle, c'est un esprit que je redoute, et qui n'est pas de trempe à se laisser mener, ainsi que celui de sa mère.  Enfin, mon Fils, comme nous venons de voir par cette ouverture, le stratagème a réussi, notre Vénus a fait des merveilles ; et l'admirable ingénieur qui s'est employé à cet artifice, a si bien disposé tout, a coupé avec tant d'adresse le plancher de cette grotte, si bien caché ses fils de fer et tous ses ressorts, si bien ajusté ses lumières, et habillé ses personnages, qu'il y a peu de gens qui n'y eussent été trompés.  Et comme la Princesse Aristione est fort superstitieuse, il ne faut point douter qu'elle ne donne à pleine tête dans cette tromperie.  Il y a longtemps, mon fils, que je prépare cette machine, et me voilà tantôt au but de mes prétentions."")","('#pluton', ""Insolent, jusqu'ici braves-tu mon courroux ?  Quelle injuste audace t'engage  À troubler la paix de ces lieux? "")",0.92,Substitution
374,"('#cleon', 'Mais pour lequel des deux princes au moins dressez-vous tout cet artifice ?')","('#alcide', 'Je suis né pour dompter la rage  Des Monstres les plus furieux. ')",1.54,Substitution
375,"('#anaxarque', ""Tous deux ont recherché mon assistance, et je leur promets à tous deux la faveur de mon art ; mais les présents du Prince Iphicrate, et les promesses qu'il m'a faites, l'emportent de beaucoup sur tout ce qu'a pu faire l'autre.  Ainsi ce sera lui qui recevra les effets favorables de tous les ressorts que je fais jouer ; et comme son ambition me devra toute chose, voilà mon fils notre fortune faite.  Je vais prendre mon temps pour affermir dans son erreur l'esprit de la Princesse, pour la mieux prévenir encore par le rapport que je lui ferai voir adroitement des paroles de Vénus, avec les prédictions des figures célestes, que je lui dis que j'ai jetées.  Va-t'en tenir la main au reste de l'ouvrage, préparer nos six hommes à se bien cacher dans leur barque derrière le rocher ; à posément attendre le temps que la Princesse Aristione vient tous les soirs se promener seule sur le rivage, à se jeter bien à propos sur elle, ainsi que des corsaires, et donner lieu au Prince Iphicrate de lui apporter ce secours, qui sur les paroles du Ciel doit mettre entre ses mains la Princesse Ériphile.  Ce prince est averti par moi, et sur la foi de ma prédiction, il doit se tenir dans ce petit bois qui borde le rivage.  Mais sortons de cette grotte, je te dirai en marchant toutes les choses qu'il faut bien observer.  Voilà la Princesse Ériphile : évitons sa rencontre."")","('#pluton', ""Est-ce le Dieu jaloux qui lance lez tonnerre,  Qui t'oblige à porter la guerre  Jusqu'au centre de l'Univers ?  Il tient sous son pouvoir et le Ciel et la Terre,  Veut-il encor ravir l'Empire des Enfers ? "")",0.89,Substitution
376,"('#eriphile', ""Hélas !  Quelle est ma destinée, et qu'ai-je fait aux Dieux pour mériter les soins qu'ils veulent prendre de moi ?"")",,1.0,Insertion
377,"('#cleonice', ""Le voici, Madame, que j'ai trouvé, et à vos premiers ordres, il n'a pas manqué de me suivre."")",,1.0,Insertion
378,"('#eriphile', ""Qu'il approche, Cléonice, et qu'on nous laisse seuls un moment.  Sostrate, vous m'aimez ?"")",,1.0,Insertion
379,"('#sostrate', 'Moi, Madame ?')",,1.0,Insertion
380,"('#eriphile', ""Laissons cela, Sostrate, je le sais, je l'approuve, et vous permets de me le dire.  Votre passion a paru à mes yeux accompagnée de tout le mérite qui me la pouvait rendre agréable.  Si ce n'était le rang où le Ciel m'a fait naître, je puis vous dire que cette passion n'aurait pas été malheureuse, et que cent fois je lui ai souhaité l'appui d'une fortune qui pût mettre pour elle en pleine liberté les secrets sentiments de mon âme.  Ce n'est pas, Sostrate, que le mérite seul n'ait à mes yeux tout le prix qu'il doit avoir, et que dans mon coeur je ne préfère les vertus qui sont en vous à tous les titres magnifiques, dont les autres sont revêtus.  Ce n'est pas même que la Princesse ma Mère ne m'ait assez laissé la disposition de mes voeux, et je ne doute point, je vous l'avoue, que mes prières n'eussent pu tourner son consentement du côté que j'aurais voulu ; mais il est des états, Sostrate, où il n'est pas honnête de vouloir tout ce qu'on peut faire.  Il y a des chagrins à se mettre au-dessus de toutes choses, et les bruits fâcheux de la renommée vous font trop acheter le plaisir que l'on trouve à contenter son inclination ; c'est à quoi, Sostrate, je ne me serais jamais résolue, et j'ai cru faire assez de fuir l'engagement dont j'étais sollicitée.  Mais enfin les Dieux veulent prendre le soin eux-mêmes de me donner un époux ; et tous ces longs délais avec lesquels j'ai reculé mon mariage, et que les bontés de la Princesse ma Mère ont accordés à mes désirs, ces délais, dis-je, ne me sont plus permis, et il me faut résoudre à subir cet arrêt du Ciel.  Soyez sûr, Sostrate, que c'est avec toutes les répugnances du monde que je m'abandonne à cet hyménée, et que si j'avais pu être maîtresse de moi, ou j'aurais été à vous, ou je n'aurais été à personne.  Voilà, Sostrate, ce que j'avais à vous dire, voilà ce que j'ai cru devoir à votre mérite, et la consolation que toute ma tendresse peut donner à votre flamme."")","('#alcide', ""Non, Pluton, règne en paix, jouis de ton partage ;  Je viens chercher Alceste en cet affreux séjour,  Permets que je la rende au jour,  Je ne veux point d'autre avantage :  Si c'est te faire outrage  D'entrer par force dans ta Cour,  Pardonne à mon courage  Et fais grâce à l'amour. "")",0.23,Substitution
381,"('#sostrate', ""Ah !  Madame, c'en est trop pour un malheureux, je ne m'étais pas préparé à mourir avec tant de gloire, et je cesse dans ce moment, de me plaindre des destinées.  Si elles m'ont fait naître dans un rang beaucoup moins élevé que mes désirs, elles m'ont fait naître assez heureux pour attirer quelque pitié du coeur d'une grande princesse ; et cette pitié glorieuse vaut des sceptres et des couronnes, vaut la fortune des plus grands princes de la terre.  Oui, Madame, dès que j'ai osé vous aimer, c'est vous, Madame, qui voulez bien que je me serve de ce mot téméraire, dès que j'ai, dis-je, osé vous aimer, j'ai condamné d'abord l'orgueil de mes désirs, je me suis fait moi-même la destinée que je devais attendre.  Le coup de mon trépas, Madame, n'aura rien qui me surprenne, puisque je m'étais préparé ; mais vos bontés le comblent d'un honneur que mon amour jamais n'eût osé espérer, et je m'en vais mourir après cela le plus content et le plus glorieux de tous les hommes.  Si je puis encore souhaiter quelque chose, ce sont deux grâces, Madame, que je prends la hardiesse de vous demander à genoux ; de vouloir souffrir ma présence jusqu'à cet heureux hyménée, qui doit mettre fin à ma vie ; et parmi cette grande gloire, et ces longues prospérités que le Ciel promet à votre union, de vous souvenir quelquefois de l'amoureux Sostrate.  Puis-je, divine Princesse, me promettre de vous cette précieuse faveur ?"")","('#proserpine', ""Un grand coeur peut tout quand il aime,  Tout doit céder à son effort.  C'est un Arrêt du Sort,  Il faut que l'amour extrême  Soit plus fort  Que la mort."")",0.88,Substitution
382,"('#eriphile', ""Allez, Sostrate, sortez d'ici : ce n'est pas aimer mon repos, que de me demander que je me souvienne de vous."")",,1.0,Insertion
383,"('#sostrate', 'Ah !  Madame, si votre repos...')",,1.0,Insertion
384,"('#eriphile', ""Ôtez-vous, vous dis-je, Sostrate ; épargnez ma faiblesse, et ne m'exposez point à plus que je n'ai résolu."")","('#pluton', ""Les Enfers, Pluton lui-même,  Tout doit en être d'accord ;  Il faut que l'amour extrême  Soit plus fort  Que la mort."")",1.29,Substitution
385,"('#cleonice', ""Madame, je vous vois l'esprit tout chagrin, vous plaît-il que vos danseurs, qui expriment si bien toutes les passions, vous donnent maintenant quelque épreuve de leur adresse ?"")","('#suivants-de-pluton', ""Il faut que l'amour extrême  Soit plus fort  Que la mort."")",1.25,Substitution
386,"('#eriphile', ""Oui, Cléonice, qu'ils fassent tout ce qu'ils voudront, pourvu qu'ils me laissent à mes pensées."")","('#pluton', ""Que pour revoir le jour, l'Ombre d'Alceste sorte.  Prenez place tous deux au Char dont je me sers :  Qu'au gré de vos voeux, il vous porte ;  Partez, les chemins sont ouverts ;  Qu'une volante Escorte  Vous conduise au travers  Des noires vapeurs des Enfers.  PLUTON donne un coup de son Trident et fait sortir son Char. Alcide et l'Ombre d'Alceste se placent sur le char de Pluton qui les enlève sous la conduite d'une troupe volante de suivants de Pluton."")",0.88,Substitution
387,,"('#admete', ""Alcide est vainqueur du trépas,  L'Enfer ne lui résiste pas :  Il ramène Alceste vivante ;  Que chacun chante :  Alcide est vainqueur du trépas,  L'Enfer ne lui résiste pas : "")",1.0,Deletion
388,,"('#choeur', ""Alcide est vainqueur du trépas,  L'Enfer ne lui résiste pas. "")",1.0,Deletion
389,"('#clitidas', ""De quel côté porter mes pas ?  Où m'aviserai-je d'aller, et en quel lieu puis-je croire que je trouverai maintenant la princesse Ériphile ?  Ce n'est pas un petit avantage que d'être le premier à porter une nouvelle.  Ah !  La voilà.  Madame, je vous annonce que le Ciel vient de vous donner l'époux qu'il vous destinait."")","('#admete', ""Quelle douleur secrète  Rend mon âme inquiète,  Et trouble mon amour ?  Alceste voit encor le jour,  Mais c'est pour un autre qu'Admète. "")",0.97,Substitution
390,"('#eriphile', 'Eh, laisse-moi, Clitidas, dans ma sombre mélancolie.')","('#choeur', ""Alcide est vainqueur du trépas,  L'Enfer ne lui résiste pas. "")",1.52,Substitution
391,"('#clitidas', ""Madame, je vous demande pardon, je pensais faire bien de vous venir dire que le Ciel vient de vous donner Sostrate pour époux, mais puisque cela vous incommode, je rengaine ma nouvelle, et m'en retourne droit comme je suis venu."")","('#admete', ""Ah ! Du moins cachons ma tristesse ;  Alceste dans ces lieux ramène les plaisirs.  Je dois rougir de ma faiblesse ;  Quelle honte à mon coeur, de mêler des soupirs  Avec tant de cris d'allégresse ! "")",0.86,Substitution
392,"('#eriphile', 'Clitidas, holà, Clitidas.')",,1.0,Insertion
393,"('#clitidas', 'Je vous laisse, Madame, dans votre sombre mélancolie.')","('#choeur', ""Alcide est vainqueur du trépas,  L'Enfer ne lui résiste pas. "")",1.49,Substitution
394,"('#eriphile', 'Arrête, te dis-je, approche.  Que viens-tu me dire ?')","('#admete', 'Par une ardeur impatiente  Courons, et devançons ses pas.  Il ramène Alceste vivante ;  Que chacun chante : ')",1.43,Substitution
395,"('#clitidas', ""Rien, Madame, on a parfois des empressements de venir dire aux grands de certaines choses, dont ils ne se soucient pas, et je vous prie de m'excuser."")",,1.0,Insertion
396,"('#eriphile', 'Que tu es cruel !')","('#tous', ""Alcide est vainqueur du trépas,  L'Enfer ne lui résiste pas. "")",1.41,Substitution
397,"('#clitidas', ""Une autre fois j'aurai la discrétion de ne vous pas venir interrompre."")",,1.0,Insertion
398,"('#eriphile', ""Ne me tiens point dans l'inquiétude : qu'est-ce que tu viens m'annoncer ?"")","('#straton', ""Ne m'ôteras-tu point la chaîne qui m'accable,  Dans ce séjour destiné pour tant d'aimables jeux ?  Ah ! Qu'il est rigoureux  D'être seul misérable,  Quand on voit tout le monde heureux ! "")",1.28,Substitution
399,"('#clitidas', ""C'est une bagatelle de Sostrate, Madame, que je vous dirai une autre fois, quand vous ne serez point embarrassée."")","('#licas', ""Aujourd'hui qu'Alcide ramène  Alceste des Enfers,  Je veux finir ta peine.  Qu'on ne porte plus d'autres fers  Que ceux dont l'Amour nous enchaîne. "")",1.62,Substitution
400,,"('#ensemble', ""Qu'on ne porte plus d'autres fers  Que ceux dont l'Amour nous enchaîne. "")",1.0,Deletion
401,"('#eriphile', ""Ne me fais point languir davantage, te dis-je, et m'apprends cette nouvelle."")","('#licas #straton', 'Vois, Céphise, vois qui de nous  Peut rendre ton destin plus doux ;  Et termine enfin nos querelles. ')",0.75,Substitution
402,"('#clitidas', 'Vous la voulez savoir, Madame ?')","('#licas', 'Mes amours seront éternelles. ')",1.57,Substitution
403,"('#eriphile', ""Oui, dépêche.  Qu'as-tu à me dire de Sostrate ?"")",,1.0,Insertion
404,"('#clitidas', ""Une aventure merveilleuse, où personne ne s'attendait."")","('#straton', 'Mon coeur ne sera plus jaloux. ')",1.93,Substitution
405,,"('#licas #straton', 'Entre deux Amants fidèles,  Choisis un heureux Époux. ')",1.0,Deletion
406,,"('#cephise', ""Je n'ai point de choix à faire ;  Parlons d'aimer et de plaire,  Et vivons toujours en paix.  L'Hymen détruit la tendresse,  Il rend l'amour sans attraits ;  Voulez-vous aimer sans cesse,  Amants, n'épousez jamais. "")",1.0,Deletion
407,"('#eriphile', ""Dis-moi vite ce que c'est."")",,1.0,Insertion
408,"('#clitidas', 'Cela ne troublera-t-il point, Madame, votre sombre mélancolie ?')","('#cephise #licas #straton', ""L'Hymen détruit la tendresse,  Il rend l'Amour sans attraits ;  Voulez-vous aimer sans cesse,  Amants, n'épousez jamais. "")",1.08,Substitution
409,"('#eriphile', 'Ah !  Parle promptement.')","('#cephise', ""Prenons part aux transports d'une joie éclatante,  Que chacun chante : "")",0.88,Substitution
410,"('#clitidas', ""J'ai donc à vous dire, Madame, que la Princesse votre mère passait presque seule dans la forêt, par ces petites routes qui sont si agréables, lorsqu'un sanglier hideux, (ces vilains sangliers-là font toujours du désordre, et l'on devrait les bannir des forêts bien policées) ; lors, dis-je, qu'un sanglier hideux, poussé je crois, par des chasseurs est venu traverser la route où nous étions.  Je devrais vous faire peut-être, pour orner mon récit, une description étendue du sanglier dont je parle, mais vous vous en passerez s'il vous plaît, et je me contenterai de vous dire, que c'était un fort vilain animal.  Il passait son chemin, et il était bon de ne lui rien dire, de ne point chercher de noise avec lui, mais la Princesse a voulu égayer sa dextérité, et de son dard, qu'elle lui a lancé un peu mal à propos, ne lui en déplaise, lui a fait au-dessus de l'oreille une assez petite blessure.  Le sanglier mal morigéné, s'est impertinemment détourné contre nous ; nous étions là deux, ou trois misérables qui avons pâli de frayeur, chacun gagnait son arbre, et la Princesse sans défense demeurait exposée à la furie de la bête, lorsque Sostrate a paru, comme si les Dieux l'eussent envoyé."")",,1.0,Insertion
411,"('#eriphile', 'Hé bien, Clitidas.')",,1.0,Insertion
412,"('#clitidas', 'Si mon récit vous ennuie, Madame, je remettrai le reste à une autre fois.')",,1.0,Insertion
413,"('#eriphile', 'Achève promptement.')",,1.0,Insertion
414,"('#clitidas', ""Ma foi !  C'est promptement, de vrai, que j'achèverai, car un peu de poltronnerie m'a empêché de voir tout le détail de ce combat ; et tout ce que je puis vous dire, c'est que retournant sur la place, nous avons vu le sanglier mort, tout vautré dans son sang, et la Princesse pleine de joie, nommant Sostrate son libérateur, et l'époux digne et fortuné que les Dieux lui marquaient pour vous.  À ces paroles, j'ai cru que j'en avais assez entendu, et je me suis hâté de vous en venir, avant tous, apporter la nouvelle."")","('#tous-ensemble', ""Alcide est vainqueur du trépas,  L'Enfer ne lui résiste pas :  Il ramène Alceste vivante ;  Que chacun chante :  Alcide est vainqueur du trépas,  L'Enfer ne lui résiste pas. "")",1.2,Substitution
415,"('#eriphile', ""Ah !  Clitidas, pouvais-tu m'en donner une qui me pût être plus agréable ?"")",,1.0,Insertion
416,"('#clitidas', ""Voilà qu'on vient vous trouver."")",,1.0,Insertion
417,"('#aristione', ""Je vois, ma fille, que vous savez déjà tout ce que nous pourrions vous dire.  Vous voyez que les Dieux se sont expliqués bien plus tôt que nous n'eussions pensé ; mon péril n'a guère tardé à nous marquer leurs volontés, et l'on connaît assez que ce sont eux qui se sont mêlés de ce choix, puisque le mérite tout seul brille dans cette préférence.  Aurez-vous quelque répugnance à récompenser de votre coeur, celui à qui je dois la vie et refuserez-vous Sostrate pour époux ?"")","('#alcide', ""Pour une si belle victoire,  Peut-on avoir trop entrepris ?  Ah qu'il est doux de courir à la gloire  Lorsque l'Amour en doit donner le prix !  Vous détournez vos yeux ! Je vous trouve insensible ?  Admète a seul ici vos regards les plus doux ? "")",0.76,Substitution
418,"('#eriphile', 'Et de la main des Dieux, et de la vôtre, Madame, je ne puis rien recevoir qui ne me soit fort agréable.')","('#alceste', ""Je fais ce qui m'est possible  Pour ne regarder que vous. "")",1.25,Substitution
419,"('#sostrate', ""Ciel !  N'est-ce point ici quelque songe, tout plein de gloire dont les Dieux me veuillent flatter, et quelque réveil malheureux ne me replongera-t-il point dans la bassesse de ma fortune ?"")","('#alcide', ""Vous devez suivre mon envie,  C'est pour moi qu'on vous rend le jour. "")",1.31,Substitution
420,,"('#alceste', ""Je n'ai pu reprendre la vie,  Sans reprendre aussi mon amour. "")",1.0,Deletion
421,"('#cleonice', ""Madame, je viens vous dire qu'Anaxarque a jusqu'ici abusé, l'un et l'autre Prince, par l'espérance de ce ch[oi]x qu'ils poursuivent depuis longtemps, et qu'au bruit qui s'est répandu de votre aventure, ils ont fait éclater tous deux leur ressentiment contre lui, jusque-là, que de paroles en paroles, les choses se sont échauffées, et il en a reçu quelques blessures dont on ne sait pas bien ce qui arrivera.  Mais les voici."")","('#alcide', 'Admète en ma faveur, vous a cédé lui-même. ')",1.17,Substitution
422,"('#aristione', ""Princes, vous agissez tous deux avec une violence bien grande, et si Anaxarque a pu vous offenser, j'étais pour vous en faire justice moi-même."")","('#admete', 'Alcide pouvait seul vous ôter au trépas.  Alceste, vous vivez, je revois vos appas ;  Ai-je pu trop payer cette douceur extrême ! ')",0.55,Substitution
423,"('#iphicrate', 'Et quelle justice, Madame, auriez-vous pu nous faire de lui, si vous la faites si peu à notre rang, dans le choix que vous embrassez ?')","('#admete #alceste', ""Ah ! Que ne fait-on pas  Pour sauver ce qu'on aime ! "")",1.43,Substitution
424,"('#aristione', ""Ne vous êtes-vous pas soumis l'un et l'autre, à ce que pourraient décider, ou les ordres du Ciel, ou l'inclination de ma fille ?"")","('#alcide', ""Vous soupirez tous deux au gré de vos désirs ;  Est-ce ainsi qu'on me tient parole ? "")",0.47,Substitution
425,"('#timocles', ""Oui, Madame, nous nous sommes soumis à ce qu'ils pourraient décider entre le Prince Iphicrate et moi, mais non pas à nous voir rebutés tous deux."")",,1.0,Insertion
426,"('#aristione', ""Et si chacun de vous a bien pu se résoudre à souffrir une préférence, que vous arrive-t-il à tous deux où vous ne soyez préparés, et que peuvent importer à l'un et à l'autre les intérêts de son rival ?"")","('#admete #alceste', ""Pardonnez aux derniers soupirs  D'un malheureux amour qu'il faut qu'on vous immole.  Alceste, il ne faut plus nous voir.  Admète, il ne faut plus nous voir.  D'un autre que de moi votre sort doit dépendre :  D'un autre que de vous mon destin doit dépendre :  Il faut dans les grands coeurs, que l'amour le plus tendre  Soit la victime du devoir.  Alceste, il ne faut plus nous voir.  Admète, il ne faut plus nous voir.  Admète se retire, et Alceste offre sa main à Alcide, qui arrête Admète, et lui cède la main qu'ALCESTE lui présente."")",0.88,Substitution
427,"('#iphicrate', ""Oui, Madame, il importe, c'est quelque consolation de se voir préférer un homme qui vous est égal, et votre aveuglement est une chose épouvantable."")","('#alcide', ""Non, non, vous ne devez pas croire  Qu'un Vainqueur des tyrans soit Tyran à son tour :  Sur l'Enfer, sur la Mort, j'emporte la victoire ;  Il ne manque plus à ma gloire  Que de triompher de l'Amour. "")",0.93,Substitution
428,"('#aristione', ""Prince, je ne veux pas me brouiller avec une personne qui m'a fait tant de grâce, que de me dire des douceurs ; et je vous prie, avec toute l'honnêteté qu'il m'est possible, de donner à votre chagrin un fondement plus raisonnable ; de vous souvenir, s'il vous plaît, que Sostrate est revêtu d'un mérite, qui s'est fait connaître à toute la Grèce, et que le rang où le ciel l'élève aujourd'hui va remplir toute la distance qui était entre lui et vous."")","('#admete #alcide', 'Ah quelle gloire extrême !  Quel héroïque effort !  Le Vainqueur de la mort  Triomphe de lui-même. ')",1.21,Substitution
429,"('#iphicrate', 'Oui, oui, Madame, nous nous en souviendrons, mais peut-être aussi vous souviendrez-vous que deux Princes outragés ne sont pas deux ennemis peu redoutables.')",,1.0,Insertion
430,"('#timocles', ""Peut-être, Madame, qu'on ne goûtera pas longtemps la joie du mépris que l'on fait de nous."")",,1.0,Insertion
