,la-fontaine-daphne,quinault-persee,Cost,Operation Type
297,"('#daphne', ""Je sens qu'on me repousse : Quelque charme arrête mes pas. Mais, si c'est adoucir vos peines Qu'y prendre part, souffrir ces gênes, Gémir avec vous sous ces chitines, Vous aimer malgré tous, malgré Cieux, malgré Sort, Votre princesse en est capable."")","('#phinee', ""Ce n'est point à des pleurs qu'il faut avoir recours. Junon veut qu'aujourd'hui je me venge avec elle. Iris, de son vouloir l'interprète fidèle, Vient, par son ordre exprès, de m'offrir son secours."")",0.37,Substitution
298,"('#leucippe', 'Apollon, Apollon, tu fais un vain effort ! Je ne suis plus le misérable.')","('#merope', ""Du secours de Junon que faut-il qu'on espère ? Persée a triomphé deux fois de son courroux."")",1.24,Substitution
299,"('#daphne', ""Hélas ! J'irrite un dieu jaloux et redoutable. À qui dois-je adresser ma voix ? Je n'ose t'invoquer, déesse de nos bois . Dans ta Cour, dans ton coeur, autrefois j'avais place ; L'amour m'en a bannie ; écoute toutefois : Je ne demande point pour grâce Que tu souffres mes feux, et qu'un hymen charmant Engage à d'autres dieux celle qui t'a servie ; Délivre seulement Mon amant, Et prends le reste de ma vie."")","('#phinee', ""Que ne pourra point sa colère Unie à mon transport jaloux ? Heureux qui peut goûter une douce vengeance ! C'est l'unique espérance Des malheureux amants. Pour servir ma fureur on s'arme en diligence. Mon rival n'aura pas mon bien pour récompense ; S'il triomphe de moi, c'est pour peu de moments. C'est en vain qu'Andromède a trahi ma constance ; L'Amour est avec eux en vain d'intelligence ; Je briserai ses noeuds charmants. L'Hymen me livrera l'ingrate qui m'offense ; Elle a vu ma douleur avec indifférence : Je veux être sensible à ses gémissements ; Et, si je ne puis voir son coeur en ma puissance, Je jouirai de ses tourments. Heureux qui peut goûter une douce vengeance, etc. ! Il faut nous éloigner du peuple qui s'avance ; Ce superbe appareil, ces riches ornements, Tout ici de ma rage accroît la violence : Allons hâter l'éclat de nos ressentiments."")",0.0,Match
300,"('#apollon', ""Pourquoi finir vos jours en des lieux pleins d'ennui ? Trouvez-vous le dieu du Parnasse Plus affreux qu'un désert ? Hélas ! ce dieu la chasse : Elle aime mieux mourir que régner avec lui. C'est toi qui nous causes ces peines. Mortel, contre les dieux oses-tu contester ? Daphné témoigne vouloir s'enfuir."")","('#merope #phinee', 'Heureux qui peut goûter une douce vengeance,etc. ! Ils sortent.')",1.55,Substitution
301,"('#leucippe', 'Mes amours sont mes dieux.')","('#le-grand-pretre', ""Hymen ! Ô doux Hymen ! sois propice à nos voeux ; Viens unir ces amants fidèles, Viens les rendre à jamais heureux. Prends soin de conserver leurs ardeurs mutuelles, Allume en leur faveur les plus beaux de tes feux : Que leurs coeurs soient comblés de douceurs éternelles ; Qu'ils soient toujours contents et toujours amoureux. Charmant hymen, que tes chaînes sont belles, Lorsque l'amour en a formé les noeuds ! Hymen ! Ô doux Hymen ! Sois propice à nos voeux, etc. Le choeur répète les trois derniers vers. Les cérémonies du mariage de Persée et d'Andromède que le grand-prêtre de l'Hyménée et sa suite veulent commencer, sont interrompues par Mérope."")",0.49,Substitution
302,"('#apollon', ""Qu'on redouble ses chaînes Démons !"")",,1.0,Insertion
303,"('#daphne', 'Faites-les arrêter. Pouvez-vous bien me voir à vos pieds toute en larmes, Sans vous laisser toucher le coeur ?')",,1.0,Insertion
304,"('#apollon', ""Daphné, C'est contre vous que retournent ces armes. La pitié redouble vos charmes ; En combattant l'amour, elle le rend vainqueur. Votre douleur vous nuit ; vous en êtes plus belle. Venez, venez être immortelle : Je l'obtiendrai du Sort, ou je jure vos yeux Que les cieux Regretteront notre présence. Zéphyrs, enlevez-la malgré sa résistance."")","('#merope', ""Persée, il n'est plus temps de garder le silence : J'avais cru vouloir votre mort ; Mais mon coeur avec vous est trop d'intelligence, Et, prêtre à me venger, je ressens un transport Cent fois plus pressant et plus fort Que le transport de la vengeance. Votre rival approche, il en veut à vos jours : Mille ennemis vous environnent. Évitez leur fureur, servez-vous du secours Que les dieux propices vous donnent. Volez ne trouverez plus d'autres chemins ouverts."")",0.0,Match
305,"('#daphne', 'Ô dieux ! Consentez-vous à cette violence ?')","('#cephee', ""Armons-nous ; punissons plus l'audace des rebelles."")",1.3,Substitution
306,"('#diane', 'Démons, gardez de lui toucher ! Deviens laurier, Daphné ; Leucippe, sois rocher.')","('#merope', ""Sauvez-vous ; profitez de mes avis fidèles : C'est à fuir seulement que vous devez songer."")",1.43,Substitution
307,,"('#cephee', ""Si les dieux m'ont prêté des ailes, Ce n'est pas pour fuir le danger."")",1.0,Deletion
308,"('#apollon', ""Barbare, qu'as-tu fait ? Détruire un tel ouvrage ! Faire à ton frère un tel outrage ! Cruelle soeur, Cruelle, et cent fois plus sauvage Que les ours avec qui tu vis ! Que de trésors tu m'as ravis Rends-moi ces biens, rends-moi ce divin assemblage. Daphné, vous n'êtes plus, j'ai perdu mes amours, Et ne saurais perdre la vie Heureux mortels, vos Pleurs cessent avec Vos jours : La mort est un bien que j'envie. Puissent les cieux cesser leur cours ! Périsse l'Univers avecque ma princesse"")","('#phinee #sa-suite', ""Persée, il faut périr ; meurs, et laisse Andromède Au pouvoir d'un heureux rival !"")",0.45,Substitution
309,"('#amour', ""Sèche tes pleurs, elle est déesse. Viens l'épouser : mes traits se sont assez vengés ; Ces mouvements de haine en amour sont changés."")","('#cephee #cephee #leurs-suites', ""Perfides ! Recevez le châtiment fatal De la fureur qui vous possède ! Tous les combattants Cédez, cédez à notre effort ; Vous n'éviterez pas la mort. Persée, Céphée et leur suite poursuivent Phinée et sa suite."")",0.95,Substitution
310,"('#apollon', ""Puis-je t'ajouter foi ? m'as-tu fait cette grâce ?"")",,1.0,Insertion
311,"('#amour', ""Viens l'éprouver."")",,1.0,Insertion
312,"('#apollon', ""Allons, et que sur le Parnasse On célèbre des jeux à l'honneur de Daphné. Que le vainqueur y soit de laurier couronné. Bel arbre, adieu. je quitte à regret cette place, Et veux qu'à l'avenir on ceigne de lauriers Le front de mes sujets et celui des guerriers. Apollon monte dans le char où est l'Amour, et tous deux retournant au ciel. Le théâtre change aussitôt. Le Parnasse se découvre au fond. Quelques Mimes sont assises en divers endroits de sa croupe, et quelques poètes à leurs pieds. Sur le sommet, le palais du dieu se fait voir. Les deux côtés du théâtre sont deux galeries qui ressemblent à celles où on étale des raretés les jours de fête et les jours de foire. Là sont les archives du Destin. L'architecture est ornée de feuilles de laurier. Sous chaque portique est un buste ; il y en a neuf de conquérants et autant dé poètes ; les conquérants d'un côté, les poètes de l'autre. Les conquérants sont Cyrus, Alexandre, etc. ; et les poètes sont Homère, Anacréon, Pindare, Virgile, Horace, Ovide, l'Arioste, le Tasse, et Malherbe. Apollon a voulu que l'avenir fût montré en faveur de cette fête. "")","('#cassiope #andromede', ""Quelles horreurs ! quelles alarmes ! Dieux ! soyez touchés de mes larmes ! Tous les combattants Cédez, cédez à notre effort, etc. Les combattants s'éloignent."")",0.97,Substitution
313,"('#un-poete-heroïque', ""Quel prince offre à mes yeux des lauriers toujours verts ? Je vois dans l'avenir cent potentats divers Lui disputer en vain l'honneur de la victoire. Ô toi, fils de Latone, amour de l'Univers, Protecteur des doux sons, des beaux-arts, des bons vers, Aide-nous à chanter sa gloire !"")","('#cephee', ""Le soin de vous défendre en ces lieux me rappelle. Craignez tout d'un peuple rebelle ; Quel sang n'ose-t-il point verser ? Un trait, que sur Persée on a voulu lancer, A frappé votre soeur d'une atteinte mortelle. Junon, implacable pour nous, Anime les mutins de son fatal courroux. Leur rage croît, leur nombre augmente : Persée en vain toujours combat avec chaleur. Que servent les efforts qu'il tente ? Le nombre tôt ou tard accable la valeur."")",0.33,Substitution
314,"('#melpomene', ""Ce n'est pas l'ouvrage d'un jour : Sublime, allez dormir encor sur le Parnasse, Et vous, clairons, faites place Aux doux concerts de l'Amour."")","('#phinee #sa-suite', ""Qu'il n'échappe pas, qu'il périsse, Cet étranger audacieux Qui prétend régner en ces lieux !"")",1.31,Substitution
315,"('#philis', 'Les Zéphyrs sont de retour : Flore avec eux se promène.')",,1.0,Insertion
316,"('#daphnis', ""Savez-vous qui les ramène ? C'est l'Amour."")",,1.0,Insertion
317,"('#philis', 'De quoi parle en ce séjour La savante Philomèle ?')",,1.0,Insertion
318,"('#daphnis', ""Et de quoi parlerait-elle, Que d'amour ?"")",,1.0,Insertion
319,"('#philis #daphnis', ""Faisons aussi notre cour Au printemps vêtu de roses ; Ayons, comme toutes choses, De l'amour."")","('#cephee #cassiope #andromede', 'Ciel ! Ô ciel soyez-nous propice !')",1.1,Substitution
320,"('#un-poete-satirique', ""Aimez, mais permettez que je parle à mon tour. Comment faire Pour se taire ? Le monde est plein de sots, de l'un à l'autre bout ; Le passé, le présent, et l'avenir surtout. Comment faire Pour se taire ?"")","('#phinee #sa-suite', ""Qu'il n'échappe, qu'il périsse !"")",1.64,Substitution
321,"('#choeur', 'Comment faire Pour se taire ?')","('#cephee #cassiope #andromede', 'Défendez-nous, ô justes dieux !')",1.77,Substitution
322,"('#thalie', ""Ridicules, envoyez-nous Les principaux d'entre vous. Cinq ridicules entrent sur la scène. C'est une coquette emportée, une précieuse, un méchant poète, un homme affectant le bel air, et un vieillard amoureux. "")","('#persee', 'Ne craignez rien ; fermez les yeux,  Je vais punir leur injustice. Voyez leur funeste supplice. Persée pétrifie Phinée et sa suite, en leur montrant la tête de Méduse.')",1.4,Substitution
323,"('#le-mechant-poete', 'Quoi ! Dans ces lieux sacrés on souffre la satire !')","('#cephee #cassiope #andromede', 'Quel prodige ! Quel changement !')",1.75,Substitution
324,"('#thalie', ""Soyez les premiers à rire. Les ridicules se consolent et font une entrée, dansant tous sur les mêmes pas, et gardant toutefois, autant qu'ils peuvent, leur caractère.  Mercure, monté sur Pégase, descend au sacré vallon. Il interrompt la danse des ridicules, et vient présenter trois couronnes de laurier à ces trois genres de poésie. "")","('#cephee', ""La tête de Méduse a fait leur châtiment... Cessons de redouter la fortune cruelle ; Le ciel nous promet d'heureux jours ; Vénus vient à notre secours ; Elle amène l'Amour et l'Hymen avec elle. Le palais de Vénus descend."")",0.46,Substitution
325,"('#mercure', ""Chacun de vous doit être couronné : Recevez ces présents de la part de Daphné. Elle est maintenant déesse, Aimant le dieu de ces lieux : Poussez-en jusques aux cieux Des chants remplis d'allégresse. Mercure revole au ciel, ayant laissé Pégase sur le double mont. Quatre auteurs lyriques et autant de Muses du même genre viennent danser en témoignage de joie ; puis les ridicules se mêlent avec eux, formant de différentes figures avec des branches de laurier qu'ils portent tous, et dont ils se font des espèces de berceaux. C'est le grand ballet. "")","('#venus', 'Mortels, vivez en paix ; vos malheurs sont finis. Jupiter vous protège en faveur de son fils ; À ce dieu si puissant tous les dieux veulent plaire, Et Junon même enfin apaise sa colère. Cassiope, Céphée, et vous, heureux époux, Prenez place au ciel avec nous. Les souverains destins ordonnent Que des feux éclatants toujours vous environnent. Céphée, Cassiope, Persée, et Andromède, sont élevés dans le ciel, et des étoiles brillantes les environnent.')",0.0,Match
326,"('#une-muse-lyrique', ""Il n'est que de s'enflammer ; Laissez, laissez-vous charmer ; La raison vous y convie : Sans le dieu qui fait aimer, Que serait-ce que la vie ? Le grand ballet recommence encore."")","('#venus #l-amour #l-hymenee #choeurs', ""Héros victorieux, Andromède est à vous ; Votre Valeur et l'Hymen vous la donnent : La gloire et l'Amour vous couronnent ; Fut-il jamais un triomphe plus doux ? Héros victorieux, Andromède est à vous. Les courtisans de Céphée, les Éthiopiens et les Éthiopiennes témoignent leur joie par leurs danses."")",0.54,Substitution
327,"('#autre-muse-lyrique', 'Chacun sert quelque désir ; Tout consiste à bien choisir ; Faites-vous de douces chaînes : En amour tout est plaisir, Et même jusques aux peines.')",,1.0,Insertion
328,"('#le-choeur', ""Aimez, doctes nourrissons : S'il n'était point d'amour, serait-il des chansons ?"")",,1.0,Insertion
